0:4:0|0:4:7|[李天然]和师姐看到[朱潜龙]从怀中掏出一张地契，
2:5:23|2:5:45|精致的大门久久没有动静，二人神色紧张地等待着，突然门被打开，里面走出一对外国夫妇，夫人拍了拍[李天然]的脸给出小费，[李天然]随手扔到车后座，
2:5:45|2:6:3|进门前张将军朝二人敬礼，二人回敬，汽车及时离开使馆区。不料，却被日本人拦下了。日本人上前查看，[李天然]伸手摸枪，
2:6:15|2:6:24|但是还没能逃过射杀，日本人用枪指着[李天然]，质问他怎么还穿着日本的衣服，
2:6:36|2:6:57|他招呼同伴来看中国驴，[李天然]拧断他的脖子。同伴举着刺刀冲过来，却被[李天然]随手一拳打翻了。[李天然]拿起枪托狠狠砸下，汽车再次发动消失在夜色中。
2:6:58|2:7:15|清晨，北平城门日军列队走来，城墙上日本女人摇旗呐喊欢呼，城下记者纷纷围上上前拍照，朝阳门下日军在热烈的欢呼声中大举进城。
2:7:47|2:8:19|[李天然]拧着眉头拜托[亨德勒医生]治好他。说完[李天然]铲进煤球把火烧旺。在胖子疑惑的眼中，[李天然]跑回车上，他拎着昨夜被杀的日本人愤怒地走来，随后走到火炉旁边将其扔了进去。
2:8:20|2:8:57|[李天然]拍了拍胖子，[李天然]转身大步离开，胖子铲起煤球，火更旺了，烟囱飘出了黑烟，城墙上穿着睡衣的[唐凤仪]走过来，他缓步穿过摇旗呐喊的日本女人，城墙下日本兵爬上石狮子，[唐凤仪]站在城墙高处，[李天然]钻出窗户，看到裁缝铺冒着大火愣住了，
2:8:57|2:9:23|城墙下日本兵要求记者给他照相，[唐凤仪]跳下城墙砸到他，牌楼上[李天然]朝着裁缝铺跑去，如今的[李天然]大仇得报，卸下仇恨的他无比的轻松和惬意，这趟北平之行在他心里已经圆满了。
2:9:23|2:9:40|他健步如飞地跑着，绿色植物点缀下的牌楼，丝毫阻碍不了他的速度。他心里此刻只想着飞奔到裁缝铺，去牌楼上跑来的[李天然]气喘吁吁地望着[关巧红]，
2:11:56|2:12:3|[李天然]眼含热泪，[关巧红]流着泪转身，[关巧红]摇了摇头，
