0:2:1|0:2:14|[沈默]在台上发言，男领导却在下面自拍，员工们听到有钱拿，纷纷热烈鼓掌。
1:25:4|1:25:26|就在这时诊所大门传来开锁的响声，他猛地朝那边看去，屋内的人也应声朝门口望去，[沈默]在众目睽睽下推门走了进来，众人一看是[沈默]都惊得目瞪口呆，[沈默]则没有管大家的眼神，他慢悠悠地走进屋内，装作自己是日本来的华侨，这才开口说道：
1:25:29|1:25:34|大家听了这话都呆住了，[沈默]接着又对元鹏君说，
1:26:12|1:26:20|元鹏君皱了皱眉头，他转头看向[沈默]，
1:26:32|1:26:47|你这个虚伪的小人，[沈默]听了这话，垂在腿侧的手微微发抖，又握紧拳头，气定神闲地对着袁鹏军说：请。元鹏君先行走出房门，[沈默]对着[马晓丽]微微一笑，然后走了出去，随后关上了房门。
1:26:47|1:27:3|二人来到诊所大厅准备做个了断，[沈默]从怀里拿出板砖悄悄地走向背对自己的元鹏君，打算一击制胜。谁知元鹏君早有准备，一个踢腿将他踹跪在地上。
1:27:16|1:27:37|元鹏君根本不听[沈默]说的话，上来直接就是一个侧边腿，将他踢得神志不清，最终[沈默]被他打翻在地上。紧接着元鹏君快步上前，一把将[沈默]举起扔在墙上，得意地说道：
1:27:41|1:28:11|说完他再次将[沈默]举了起来，然后使劲甩到旁边的药品架子上，[沈默]这下被摔得不轻，元鹏君感觉还不解气，在[沈默]踉踉跄跄地站起来时，元鹏君一脚踏在桌子上，伸手脱下他身上的袍子，然后一脚将他踹到另一个房间，声音惊醒了[杜宇]，[杜宇]拿着刀指向[小薇]，
1:28:44|1:28:49|[杜宇]口中能打的[沈默]现在已经被元鹏君打得站不起身，
1:29:18|1:29:34|[沈默]确认元鹏君就是日本第一杀手之后，不但阻挡了他的攻击，而且身手敏捷地将他打倒在地上。原来之前不善武力的他一直都在装着弱，企图套出元鹏君就是日本第一杀手的消息。
1:29:34|1:29:49|[沈默]这时也没有顾虑，他仿佛武神附体一般，将元鹏君所有的招式都一一化解，最后一脚将他踹倒在地上，这一次的打斗明显[沈默]更胜一筹，他用日本语言表示着此刻的愤怒。
1:29:50|1:30:0|[马晓丽]等人在屋内自救，这时元鹏君开门走了进来，她急忙上前一拳将元鹏君打得跪在地上，然后歇斯底里大喊道：
1:30:17|1:30:30|二人搀扶离开，阿莲在后面不甘的喊道：，门外，姚总骑着三轮车带着小弟往这边驶来，碰瓷的大爷大妈又盯上了他们，
1:30:49|1:30:57|姚总紧急刹车，谁知大爷小跑两步在车前躺下，这下姚总赶紧倒车，
1:31:10|1:31:26|姚总等人来到诊所，发现里面乱成一团，小弟说到：姚总注意到坐在门口的元鹏君并踢了踢他，
1:31:34|1:31:43|警铃响声在这时响起，姚总等人都懵了，而还被困在诊所内的贾总等人都开心地笑出了声。
1:31:46|1:31:59|之前跑路的饭店老板拿着行李回到了自己的小店，妻子放下行李环顾四周，在前台看到一本存折，她拿着赶紧招呼丈夫一起看，
1:32:59|1:33:11|面对[马晓丽]的告白，[沈默]只得装傻充愣。[马晓丽]也反应过来说道：
1:33:23|1:33:28|[马晓丽]缓缓关上房门，两人透过门缝相视一笑，
1:33:33|1:33:58|[沈默]想着[马晓丽]说的话，心里庆幸道，殊不知刚刚那一番话是[马晓丽]的肺腑之言，[沈默]的表情渐渐沉重下来，他转身离开了[马晓丽]的住所，他边走边脱下服务员的衣服，露出里面的西装，又在中途背上一个巨大的行囊，慢慢地消失在楼道里，[马晓丽]失落地走进姐妹的房间里，琪琪看见她兴奋地说道：
1:34:21|1:34:43|她回想着自己当时在银行填写汇款单时，将笔留在了那里，而[沈默]当时因为笔写不出字，意外拿到了她的笔，原来两人早已相遇，不久之后，因为意外摔倒而死的神秘富商[何大昌]，在新闻报道中却变成了因为手机自拍而殒命。
1:34:45|1:34:53|两情相悦的[杜宇]和[小薇]打算出国，他们来到移民公司进行咨询，
1:35:15|1:35:22|二人心情不错地相视一笑，而假扮专业人士的[沈默]则慢慢地走在楼道内，
1:35:28|1:35:52|他为[杜宇]二人挑选好的国家，心里想着这是最后一次能为他做的事情，然后将便装的眼镜和胡子摘下，又将改变脸型的圆珠从嘴里吐出来，他将这些东西随手扔在了旁边的垃圾桶内，而后没有犹豫地来到顶层，缓缓地打开了大门。
1:36:13|1:36:25|万籁俱寂，[沈默]坚定地迈向顶层边缘，整个城市的灯火虚幻浮华，他脚下是车水马龙的道路，再往前迈一步就将坠入万丈深渊。
1:36:25|1:36:34|这时[马晓丽]的电话来了，他低头看了一眼放在地上的手机，并没有接听，而在电话那头的[马晓丽]抱怨道：
