0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Tian Du.
0:54:49|0:54:57|Three people moved forward and found that the prisoners were all chained to the hollowed-out stones.
0:54:57|0:54:58|The crowd moved forward.
0:55:2|0:55:6|[Hei Yu] hurriedly squatted down and gently patted Lao Yuan.
0:55:6|0:55:13|Lao Yuan threw a nine-grid, the smell was indescribable.
0:55:13|0:55:16|Three of them were about to open the iron chain when an accident occurred.
0:55:16|0:55:20|The soldier of Tianqian dodged the giant tiger horizontally, lifted by [Ni Kongkong].
0:55:20|0:55:26|The soldier rushed towards [Ge Li], but [Hei Yu] leaped and kicked the enemy against the wall, as [Ni Kongkong] charged forward.
0:55:31|0:55:36|Another enemy came from behind, and was subdued by a scissors kick.
0:55:36|0:55:50|The enemies preparing to ambush were knocked down by Ouka. As more enemies approached, [Fei Long] immediately picked up the sword on the ground, using the techniques "Immortal's Guidance" and "Looking Back at the Moon" to defeat the enemies. The remaining defeated soldiers took the opportunity to regroup and fight back.
0:55:50|0:55:56|In the crowd, a bald figure in a long robe with strange tattoos on his head walks forward.
0:56:1|0:56:7|The bald monster shouted and threw off his long robe, dancing with a ridiculous gait to [Hei Yu].
0:56:7|0:56:11|[Hei Yu] immediately drew his sword as [Ni Kongkong] approached.
0:56:22|0:56:23|[Ni Kongkong] gets closer and closer.
0:56:29|0:56:34|The bald man pushed Ni Kongkong again.
0:56:52|0:56:54|[Ni Kongkong] was just starting out when he was pushed away by the bald man.
0:56:56|0:56:59|The bald man turned around and walked up to [Hei Yu] with a serious expression on his face.
0:57:42|0:57:45|[Ni Kongkong] and [Hei Yu] both turned to Ge Li at the same time.
0:57:45|0:57:48|Hei Yu was stunned, spreading out her hands.
0:57:48|0:57:55|[Hei Yu] and [Ni Kongkong] nodded at each other.
0:58:2|0:58:4|Speak up, [Guangtou] and his men are leaving.
0:58:4|0:58:9|Ni Kongkong turned around and came to Hei Yu's front, shaking his head and swaying.
0:58:11|0:58:16|[Hei Yu] looked bored.
0:58:16|0:58:23|On the other side, the bald man is holding a glass of wine and a teammate, a little pig.
0:58:23|0:58:27|Speak up, he looked up as usual, but was pushed down from behind.
0:58:27|0:58:34|The bald man turned around angrily, only to see [Hei Yu] in a charming long dress.
0:59:1|0:59:7|[Hei Yu] angrily washed the dishes, causing the bald man underneath to tremble, before realizing after a while that this was his own territory.
0:59:8|0:59:17|So [Ni Kongkong] stood up, pulled up his pants, picked up the wine jug to pour wine, only to find that the jug had been emptied at some point.
0:59:17|0:59:26|[Ni Kongkong] stood up to pour wine, [Hei Yu] turned back anxiously to look at [Ni Kongkong], the two exchanged glances, but were caught by [Guangtou] on the spot.
0:59:34|0:59:44|[Ni Kongkong] was about to step forward, but was stopped by [Hei Yu] twisting his wrist.
0:59:44|0:59:49|The henchman who was about to help was shouted back by [Ni Kongkong], who then awkwardly rubbed his head and smiled at [Hei Yu].
0:59:49|0:59:52|His subordinates, seeing the situation, lowered their guard and retreated.
0:59:52|0:59:54|[The bald man] confronted the cold and aloof [Hei Yu] with words.
1:0:16|1:0:22|Hei Yu untied the cloth bag, and a strange bug with a look of emotion flew out, flapping its wings a few times before flying away immediately.
1:0:22|1:0:27|Hei Yu, feeling guilty for what she had done, returned to the room to find her teammates, looking around anxiously, afraid of being discovered.
1:0:27|1:0:34|Seeing [Ni Kongkong] still standing in place, [Hei Yu] quietly sat down by himself, while [Baldy] had already been tricked into drinking several pots of green wine.
1:0:39|1:0:42|[Ni Kongkong] pushed another wine pot hard into [Hei Yu]'s arms.
1:0:48|1:0:50|Ni Kongkong in front of the table was getting anxious.
1:0:50|1:0:55|The bald man looked at the enchanting figure, the swaying wine pot, and excitedly hummed a song.
1:0:55|1:1:4|[Hei Yu] finished it in one breath, smashed the wine pot, and vomited when doing things.
1:1:4|1:1:6|[Hei Yu] flees, with Ni Kongkong in hot pursuit.
1:1:15|1:1:18|Baldy became even angrier instantly.
1:1:18|1:1:29|Hei Yu's men behind him were once again driven back by a shout. Hei Yu sat on a rock, staring at the complete jade pendant, unaware that the bald man was quietly approaching. The bald man's eyes were drawn to the jade pendant.
1:1:29|1:1:30|Hei Yu was startled by the sudden turn.
1:1:33|1:1:37|On the other side, [Hei Yu], supported by [Ni Kongkong], is helping a rabbit by the wall.
1:2:34|1:2:36|Later on, he was dismissed from his position due to his lust and greed.
1:2:46|1:2:56|On the other side, drunk [Hei Yu] went crazy and wanted to fight with the bald guy, but [Ni Kongkong] couldn't stop him.
1:2:56|1:3:0|A soldier took the opportunity to make a move, [Ni Kongkong] quickly shielded [Hei Yu] and blocked a blow.
1:3:3|1:3:7|Fei Long's actions were like a fuse, igniting the entire Earth dance party.
1:3:7|1:3:12|The various factions settle their scores, but [Ni Kongkong] keeps [He Ying] at bay.
1:3:12|1:3:14|[Fei Long] rushes over.
1:3:24|1:3:31|Ni Kongkong knelt on the ground, holding Hei Yu tightly, the atmosphere suddenly tense, Hei Yu thought he had broken through the defense of the two.
1:3:31|1:3:37|[Hei Yu] smiled to ease the tension, while [Ni Kongkong] took the opportunity to stand up.
1:3:37|1:3:43|[Ni Kongkong] blocks [Hei Yu]'s eyes.
1:3:43|1:3:48|The guards arrived late on the mountain, facing [Ni Kongkong] and [Hei Yu] with their swords drawn.
1:3:55|1:3:58|[Jiang Chengzi] stepped forward and patted his shoulder.
1:4:13|1:4:16|[Jiang Chengzi] turned around as he was about to leave, then suddenly turned back to start explaining.
1:4:20|1:4:22|[Hei Yu] was so frightened that her face turned pale, and she fainted on the spot.
1:4:22|1:4:26|[Jiang Chengzi] didn't say much and was the first to leave.
1:4:26|1:4:28|[Ni Kongkong] asked in disbelief.
1:4:33|1:4:40|[Ni Kongkong] is somewhat afraid to look directly at Hei Yu.
1:4:40|1:4:42|Hei Li stepped forward, about to reach out and put his hand on [Ni Kongkong]'s shoulder.
1:4:46|1:4:47|[Ni Kongkong] quickly dodged.
1:4:51|1:4:53|After speaking, [Hei Yu] dragged the drunken [Hei Yu] and ran away.
1:4:53|1:4:57|Liu Xiahe stood there in a daze.
1:4:57|1:5:0|Lao Yuan was awakened by a bucket of water and sighed discontentedly.
1:5:5|1:5:7|[Hei Yu], dressed in new clothes, ran over.
1:5:14|1:5:19|[Ni Kongkong] squatted down and took out the treasure.
1:5:19|1:5:27|Lao Yuan straightened up, took the treasure box, carefully examined it in his hand, and looked at the patterns on it with some familiarity.
1:5:27|1:5:32|A group of people followed Lao Yuan to the residence, which was intricately designed inside.
1:5:37|1:5:40|Several people leaped into the depths of the cave and discovered a hidden paradise.
1:6:24|1:6:33|[Ni Kongkong] decisively opened the huge ancient book, causing a cloud of dust to rise, as several people gathered around to read the parchment book.
1:6:43|1:6:56|Lao Yuan inserted it into the bottom of the treasure chest and gently turned it. The mechanism of the treasure chest was triggered, and the light ball inside evoked neon-like memories.
1:7:9|1:7:27|During the war between humans and giants, [Hei Yu] slaughtered the Jiao tribe, obtaining the Jiao Pearl and the golden disc, which could open the Eye of the Sky and summon thousands of dark and terrifying flying demons.
1:7:39|1:7:44|The Emperor dispatched a warrior to infiltrate the Sky City.
1:7:44|1:7:52|When the gel bead once again emitted light, the warrior risked his life to seize it.
1:7:52|1:7:58|The human army, together with the benevolent feathered people, took advantage of the situation and defeated [Emperor Feather].
1:7:58|1:8:2|The hero was sealed, and that warrior disappeared from then on.
1:8:29|1:8:35|Every time my hand gets close, Lao Yuan grabs [Ni Kongkong]'s hand just as I'm about to examine it.
1:8:35|1:8:37|Suddenly, there was a commotion outside the stone cave.
1:8:39|1:8:48|[Hei Yu] pulled out a dagger and stabbed it directly into the gel bead, but the gel bead, along with the box, shook violently, breaking the dagger in [Hei Yu]'s hand.
1:8:48|1:8:51|[Hei Yu] can only close the box first and prepare to deal with the enemy.
1:9:0|1:9:1|Hei Yu looked excited.
1:9:7|1:9:11|A gust of cold wind extinguished the sparks in the cave.
1:9:11|1:9:15|With long hair and armor, [Feng Xiao] descends from the sky, looking down on the crowd.
1:9:15|1:9:16|[Hei Yu] exclaimed in surprise.
1:9:28|1:9:29|Taunting Xue Lie.
1:9:40|1:9:42|[Xue Lie] immediately drew his sword and prepared to learn a lesson.
1:9:42|1:9:45|[Xue Lie] grabbed the sword blade and kicked it away.
1:9:45|1:9:48|Feng's dual blades struck down, but were blocked by [Jiang Chengzi].
1:9:48|1:9:50|Feng turns around and kicks [Jiang Chengzi] away.
1:9:50|1:9:55|[Xue Lie] headed straight for [Hei Yu], [Ni Kongkong] quickly threw a smoke bomb and took [Hei Yu] away.
1:9:55|1:10:1|On the other side, Hei Yu was locked in a fierce battle, while Ni Kongkong fainted. Not long after escaping, Xue Lie with flapping wings blocked their way.
1:10:3|1:10:15|Ni Kongkong flew to kick, but was knocked back by Xue Lie's punch, Hei Yu thrust his sword, but was skillfully caught by Xue Lie, then punched in the abdomen and flew out, Emperor ran over to hold Xue Lie.
1:10:15|1:10:29|[Lao Yuan] kicked the whole pot into the stone cave mechanism, giving [Hei Yu] and others a chance to escape. [Xue Lie] was about to pounce on [Lao Yuan] and kick him away, but [Lao Yuan] took the opportunity to escape through the hole. At the same time, [Feng Xiao] didn't gain any advantage under [He Ying]'s hands, and when he saw [Xue Lie] approaching, he stepped forward to take the lead.
1:10:33|1:10:39|Here, [Hei Yu] and [Ni Kongkong] arrived at a stone well through a mechanism.
1:10:39|1:10:45|[Ni Kongkong] shot the grappling hook into the air, [Hei Yu] flapped his wings and took off, and the two of them escaped from the predicament.
1:10:45|1:10:50|Shirley made a move and knocked down Jiang Chengzi's henchmen with three punches and two kicks.
1:10:50|1:10:52|Hei Yu and [Jiang Chengzi] arrived late.
1:11:2|1:11:13|Hei Yu wielded his sword and charged forward, Xue Lie leaped up, dodged and then sneaked into Hei Yu's wrist, kicked him away with one foot, turning into a steel field, and was kicked into the air by Xue Lie.
1:11:13|1:11:26|[Feng Xiao] kicked [Hei Yu] with both feet, then turned and kicked the crossbeam, causing it to hit the wooden top of the cave. The top immediately revealed his whereabouts, hanging on the hook of the wind on the cave, causing [Ni Kongkong] to fall into the top of the cave without a sound.
1:11:29|1:11:34|In the new episode, [Hei Yu] flew over [Feng Xiao]'s attack and arrived at the top of the cave.
1:11:50|1:11:54|[Feng Xiao] leaped towards [Hei Yu] for a kick, but unexpectedly, [Hei Yu] spread his wings and flew away.
1:11:54|1:12:3|[Feng Xiao] refused to give up, leaping onto the stone gate, then throwing himself down from the gate, grabbing [Hei Yu] mid-flight and dragging him to the ground, choking him.
1:12:5|1:12:9|[Hei Yu] counterattacks with a swing, [Feng Xiao] is caught off guard, striking fiercely at [Hei Yu]'s wing orifice.
1:12:36|1:12:42|[Hei Yu] and [Feng Xiao] embraced each other as they leaped off the cliff, falling into the lake below together.
1:12:42|1:12:46|[Feng Xiao] struggled to return to the surface, but [Hei Yu] was determined not to yield.
1:12:46|1:12:53|Soon, the two arrived at the top of the lake. [Feng Xiao] quickly grabbed the swaying hemp rope next to him and reached out to wrap it around [Hei Yu]'s neck.
1:12:54|1:12:56|[Hei Yu] incredulously widened his eyes.
1:12:56|1:13:3|[Feng Xiao] tightened the hemp rope in his hand, [Hei Yu] gradually couldn't hold on anymore, opened his mouth, and the lake water immediately poured in.
1:13:3|1:13:7|The rope around the neck was pulled tight by [Feng Xiao], causing [Hei Yu] to close his eyes and faint.
1:13:7|1:13:12|[Feng Xiao] searched [Hei Yu] and pulled out a box from him.
1:13:12|1:13:16|[Feng Xiao] walked away after getting the box, ignoring the unconscious [Hei Yu].
1:13:21|1:13:26|[Xue Lie] held [Hei Yu] by the neck with one hand until he lost consciousness.
1:13:26|1:13:30|With another hand gathering strength, [Hei Yu] was hit and sent flying, crashing into a stone pillar.
1:13:30|1:13:35|The rocks collapsed, and the insects swarmed directly towards [Hei Yu], landing on his body.
1:13:35|1:13:41|The giant rock lifted up clouds of dust, and [Xue Lie] watched the scene calmly.
1:13:51|1:13:56|[Xue Lie] smiled satisfactorily, while [Hei Yu] sank to the bottom of the lake, completely losing consciousness.
1:13:56|1:14:1|He closed his eyes tightly, and there was no expression on his once lively face.
1:14:6|1:14:15|Hei Yu swam down with all his strength, just to save the most important person in his life.
1:14:15|1:14:21|[Ni Kongkong] gently tapped [Hei Yu]'s cheek on the shore.
1:14:21|1:14:27|[Hei Yu], who had lost consciousness, suddenly coughed up some stagnant water from the vicious spear.
1:14:27|1:14:28|[Hei Yu] slowly opened his eyes.
1:14:37|1:14:46|Upon hearing this, [Hei Yu] immediately struggled to get up. [Ni Kongkong] looked at [Hei Yu] in surprise. [Hei Yu] leaped up, ready to fly, but fell down before spreading his wings.
1:14:59|1:15:6|Hei Yu was struggling to move Jiang Chengzi out from under the pile of rocks, and the heavily injured Jiang Chengzi seemed to be at his limit.
1:15:6|1:15:8|Hei Yu anxiously stepped forward.
1:15:18|1:15:23|[Ni Kongkong] and [Hei Yu] rushed over upon hearing the sound, and He Li investigated the situation of [Jiang Chengzi].
1:15:23|1:15:28|The angry [Ni Kongkong] grabbed Hei Yu by the neck and pressed him in front of Jiang Chengzi's body.
1:16:29|1:16:32|Ge Li picked up the sword to leave, but was stopped by [Ni Kongkong].
1:16:38|1:16:41|[Hei Yu] was dissatisfied with the passive attitude of [Ni Kongkong].
1:16:41|1:16:44|[Ni Kongkong] dared not meet [Hei Yu]'s gaze, hesitated for a moment and said.
1:16:49|1:16:51|The companion on the side was somewhat surprised to hear this.
1:18:1|1:18:11|Hei Yu grimaced and reluctantly stepped back, while [Ni Kongkong] turned around, looking at the mess on the ground, feeling endless sorrow in her heart. The so-called friendship had turned into a bubble.
1:18:11|1:18:16|The night was dark and windy, with a small boat drifting on the river, its lantern flickering. Hei Yu on the boat was struggling to pull the sail.
1:18:18|1:18:23|[Hei Yu] came to the side of the boat, and Ge Li saw [Hei Yu] approaching, unconsciously stopping the movement in her hands.
1:18:23|1:18:27|The two of them locked eyes, and He Li immediately went back to work.
1:18:27|1:18:33|[Hei Yu] walked forward and kicked a small water bottle, which was carried by [Ni Kongkong].
1:18:33|1:18:38|[Hei Yu] hesitated for a moment, then bent down to pick it up, while [Jiang Chengzi] brushed past [Hei Yu]'s black hair.
1:18:38|1:18:43|And [Hei Yu] secured the sails of the boat, looking back at the distant grottoes.
1:18:43|1:18:44|The heart couldn't help but think of Ni Kongkong.
1:18:47|1:18:56|[Jiang Chengzi] drifted downstream, getting farther and farther away, facing the black rain that blocked the way, standing alone at the bow without daring to look back, afraid of disturbing the melancholy in his heart.
1:18:56|1:19:3|And so, the night quickly passed, with the bird songs welcoming the long-lost dawn, and the morning mist rising on the great river.
1:19:4|1:19:11|[Hei Yu] finished washing up, paying great attention to his appearance. He brushed off the dust on his body and straightened his collar.
1:19:11|1:19:14|After tidying up, [Ni Kongkong] noticed the swaying wind chimes.
1:19:14|1:19:18|He gently held the wind chime with both hands, silencing it.
1:19:18|1:19:24|After stabilizing himself, he caught a glimpse of three [Fei Long] flying towards the small boat in the distance in the corner of his eye.
1:19:24|1:19:25|He shouted loudly in a hurry.
1:19:43|1:19:47|[Hei Yu] listened and then turned his gaze to the person riding the dragon.
1:19:47|1:19:53|As Fei Long flew closer, Hei Yu and Ni Kongkong gradually saw that the person riding the dragon was none other than the famous Emperor.
1:20:29|1:20:32|[Ni Kongkong] landed [Fei Long] on the shore and spoke to the two of them.
1:20:54|1:20:59|[Ni Kongkong] stared intently at [Hei Yu], but [Hei Yu] deliberately ignored him, then he spoke.
1:21:3|1:21:5|[Fei Long] immediately became extremely obedient.
1:21:5|1:21:8|[Fei Long] immediately became extremely obedient.
1:21:8|1:21:9|[Fei Long] immediately became extremely obedient.
1:21:9|1:21:11|[Fei Long] immediately became extremely obedient.
1:21:11|1:21:12|[Fei Long] immediately became extremely obedient.
1:21:33|1:21:38|[Hei Yu] said, "Mount [Fei Long] and go ahead first, with [Ni Kongkong] following closely behind."
1:21:45|1:21:49|And so, the three of them rode on [Fei Long] soaring in the clouds, shouting excitedly.
1:22:27|1:22:31|Ni Kongkong made a face at Hei Yu with a straight face and said.
1:22:52|1:22:59|The night in Tian Du City was brightly lit, from the palace to the streets, everyone was watching lanterns and various performances.
1:22:59|1:23:5|The Emperor absentmindedly watched the enchanting dance with the others, and after a moment, he whispered.
1:23:23|1:23:27|In the streets, festive lanterns were hung in front of every household.
1:23:27|1:23:31|The people on both sides of the street excitedly watched the floats of the performance show.
1:23:31|1:23:36|The strong men pounded the big drum with all their might, and everyone was immersed in the joy of the festival at that moment.
1:23:36|1:23:43|The parade of performance floats is very large, in addition to the floats, there are also acrobatics, dances, and more behind.
1:23:43|1:23:48|But the most mysterious were a group of people wearing festive clothes and masks.
1:23:48|1:23:52|They neither sing nor dance, just follow the team and look around as they move forward.
1:23:52|1:23:57|Following the departure, they arrived at the city gate of the [Emperor].
1:23:57|1:24:1|At the same time, a mysterious ritual was taking place in the palace of [Xue Lie].
1:24:1|1:24:5|After the witch finished chanting the spell, the baby girl started moving in a creepy manner.
1:24:5|1:24:8|[Xue Lie] gathered all his subordinates together and spoke to them.
1:24:26|1:24:40|[Jiang Chengzi] said, and in the blink of an eye, they flew to the sky above Tiandu City.
1:24:40|1:24:44|After exchanging a smile with the mysterious person in the team, he flew towards the palace full of determination.
1:24:44|1:24:49|The mysterious figure who received instructions took off the mask and revealed weapons, it turned out to be [Feng Xiao] and his subordinates.
1:24:52|1:24:55|When the soldier with a gun in hand was discovered, it was already too late.
1:24:55|1:25:0|[Feng Xiao] wields two knives, effortlessly taking down the approaching soldiers one by one as if cutting vegetables.
1:25:0|1:25:5|He shows no desire for battle, after dealing with the soldiers in front of him, he stands still at the city gate with his spear.
1:25:5|1:25:13|The powerful [Feng Xiao] astonishingly pushed open the city gate with his own strength, leading many feathered people to charge into the city.
1:25:16|1:25:29|At the same time, the palace was also in turmoil. Taking advantage of the parade performance, the elite assassination team had already climbed up the city wall from the side with hooks, easily dealt with the guards, and quietly made their way to the main hall.
1:25:29|1:25:42|At this moment, chaos erupted in the imperial city. The guards rushed towards the palace to rescue the Emperor. Just as the troops stepped onto the iron rope bridge, [Xue Lie] ignited the giant stone protecting the city, smashing the bridge directly and causing the rescue troops to fall down.
1:25:42|1:25:47|On the grand hall, only a dozen of the Emperor's personal guards are struggling to hold on.
1:25:47|1:25:54|The situation is indeed critical, the Emperor himself had to draw his sword and join the battle with the other generals.
1:26:37|1:26:41|Excited [Ni Kongkong] rushed forward to engage in a battle with the other.
1:26:41|1:26:45|At the same time, [Yang Zhenhu], [Feng Xiao], and a few others arrived at the secret chamber of the palace.
1:26:47|1:26:59|[Xue Lie] flew to the front of the secret chamber door, retracted his wings behind him, then took out the stolen key, inserted it into the mechanism of the door, the heavy stone door slowly rose, [Xue Lie] and others with eager faces greeted the dream.
1:26:59|1:27:8|Just then, two cold arrows shot from behind [Xue Lie], [Xue Lie] quickly blocked them and rebounded the arrows back, [Yang Zhenhu] arrived with his men in time.
1:27:15|1:27:25|[Xue Lie] said, leading a few guards to walk elegantly towards the secret room, leaving [Feng Xiao] team and [Yang Zhenhu] to engage in a fierce battle, during which the shadow warriors shot darts at the [Emperor].
1:27:30|1:27:35|At this moment, [Xue Lie] has already passed through the winding corridors of the secret chamber and arrived at the main hall.
1:27:35|1:27:44|The grand hall was extremely dark, just like [Ni Kongkong], but the decorations around were exceptionally exquisite, indicating the former glory of this place from the fine craftsmanship of various stone carvings.
1:27:44|1:27:54|[Xue Lie] seems very familiar with this place. He spread his wings and leaped to the stone pillar in the center of the hall, then embedded the Sky Eye he snatched from Prince Jun Lake into the pillar.
1:27:54|1:27:59|In an instant, above the stone pillar, the true Eye of the Sky did not appear.
1:27:59|1:28:5|At this moment, Neon Palace and [Hei Yu] also arrived at the door of the secret room, leaping down from [Fei Long] to join the battle.
1:28:5|1:28:8|The arrival of the two inadvertently gave wings to the wild tiger of [Yang Zhenhu]'s army.
1:28:8|1:28:13|At this moment, Shadi's [Feng Xiao] saw [Hei Yu] and gritted his teeth, saying.
1:28:34|1:28:39|[Yang Zhenhu] was completely puzzled, but seeing Ni Honghong's anxious look, he followed him into the secret room.
1:28:39|1:28:42|As soon as the two of them walked into the alley, they were ambushed by the enemy.
1:28:55|1:28:59|The two of them defeated the enemies in front of them and prepared to walk towards the main hall.
1:28:59|1:29:9|At this moment, dozens of feathered people suddenly appeared and surrounded the two. [Ni Kongkong] saw the situation and quickly told [Hei Yu] to hold his breath. Then, [Hei Yu] let out a fart, causing many feathered people to faint directly from the stench.
1:29:9|1:29:13|Outside the door, the greatly improved [Hei Yu] and [Feng Xiao] were locked in a fierce battle.
1:29:13|1:29:20|After a dozen exchanges, [Hei Yu] unexpectedly gained the upper hand, forcing [Feng Xiao] to defend himself and even pushing him to the edge of the city wall.
1:29:20|1:29:23|In the palace, with the help of He Li, the situation was successfully turned around.
1:29:24|1:29:29|After eliminating the Feather Tribe soldiers, Hei Yu and the Emperor worked together to capture [He Ying] alive.
1:29:29|1:29:31|[He Ying] was forced to throw away her weapon and surrender.
1:29:31|1:29:36|On the other side, [Hei Yu] accidentally kicked [Feng Xiao] onto the spikes on the city wall.
1:30:6|1:30:13|In the secret room, [Xue Lie] is preparing to open the fusion of the gel beads and the Eye of the Sky.
1:30:16|1:30:21|Ni Kongkong puzzled Xue Lie with a move, and quickly snatched the glue bead from his hand.
1:30:21|1:30:25|Xue Lie, seeing the situation, chased after Ou Ka, and Yang Zhenhu struck with a sword.
1:30:25|1:30:28|Xue Lie dodged an attack by leaning to the side, then kicked and pushed the opponent back.
1:30:28|1:30:35|[Yang Zhenhu] was shocked by the power of Xue Lie. Although he found it hard to believe, in the face of the urgent situation, he had no choice but to fully engage in the battle.
1:30:36|1:30:44|Xue Lie easily dodged all of Yang Zhenhu's powerful attacks and even pierced through Yang Zhenhu's shoulder armor with bone spurs.
1:30:47|1:30:51|Okka hung from the rubber beads and started to run, but no matter how fast he ran, he couldn't outrun the flying Xue Lie.
1:30:55|1:31:0|[Ni Kongkong] caught the glue bead and turned to run, but was caught up by Xue Lie after just a few steps.
1:31:0|1:31:6|He tried to resist, but Xue Lie's heavy punch sent Ni Kongkong flying several seconds away.
1:31:6|1:31:11|He struggled to climb up with gritted teeth, but as soon as he looked up, he saw bone spikes coming towards him.
1:31:12|1:31:18|Just as Bone Spike was about to pierce him, Ni Kongkong suddenly pushed open the spray, but he was stabbed.
1:31:18|1:31:23|Xue Lie retracted his bone spurs, and Okka fell to the ground instantly, lifeless.
1:31:30|1:31:34|Xue Lie opened the box of Jiao Zhu and placed it in front of [He Ying].
1:31:34|1:31:37|After a moment, Jiao Zhu was sucked into the [Sky Shadow].
1:31:37|1:31:41|At the moment of their combination, Jiao Zhu unleashes tremendous power.
1:31:41|1:31:46|At this moment, Ni Kongkong couldn't care less about where Jiaozhu would go or what he would do. She held Okka and cried out.
1:32:22|1:32:32|Jiaozhu and [Ni Kongkong] merged briefly, and Jiaozhu's energy was fully activated, as a huge energy fluctuation gathered through [Ni Kongkong].
1:32:32|1:32:39|The next moment, all the energy turned into beams of light shooting into the sky, as if the huge energy of the gel beads tore open a hole in the sky.
1:32:39|1:32:50|Throughout the scene, everyone looked up in astonishment at the sky, except for [Ni Kongkong], who paid no attention. He slowly placed the okra on the ground and finally turned all his anger into strength, rushing towards the snow.
1:32:51|1:32:58|Ni Kongkong, after all, is just a physical body. Despite a shot of anger, in the face of absolute strength, it appears insignificant.
1:32:58|1:33:11|Xue Lie's ordinary punch sent Ni Kongkong flying again, at this moment, [Hei Yu] rushed over with the guards.
1:33:11|1:33:20|Two guards obeyed the order and dared not to be negligent. They reached out to try to take down the Jiao Zhu directly, but unexpectedly, they were instantly annihilated by the energy of the Jiao Zhu.
1:33:30|1:33:34|Through the windows of the great hall, [Ni Kongkong] looked eagerly at the cracks in the sky.
1:33:34|1:33:42|The cracks became more dazzling, and as energy was injected, dozens of splashes flew out of the cracks and scattered to various corners of Tian Du City.
1:33:42|1:33:45|The flying creature has a bird-like body, but with a strange shape.
1:33:45|1:33:51|The body has three pairs of small wings on both sides, the body is semi-transparent, and the mouth on the face is very sharp.
1:33:51|1:33:59|The people had never seen foam before and were very curious. A man stared intently at the foam beside him, even wanting to touch it with his hand.
1:33:59|1:34:2|The next moment, the spray suddenly attacked, directly drilling into the man's body.
1:34:3|1:34:21|Before the man could react, splashes burst out from his heart. Instantly, the people in the city scattered like a pot boiling over, while hundreds of splashes in the city kept chasing after them, continuously drilling into the bodies of the people. Even more terrifying, from the cracks in the sky, a dense swarm of splashes flew out.
1:34:21|1:34:26|Like a waterfall rushing towards the Heavenly Capital, the spray quickly descended onto the streets of the city.
1:34:27|1:34:35|Its destructive power is like a locust plague, causing grass to grow in an instant. With a small and agile body, it moves at an extremely fast speed. With such formidable characteristics combined, the [Emperor] issued the order upon seeing this.
1:35:4|1:35:8|The Emperor was about to give orders when he saw Hei Yu riding Fei Long into the sky.
1:35:32|1:35:38|Xue Lie said, with a fierce expression, drew out his own sword and rushed towards [Hei Yu], who drew his sword to defend.
1:35:38|1:35:45|Black Feather, who has grown wings, and the powerful Xue Lie fought fiercely for a short period of time, leaving Xue Lie surprised by the evenly matched battle.
1:35:45|1:35:52|[Hei Yu] seized the surprised sword move of Xue Lie, chopping off the armor on Xue Lie's left arm with a sword, but at the same time, he was kicked and sent flying.
1:35:52|1:35:57|[Hei Yu] ignored the pain and quickly got up from the ground to continue the fight.
1:35:57|1:36:10|Just then, as [Hei Yu] was getting the upper hand, [Ni Kongkong] slowly walked up to Jiao Zhu. After looking at the crack in the palm of his hand, he reached out directly to try to take the Jiao Zhu.
1:36:10|1:36:17|[Ni Kongkong], who could resonate with the Focus Bead, was not engulfed by its energy, but instead getting closer and closer to the Focus Bead.
1:36:19|1:36:23|Xue Lie cut off his wings, flew to [Ni Kongkong]'s side, and stabbed towards his chest with a sword.
1:36:30|1:36:35|Ni Kongkong was kicked away by Xue Lie, while [Hei Yu] flew to Xue Lie's chest to attack.
1:36:35|1:36:41|At this moment, [Feng Xiao] suddenly appeared and threw himself forward, shooting an arrow into the back of Xue Lie.
1:36:41|1:36:48|Xue Lie, injured, temporarily withdrew from the battle. Hei Yu and Feng Xiao quickly helped Ni Kongkong up.
1:36:55|1:37:12|Impatient [Hei Yu] had just finished speaking when he swung his sword towards Xue Lie once again. Meanwhile, [Ni Kongkong] knew his mission was to retrieve the gel bead. He leaped joyfully, reaching out towards the bead with all his might, trying to bring his palm closer to it. At that moment, the evil forces also joined the battle, helping [Ni Kongkong] buy time along with [Hei Yu].
1:37:12|1:37:30|The Snowsplit Sword unleashed its full power, first kicking the Evil Force unconscious, then forcing [Hei Yu] to retreat step by step. At the same time, the Heavenly City was already riddled with holes under the piercing spray, with cracks in the sky continuously spewing out the spray. Even the heavy city towers could not withstand the spray's attack and collapsed.
1:37:30|1:37:43|In the secret room, [Hei Yu] and Ge Li, although being repeatedly repelled by Xue Lie, did not hesitate at all to stand up time and time again in order to fight for time, stop Xue Lie's conspiracy, and protect the people of Tian Du City.
1:37:43|1:37:50|Although not a match for Xue Lie, even if they could fight for just one more second, they would rush up without hesitation.
1:37:50|1:37:57|After Xue Lie repelled two people, he leaped forward and shot an arrow straight towards [Ni Kongkong], with Fei Yu and Ge Li flying over trying to stop him.
1:37:57|1:38:3|Just as the arrow mark of Xue Lie was about to hit [Ni Kongkong], he successfully took the gel bead from the Eye of the Sky.
1:38:3|1:38:7|In an instant, a huge energy fluctuation sent everyone present flying.
1:38:7|1:38:17|The splashes raging in the city were shattered, without the surrendered energy, the cracks in the sky gradually closed, and the remaining splashes were sucked back by [Jing Shu].
1:38:17|1:38:24|After a night of battle, the first rays of morning sun once again greeted the Heavenly City, but [Hei Yu] lay motionless on the ground in the secret chamber.
