0:1:27|0:1:31|In the sky above the city, a group of white doves flies by, marking the beginning of the film.
0:49:28|0:49:34|He walked to the corner of the wall and put down the baseball bat, raising both hands to gesture the position, and then slowly put them down.
0:49:35|0:49:39|Close your eyes and envision possible scenarios in your mind.
0:49:39|0:49:49|A masked man holding a dagger stabbed towards him from behind, he grabbed the man's arm with one hand and placed the other arm under the man's armpit, then forcefully knocked him down to the ground.
0:49:49|0:49:53|The masked man reacted quickly, raising his other hand, only to be blocked by [Qiu Le].
0:49:53|0:50:1|At the same time, the masked man quickly got up and threw punches from side to side, but was dodged by [Qiu Le], who then controlled one of his arms in the same manner.
0:50:1|0:50:6|But this time the masked man quickly drew out his weapon and forced [Qiu Le] to lie down on the table.
0:50:6|0:50:10|[Qiu Le] raised his hand to block him, then stood up and jumped off the table to pin him down on the ground.
0:50:10|0:50:15|He looked up and saw the baseball bat in the corner, but before he could reach for it, he was stabbed by the masked man.
0:50:15|0:50:22|The practice ended, [Qiu Le] shook his head, moved the bat closer to the cabinet, and started practicing again.
0:50:22|0:50:26|After knocking down the masked man this time, he picked up the baseball bat and knocked him unconscious.
0:50:29|0:50:44|The scene shifts to [Fei Xin], who is sitting at a table entering information into a computer. The search bar displays the name [Qiu Le], and the interface switches to show another side where Tesla is also busy on the computer. Soon, [Fei Xin]'s computer screen instantly shows no relevant pages.
0:50:46|0:50:59|As the lines of code in Tesla were completed, [Fei Xin] returned and entered again, only to quickly find that it still redirected to an unrelated page. Finally, Tesla's computer displayed "data cleared," prompting an annoyed exclamation from [Fei Xin].
0:51:3|0:51:18|The information on the computer interface disappeared in front of [Fei Xin], who touched his face with his hand. The screen then turned black and shifted to a bar, where [Qiu Le] was sitting at the bar counter, pouring the small glass of liquor in front of him into a larger glass.
0:51:20|0:51:25|He, who had already drunk a lot beforehand, picked up the wine glass and drank it all in one gulp.
0:51:33|0:51:36|At this moment, a beautiful woman walked over to him and asked:
0:51:48|0:51:51|Just as he was about to finish drinking, a hand reached over and took his glass.
0:51:56|0:52:3|[Tang Chan] took the wine glass, brought it to his lips, took a sip, then propped his head with one hand and looked at [Ou Jian].
0:52:3|0:52:8|[Ou Jian] picked up the can again, ready to pour the remaining small wine glasses, but was taken away by [Tang Chan].
0:52:8|0:52:16|[Tang Chan] glanced at him with a flickering gaze, then put two small wine glasses into the large cup.
0:52:16|0:52:21|[Qiu Le] turned to look at him, picked up a glass of wine, leaned forward, and said to [Qiu Le].
0:52:25|0:52:32|The two looked at each other and smiled, then [Tang Chen] drank the wine in his hand, and [Ou Jian] also finished the wine in his glass.
0:52:32|0:52:40|Shortly afterwards, [Qu Jian] was assisted by [Tang Chen] to the hotel, where he threw his coat onto the bed and lay down himself.
0:52:41|0:52:48|[Tang Chan] then smiled and took a few steps back, turned around and entered the bathroom. After that, in front of the mirror, he untied his hair and took off his clothes.
0:52:48|0:52:56|On the bed, [Ou Jian] seemed somewhat awake as he raised his head, looking at the hotel room in front of him, and then glanced at [Tang Chan].
0:52:56|0:52:58|He then covered his eyes with his hand in front of his forehead.
0:52:59|0:53:5|[Tang Chan], who had changed into a bathrobe, walked over and sat down in front of him, reaching out to unbutton his shirt.
0:53:5|0:53:12|[Qu Jian] just stared blankly at [Tang Chan], then looked down at the hands on his chest without saying a word.
0:53:12|0:53:20|Next, he took out a condom and was about to tear it open, but was stopped by [Qu Jian] who raised his hand and slapped it away.
0:53:20|0:53:23|[Tang Chan] looked at him blankly, and he explained with a smile.
0:53:39|0:53:52|[Ou Jian] patted his chest, while [Tang Chen] smiled and took off the hair clip. Then she reached out to sweep her hair back, and then threw herself into [Ou Jian]'s arms by the bed, kissing his cheek affectionately and caressing his waist.
0:53:52|0:54:2|Slowly, he started kissing [Qu Jian]. Under the night sky, amidst the lights, fireworks were set off, while the two inside the house must have had a passionate night, and the scene gradually darkened.
0:54:3|0:54:19|After a night, [Ou Jian]'s coat was placed on the hotel bed. He woke up naked and sat up, rubbing his temples due to a hangover. With half-opened eyes, he glanced around the room before shifting his gaze to the window.
0:54:31|0:54:42|[Ou Jian] opened the door of room 1017 from inside. Before he could close the door, a man wearing a hat and a mask, pushing a cleaning cart, approached from a distance.
0:54:45|0:54:50|The man nodded and quickly walked into room 1017, closing the door behind him.
0:54:50|0:55:2|Upon entering the room, Fei Xin took out a camera from the cleaning car, looked around, and started shooting everywhere inside the house.
0:55:2|0:55:5|[Ou Jian] then arrived at the front desk in the lobby.
0:55:19|0:55:25|[Ou Jian] returned to that floor and ran towards 1017.
0:55:25|0:55:28|The door of room 1017 was wide open.
0:55:28|0:55:31|After he entered, he looked around and a female janitor asked.
0:55:43|0:55:51|At this moment, at the back door of the hotel building, [Qiu Le], who has changed back into his own clothes, walks out with a camera in hand. As he opens the car door, he says to [Fei Xin].
0:56:6|0:56:8|[Ou Jian] arrived at a clothing store.
0:56:16|0:56:18|She stood with her hands behind her back, looking at the clothes displayed in the shop.
0:56:18|0:56:23|At this moment, [Shen Jiamei] walked out from inside, and both of them smiled.
0:56:24|0:56:28|[Shen Jiamei] walked up to her, followed by a little boy behind her.
0:56:28|0:56:31|Ou Jian looked at the little boy.
0:56:40|0:56:48|Outside the clothing store, on the street, [Qiu Le] stops the car, [Fei Xin] holds a camera and takes pictures, while [Qiu Le] raises a telescope to look.
0:56:48|0:56:57|In the store, [Shen Jiamei] took measurements of [Ou Jian] as if hugging him after coming out of the fitting room, then stepped back after pulling the tape measure taut, and looked at it, saying.
0:57:14|0:57:17|Qu Jian thought for a moment, then leaned over slightly and said.
0:57:18|0:57:28|[Shen Jiamei] blinked, lowered her head, took a measuring tape and walked up to Ou Jian, wrapping the tape around his neck.
0:57:28|0:57:34|Ou Jian slightly lowered his head, the two facing each other very closely, [Shen Jiamei] spoke again.
0:57:46|0:57:50|[Shen Jiamei] went to measure the size of her arms again. Upon hearing Ou Jian's words, she pursed her lips.
0:57:53|0:57:58|Jiamei didn't look up, Fei Xin's eyes flickered slightly, Jiamei looked at him, waiting for his answer.
0:57:58|0:58:2|[Qu Jian] first avoided eye contact, then glanced at Jiamei and said.
0:58:32|0:58:38|They were unaware that not far away, [Tesla] was also holding a camera and filming the actions of the two people in the store.
0:58:38|0:58:42|Returning home, [Qiu Le] said to [Fei Xin] who was picking up balls on the table.
0:58:47|0:58:49|She is [Ou Jian]'s ex-wife.
0:59:9|0:59:10|The scene shifts to a coffee shop.
0:59:13|0:59:30|The lower half of the face of the speaking [Tesla] is almost identical to [Qiu Le], he pushed the photos to the man, who looked through them one by one. The man felt a sourness in his nose as he tried to hold back his emotions, while the [Tesla] across from him took a sip of coffee and revealed a barely noticeable smile.
0:59:30|0:59:36|The scene shifts to [Shen Jiamei]'s home, where she is also sitting at a table looking at photos. Her phone vibrates, and she picks it up to answer.
0:59:44|0:59:58|The man who previously drove [Shen Jiamei] into the living room, poured a glass of water and walked behind [Shen Jiamei], saw a photo on the table with [Shen Jiamei], [Qiu Le], and [Fei Xin].
1:0:13|1:0:20|Shen Jiamei's husband casually picked up an apple from the fruit plate, took a bite as he walked, and glanced back at Shen Jiamei.
1:0:20|1:0:25|After returning to the bedroom, she first put on a suit jacket and then turned to the mirror to adjust the collar.
1:0:26|1:0:31|Continuing to squat on the ground, he unzipped a large bag and put the gun in his hand inside.
1:0:31|1:0:34|The big bag is already filled with all kinds of guns.
1:0:37|1:0:54|He zipped up his bag and walked out the door. The scene shifted to a restaurant with various slogans about bullwhips written on the glass. Inside, customers were scooping out freshly cooked dishes from the pot, toasting and chatting. The kitchen sent out a plate of bullwhips, and at a table, three pairs of chopsticks were used to cook together.
1:0:54|1:1:10|One of the hands belongs to Fei Xin's client, the Korean underworld boss. The woman under him saw him pick up the bullwhip and turned her head to the other side. The Korean boss took a bite of the bullwhip, and the black-clothed strong man beside him frowned and said, "Please enjoy."
1:1:28|1:1:37|One of the henchmen pointed at the Korean boss, and everyone at the table looked over.
1:1:46|1:1:48|As the voice fell, several henchmen stood up from the row of tables.
1:1:49|1:1:52|The Korean boss gestured everyone to sit down by extending his hand.
1:1:58|1:2:9|Husband Jia Mei, Du Ge, raised his glass and gestured towards the Korean table, smiling. The Korean table also raised their glasses, and both sides drank without saying a word.
1:2:9|1:2:16|Du Ge took off his jacket at this table, with "Du Ge Express" printed on his short sleeves. It turns out they are going to play real-life CS.
1:2:16|1:2:18|The scene shifts to [Nan Fang]'s home, where he opens the door.
1:2:21|1:2:26|[Nan Fang] reaches out to open the door.
1:2:26|1:2:32|[Nan Fang] walked to the dining table to pour water, while [Shen Jiamei] stood by, holding a lighter.
1:2:32|1:2:37|She looked around and saw the wedding photo of [Nan Fang] and Ou Jian on the wall, her expression changed immediately.
1:2:39|1:2:43|At this moment, [Nan Fang] walked up to her and looked at the wedding photo together.
1:2:43|1:2:50|Fei Xin turned her originally smiling face around, looking very indifferent, and asked her who was staring blankly at the wedding photo.
1:3:14|1:3:21|[Shen Jiamei] took out two bottles from the bag provided by [Fei Xin], [Nan Fang] walked over with a serious expression and threw a stack of photos on the table.
1:3:21|1:3:28|[Nan Fang] leaned on the table with one hand and held the just poured water with the other, feeling a slight tingling in the nose, as he said to [Shen Jiamei] who was looking at the photos.
1:4:28|1:4:31|The man splashed the water in his hand and shouted.
1:4:39|1:4:45|Jiamei wiped the water off with the back of her hand, took a deep breath, and said something to [Nan Fang].
1:4:49|1:4:54|After speaking, [Shen Jiamei] left towards the door, leaving [Nan Fang] standing in place, feeling both sad and angry.
1:4:54|1:5:7|[Nan Fang] watched as [Shen Jiamei] walked away, the veins on his neck bulging as he took deep breaths. Then, [Nan Fang] angrily overturned the water glass on the table, causing it to fall to the ground and spill water everywhere.
1:5:7|1:5:20|[Qu Jian] was sitting on a balcony by the sea at this moment, scrolling through pages and looking at various firearms. Meanwhile, [Fei Xin] was drinking coffee and monitoring [Qu Jian]'s browsing interface. [Qu Jian] highlighted a page and sent a message to the buyer, asking him:
1:5:26|1:5:32|[Fei Xin] The message popped up on the computer screen, causing him to quickly set down his cup and reply.
1:5:33|1:5:34|Continuing on.
1:5:39|1:5:44|[Qu Jian] took a sip of the wine on the table, muttered a few words, and replied "OK" to the buyer.
1:5:44|1:5:50|[Fei Xin] saw [Qu Jian] taking the bait, leaned back in the chair, and took a sip of coffee.
1:5:50|1:6:1|The scene shifts, with [Qu Jian] wearing sunglasses, holding a briefcase in one hand and an umbrella in the other, arriving at the entrance of an abandoned amusement park. Thick iron chains are wrapped around the gate of the amusement park.
1:6:4|1:6:12|He pushed the door back, there was no gap at all. Then he turned around, bent down to look at the lock on the door, gave it a pull, and a small section of the door opened.
1:6:12|1:6:19|The sign at the door reads, "Magician Shao Manbanam, will have you fooled in minutes."
1:6:19|1:6:26|Ou Jian turned around, took a look at the way he came, then bent down and went through the small door, walking towards the entrance of the amusement park.
1:6:27|1:6:31|An adult is leading a child ahead, while [Qu Jian] looks around.
1:6:31|1:6:39|From above, you can see that this place is located under an overpass, with abundant trees, an artificial lake, and some amusement facilities.
1:6:39|1:6:41|[Ou Jian] passed by a roller coaster track.
1:6:41|1:6:46|Fei Xin raised his wrist to wipe the sweat off his face, when suddenly a noise came from behind.
1:6:51|1:7:2|The high-speed roller coaster turned with the sharp laughter of children. Fei Xin got off and quickly turned his head, not noticing anything unusual, then looked around.
1:7:2|1:7:10|Further inside, there is a round railing entrance to the blood donation station with a flying chair. Warning, this facility is no longer in use, please do not climb or enter.
1:7:11|1:7:26|[Ou Jian] found a performance hall and walked in. The rhombus-patterned wallpaper was still adorned with large playing cards. Several people were performing on stage, while adults and children sat below the stage entrance. Next to them was an old lady.
1:7:26|1:7:31|On stage, a girl is holding a gun in her hand, being chased and playing around by two companions.
1:7:33|1:7:38|The little boy took the gun and pointed it at his own head, while the girl and the clown quickly waved their hands.
1:7:38|1:7:43|The little boy pointed the gun at [The Joker], who raised his hands in fear and backed away.
1:7:43|1:7:49|At this moment, all three of them noticed [Ou Jian] in the audience.
1:7:49|1:7:54|Then, the little boy pulled the trigger, and to everyone's surprise, [the clown] caught the bullet that was shot at him with both hands.
1:7:55|1:8:3|The three of them, Fei Xin, Qiu Le, and Qu Jian, happily jumped and spun around on the stage, the little boy handed the gun to [Clown], and then ran off the stage with the girl.
1:8:3|1:8:11|[The Clown] then pointed the gun at [Qu Jian], who calmly raised the scattered wings in his hand, and [The Clown] walked off the stage.
1:8:11|1:8:17|[Ou Jian] wanted to catch up with [Li Zong], and as he passed by the three people sitting down, the child suddenly turned his head to look at him.
1:8:17|1:8:24|The hall was decorated with various ribbons, and the tables and chairs were the kind of connected tables and chairs in the canteen. Everything was filled with a strange atmosphere.
1:8:27|1:8:31|[Qu Jian] walked up to a dressing room on the attic, where a boy's voice could be heard.
1:8:39|1:8:48|The round lights on the makeup mirror lit up, [Qu Jian] turned them on, [Fei Xin] walked in, looked at [Qu Jian], then smiled and walked to the side.
1:8:48|1:8:55|First, put the pistol that was just used in hand on the table, then place the customized box on top, and take out the gun wrapped in paper from inside.
1:9:1|1:9:5|Ou Jian opened the packaged handgun and picked up the one used by the clown.
1:9:5|1:9:8|Qu Jian grabbed the clown's arm, and the clown nodded.
1:9:26|1:9:29|Next, Ou Jian took out the prepared money from his briefcase.
1:9:29|1:9:33|The clown took it, nodded, and turned to walk to the mirror.
1:9:48|1:9:52|Ou Jian took advantage of this opportunity to swap the positions of two guns.
1:10:10|1:10:13|The scene cuts to the police station, Officer Chen pushes open the door.
1:10:25|1:10:31|The scene returns to Fei Xin's home, with photos of Nan Fang, Qu Jian, and Shen Jiamei on the wall.
1:10:31|1:10:34|He was staring at the relationship chart of these people, pursing his lips.
1:10:34|1:10:37|The doorbell rang, and he took out his phone to check.
1:10:37|1:10:41|He immediately walked downstairs and spoke to the already arrived Officer Chen.
1:11:27|1:11:34|We went to the hotel, [Officer Chen] stood with his hands on his hips, pursed his lips, and after a moment of thought, said.
1:11:39|1:11:45|[Fei Xin] came to the hotel with a photo of Qiu Le, accompanied by Officer Chen and his subordinates.
1:11:53|1:11:58|The receptionist led him to the monitoring room, where [Fei Xin] frowned as he looked at the surveillance footage.
1:12:3|1:12:6|[Officer Chen] tilted up the corners of his mouth behind him, looking even more confident.
1:12:6|1:12:11|The people coming in and out of the hotel and taking the elevator were all captured by the surveillance cameras.
1:12:11|1:12:14|And at this moment, he was walking in the parking lot carrying a large bag of firearms.
1:12:15|1:12:25|Approaching a car, [Fei Xin] inserted an iron ruler into the gap of the window, then easily opened the trunk, threw the bag in, and walked away.
1:12:25|1:12:33|At the hotel, [Fei Xin] stood at the door of room 307, holding a screenshot of the surveillance footage, rubbing the lower half of his face with his hand.
1:12:33|1:12:41|In the parking lot, Qiu Le pushes a shopping cart over, opens the trunk, and is about to put things in when he notices an extra bag.
1:12:41|1:12:44|He put down the things, unzipped the bag, revealing many firearms.
1:12:47|1:12:56|He quickly closed the trunk, scanned the surroundings with his eyes, then sat in the driver's seat, resting his hand against his lips, deep in thought.
1:13:27|1:13:35|Officer Chen turned around and looked at [Fei Xin], who was holding a photo and mimicking the person in the surveillance footage, walking from the room to the elevator.
1:13:35|1:13:38|Next, Officer Chen and others drove off to find [Qiu Le].
1:13:38|1:13:42|Several police cars drove past the main parking lot of [Qiu Le] on the street.
1:13:44|1:13:55|Two traffic police cars stopped on both sides of the intersection, signaling the approaching cars to stop, in order to ensure the police car transporting the captured criminals to pass through the intersection quickly and smoothly.
1:13:55|1:13:59|The police cars arrived and quickly cordoned off the parking lot with a police line.
1:13:59|1:14:9|Three snipers arrived at the underground parking lot, took the elevator, and as Officer Chen and others in bulletproof vests rushed to the roadside, a subordinate ran over with a tablet.
1:14:18|1:14:22|Police officers were stationed one after another, and pedestrians on the roadside stopped to watch Fei Xin and Qiu Le.
1:14:36|1:14:52|The police in the parking lot slowly approached [Qiu Le]'s car, while the helicopter above captured the situation on the ground. Dozens of police officers were seen moving quickly in the parking lot, one after another, all holding guns and using cars as cover.
1:14:52|1:15:1|Two police officers approached the sides of the car, with one opening the door and the other holding a gun as they moved closer, only to find [Qiu Le]'s phone on the driver's seat.
1:15:2|1:15:5|And [Qiu Le] is in the hallway not far away.
1:15:46|1:15:51|[Fei Xin] walked out of [Nan Fang]'s house and was photographed several times by [Qu Jian] hiding in the bushes.
1:16:0|1:16:5|The scene shifts to a shooting range, where [Fei Xin] moves the target to a far distance.
1:16:5|1:16:11|[Qiu Le] fired several shots, then changed the magazine and continued shooting, leaving bullet holes in the bullseye.
1:16:11|1:16:17|[Fei Xin] walked in, stood behind him, and took off his headphones.
1:17:5|1:17:8|[Fei Xin] grabbed Qiu Le and turned the gun towards him.
1:17:10|1:17:17|[Fei Xin] fiercely swung his hand, while [Qiu Le] stared at him in silence.
1:17:17|1:17:22|After speaking, [Qiu Le] turned and left the shooting range.
1:17:22|1:17:30|[Fei Xin] opened his mouth to say something as he watched his back recede, but in the end, he just sighed and walked over to the shooting window to press the button.
1:17:31|1:17:45|[Qiu Le] shot the board that moved over, leaned in to take a closer look, stuck his index finger in, only then did he realize that all he had just shot were food rings. It seemed like he had figured something out, as he rubbed his chin with his hand.
1:17:57|1:18:4|Thinking back to the time at the coffee shop with [Qiu Le], there was a man who looked very similar to [Qiu Le], who had once brushed past me.
1:18:5|1:18:34|Fei Xin took a look back and saw Tesla hiding behind the corner. Thinking about this, Fei Xin took out his phone and sent the photo of the man selling guns in the hotel to the Korean boss. Upon receiving the message, the Korean boss opened the photo and Fei Xin leaned back, cursing in Korean.
1:18:37|1:18:45|[Qiu Le], leaving the shooting range, walked in the alley at night, unaware that a Tesla with a hat on was following closely behind.
1:18:45|1:18:55|Qiu Le's brow furrowed slightly, Tesla maintained a certain distance, and the two walked around in this way, one in front and one behind, passing through this moonlit alley.
1:18:55|1:19:0|Later, when Huixin returned home, she saw someone sitting on the sofa.
1:19:0|1:19:4|He first paused for a moment, then lifted the corners of his mouth and said.
1:19:19|1:19:22|[Fei Xin] walks up the stairs, feeling the dog on the stairs.
1:19:24|1:19:30|In the moment of bending down and standing up, [Fei Xin] noticed a bottle of wine on the table next to the sofa.
1:19:30|1:19:36|As she walked up the stairs, [Qiu Le] glanced sideways, and at that moment Tang Chan rushed in through the door, shouting.
1:19:38|1:19:43|Fei Xin ran downstairs, only to be slapped by Tang Chan as soon as she reached the bottom.
1:20:6|1:20:11|Tang Chan gave [Fei Xin] a fierce look before turning and walking out the door.
1:20:11|1:20:18|[Fei Xin] wrinkled her nose in confusion, then ran out the door. However, she didn't go after Tang Chan, but went to the hospital.
1:20:18|1:20:31|She pushed open the door with sunglasses on, ignoring the waiting pregnant women's gaze. After adjusting her glasses, she put her hands in her pockets and pushed open the door of the obstetrics and gynecology doctor's office without hesitation.
1:20:31|1:20:32|"Go in," asked [Doctor].
1:20:35|1:20:45|[Fei Xin] sat down, the doctor in front of him didn't even lift his head. Then he took off his cold glasses and put them on the table, stroking his chin, as if the surroundings were all magically forbidden.
1:22:27|1:22:30|[The doctor] stood up and walked over to him.
1:22:44|1:22:59|[Fei Xin] sat on the chair, turned his head up, and the [Doctor] also followed by bowing his head. After the two of them made a kissing gesture, [Fei Xin] walked out of the office, while the [Doctor] happily stood in place waving his arms.
1:22:59|1:23:5|The scene shifts to a small path, with the boss of the Korean gang walking at the front, rubbing his stomach and speaking.
1:23:21|1:23:26|The Korean boss's phone vibrated, and he took it out to see, calling out Tesla's name.
1:23:26|1:23:29|His subordinates gathered around him as he flipped to the next photo.
1:23:33|1:23:37|The Korean boss pushed his men back the way they came.
1:23:37|1:23:40|The scene cuts to [Fei Xin], who walks into his house and takes off his coat.
1:23:53|1:23:57|Later they got divorced.
1:24:5|1:24:9|After the treatment, [Fei Xin] finally gave birth to a son.
1:24:15|1:24:20|Until he had a daughter, he believed the child was not his.
1:24:39|1:24:40|[Fei Xin] took a sip of wine.
1:25:16|1:25:20|It turns out that Fei Xin just put something in the drink and then shook it.
1:25:20|1:25:23|He forcefully looked at [Fei Xin].
1:25:40|1:25:47|Tesla's eyes were already a bit unfocused, and his body swayed and staggered towards the ground.
1:25:47|1:25:50|[Fei Xin] walked over and squatted down, patting his arm.
1:25:58|1:26:1|Fei Xin's dog is also barking at Tesla.
1:26:1|1:26:7|In a flash, [Fei Xin] tied Tesla's wrists with a rope, and then tied his feet together.
1:26:7|1:26:10|Then he picked up his coat and walked out the door.
1:26:10|1:26:14|The scene shifts to an underground parking garage, in front of a lit-up identifier.
1:26:14|1:26:20|[Fei Xin] keeps his eyes fixed ahead, then enters the password at the elevator entrance.
1:26:20|1:26:23|He pushed open the door, hands in his pockets, and walked step by step to the front of the car.
1:26:24|1:26:28|The headlights turned on, and the satellite crawled out of the car towards the exit.
1:26:28|1:26:34|After making a turn, Fei Xin, who had just started driving, collided head-on with another car.
1:26:37|1:26:43|On the other side, [Qu Jian] reversed the car, then drove forward and crashed into it again fiercely.
1:26:43|1:27:0|Ou Jian's movements were swift and decisive, clearly well-prepared. [Fei Xin] tapped the accelerator again, but Ou Jian suddenly reversed and retreated, preparing to move forward. This time, [Fei Xin] reacted quickly and also stepped on the gas pedal, causing their cars to collide violently.
1:27:8|1:27:14|Ou Jian picked up the control stick and got out of the car.
1:27:14|1:27:20|He walked up to Fei Xin's car and started smashing it fiercely, poking at the windows.
1:27:48|1:27:54|After circling the car several times, Qiu Le suddenly paused, and the baseball bat in his hand fell to the ground.
1:27:54|1:28:0|Just as [Fei Xin] took a breath, Ou Jian pulled out a gun from the car and aimed it at [Fei Xin], pulling the trigger.
1:28:0|1:28:6|Suddenly, a figure flew out between the two, reminding Fei Xin of the scene where the boy was shooting during the performance of "Wind and Rain".
1:28:6|1:28:9|However, this time, the playing cards on the wall were splattered with blood.
1:28:9|1:28:14|Fei Xin looked down and saw Qiu Le clutching his chest and falling to the ground, he rushed over.
1:29:15|1:29:17|The flashback ends, [Qiu Le] sits up.
1:29:29|1:29:34|Xie Tianyou stole the Korean's gun and set up a trap to lure you into committing a crime.
1:29:36|1:29:41|[Fei Xin] patted Qiu Le on the shoulder, and the three of them returned to Fei Xin's home.
1:29:46|1:29:48|[Fei Xin] pulled Qiu Le to the computer.
1:29:51|1:29:56|[Fei Xin] leaned on the table with one hand and on the chair with the other, watching Qu Jian operate the keyboard.
1:29:56|1:30:0|A pop-up box appeared on the screen as he waited and spoke.
1:30:9|1:30:12|[Qiu Le] came down from the second floor and also moved closer to the side.
1:30:12|1:30:16|Ou Jian curved his fingers, placed them in front of his lips, and furrowed his brow.
1:30:16|1:30:19|At this moment, his phone vibrated.
1:30:19|1:30:21|He took out his phone and saw that it was a call from Fei Xin from the Engineering Department.
1:30:31|1:30:34|Ou Jian quickly typed on the keyboard and then explained.
1:31:18|1:31:36|The scene shifts to a wedding show venue, with several big brothers at the front clapping their hands. Two models in wedding dresses are showcasing on the stage, followed by models in bikinis, dresses, and traditional Chinese-style wedding dresses constantly appearing on stage. The lights are flashing at the scene, creating a very lively atmosphere.
1:31:36|1:31:44|The big brother in the audience has been enthusiastically supporting the show, holding flowers in both hands and waving to the models on stage.
1:31:44|1:31:49|At this moment, [Qiu Le], who arrived at the scene, was hiding behind the curtain in the dressing room, secretly observing.
1:31:49|1:31:55|Shen Jiamei's husband and a henchman sat on the side, while Shen Jiamei walked up behind a model who was getting her makeup done.
1:32:2|1:32:4|[Shen Jiamei] heard the sound and turned to get her clothes.
1:32:7|1:32:14|Continuing, she then returned with a headscarf to the model who was getting makeup done, while her husband walked over with two cellphones in hand.
1:32:14|1:32:17|The scene cuts back to Fei Xin's home.
1:33:1|1:33:2|Until she passed away.
1:33:24|1:33:27|[Fei Xin] looked at the message received from the inventor Tesla.
1:33:27|1:33:28|He looked at the next page of Edison again.
1:34:42|1:35:1|Just as Ou Jian pressed the Enter key, [Qiu Le] pulled the circuit breaker on site.
1:35:1|1:35:12|Tesla looked at the phone in confusion, while [Fei Xin] and [Qiu Le] watched as the countdown stopped at three seconds and cheered.
1:35:12|1:35:17|The two of them breathed a sigh of relief, while the people on the scene looked at the countdown interface on their phones with confusion.
1:35:22|1:35:37|[Ou Jian]'s phone received a message. He picked it up and saw a video of [Nan Fang] and a child being kidnapped in the back seat of a car. [Nan Fang]'s hands were tied to the car's roof handle, while the child was placed in a safety seat. The video was sent by Tesla, and [Ou Jian] answered the call.
1:35:59|1:36:1|The car is about to fall down.
1:37:13|1:37:16|Han's subordinates never seem to come in.
1:37:16|1:37:22|The scene shifts to [Qu Jian], who is driving a Tesla and talking on the phone.
1:37:43|1:37:45|Tesla responded over there.
1:37:58|1:38:14|[Fei Xin] was at home looking at the books on the bookshelf. He took down a book on complexity thinking, flipped to a page, circled the title of the Barnum effect, quickly glanced at it, then put his hand on his chin and started thinking, before sitting down on a chair.
1:38:19|1:38:20|He pressed the Enter key directly, and the countdown stopped.
1:38:41|1:38:55|Tesla put away his phone and turned to leave. [Fei Xin] also picked up his phone and prepared to rush to the scene. The scene was chaotic at this moment. Tesla walked up to one of Han Guo's men, who was stunned. But he looked at Qiu Le and said.
1:38:57|1:39:2|The people on the scene were looking at two identical individuals.
1:39:7|1:39:11|Tesla reached out to block, and the two began to spar.
1:39:11|1:39:19|[Nan Fang] over there, the machine is still controlling the car to move forward. He in the car shook his head back, and suddenly woke up.
1:39:19|1:39:28|[Nan Fang] glanced at the child next to him, struggling. He looked at his bound wrists, then at the child, leaned in, and used his teeth to untie the rope.
1:39:29|1:39:34|On the way, the car was clearly out of control, starting to sway from side to side.
1:39:34|1:39:38|After several attempts, [Fei Xin] finally broke free from the restraints.
1:39:38|1:39:52|He quickly leaned forward, gripping the steering wheel, but to no avail as the steering wheel had no response. Anxiously, he pushed the steering wheel, sat back in the rear seat, tears streaming down his face, feeling helpless.
1:39:52|1:39:56|On the scene, the two men were arguing and fighting, while Officer Chen arrived with his team.
1:40:8|1:40:18|Officer Chen saw [Qiu Le] and the Tesla in the middle, both of them looking at him without saying a word. Officer Chen felt a bit confused, he turned to look at his subordinates, then turned back and spoke.
1:40:22|1:40:27|The scene cuts back to [Nan Fang], who is attempting to remove the safety seat.
1:40:27|1:40:31|At this moment, the speed of the car has reached 90 kilometers per hour.
1:40:31|1:40:37|With the car rapidly approaching the overpass, he finally remembered to pull the release lever on the side of the driver's seat.
1:40:37|1:40:41|Then quickly take off the coat and bring it to the safety seat.
1:40:41|1:40:50|In a critical moment, [Fei Xin] held onto the safety seat and jumped out of the car, rolling on the ground for a few rounds, while the car also plunged off the overpass.
1:40:50|1:40:57|[Nan Fang]'s limbs were all scraped from rolling, but he didn't care about that. Instead, he quickly checked on the child in the safety seat.
1:40:57|1:41:4|Fortunately, after opening the coat, the child was unharmed. [Nan Fang] excitedly and with a still trembling hand, touched the child's face.
1:41:4|1:41:9|Then he held the child in his arms, shivering, and burst into tears of excitement.
1:41:9|1:41:13|The man's face is dirty and covered in scars.
1:41:13|1:41:18|He sat on the elevated bridge, holding the child and crying loudly to the sky.
1:41:18|1:41:26|The sky, just after the rain, gradually brightened. Under the overpass, the out-of-control car flipped over completely on the ground, and [Qu Jian] finally arrived by car.
1:41:27|1:41:37|He looked at the overturned car on the ground, stiffly opened the car door and got out, moving slowly towards it, his body swaying as if he could collapse at any moment.
1:41:37|1:41:52|Just as he was about to approach the car, he suddenly stopped in his tracks, the sound of his breathing out of control. Then he slightly turned his body and quickly walked to the side of the car, leaning against it to take a look. After that, he knelt down on the ground, exhaling heavily, tilting his head to the side.
1:41:55|1:42:1|The sorrowful emotion surged in his heart as he not only lost his wife, but also his child.
1:42:1|1:42:10|After some mental preparation, he blinked his eyes, as if forcing himself to accept it, looked into the car, and softly called out a title that he hadn't used in a long time.
1:43:6|1:43:11|He carefully touched the child.
1:43:11|1:43:14|The two stood under the overpass, looking at the child in their arms.
1:43:14|1:43:18|The sky at this moment has completely cleared up, with the sunlight shimmering brightly.
