0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:48:57|0:49:0|[Gu Xiaomeng] and [Li Ningyu] are huddled together on a sofa.
0:49:0|0:49:8|The figure stopped in front of the door at this moment. In the room separated by a door, [Jin Shenghuo] sat on the sofa, raising a pistol nervously staring at the doorway.
0:49:8|0:49:18|Outside the door, the spy with the key turned to another door. Inside were [Gu Xiaomeng] and [Li Ningyu].
0:49:20|0:49:27|The knocking on the door struck the heart, [Li Ningyu] stopped [Gu Xiaomeng] and went to open the door herself. The flashlight shone directly on her face.
0:49:32|0:49:40|In the dark night, [Li Ningyu] walked towards the car alone, wrapped in clothes. Upstairs, [Gu Xiaomeng] looked on nervously.
0:49:40|0:49:48|She didn't expect that misfortune would come so quickly to her side. In another building, a woman in a kimono led the way.
0:49:48|0:49:54|[Li Ningyu] followed him through the hall, passing by the choir, and arrived at a door with a painting hanging on it.
0:49:54|0:49:58|The woman in kimono opened the door skillfully and walked in first.
0:50:0|0:50:6|Moonlight spilled down, imprinting [Li Ningyu]'s exquisite profile on the hanging scroll. After a moment of hesitation, she followed suit and entered the room.
0:50:7|0:50:15|The woman in kimono carried the lamp prepared at the door and walked deeper into the darkness. In the pitch-black alley, [Li Ningyu] could only follow the only source of light.
0:50:16|0:50:20|Approaching the corner, the woman in kimono was very polite, making a gesture of invitation.
0:50:20|0:50:27|[Li Ningyu] walked ahead, with [Gu Xiaomeng] following behind, holding a lantern high until the two entered the elevator.
0:50:29|0:50:36|Before long, the elevator doors opened and the two of them walked out slowly. She walked along the damp corridor in high heels.
0:50:36|0:50:44|The environment here is hard to describe in words. It's more like a hole punched out by a giant rat, gloomy, dark, and damp.
0:50:48|0:50:54|The woman in kimono stopped and asked [Li Ningyu] to wait here while she signaled the guard to open the door. The wooden sign next to them was painted with,
0:50:55|0:51:3|No entry allowed for danger. This time, the woman in kimono did not lead the way. As [Li Ningyu] stepped into the door, the heavy iron gate was already locked.
0:51:4|0:51:12|[Li Ningyu] glanced around the room and saw [Wu Tian] sitting in the middle of the chair in a kimono. [Wu Tian] closed the book in his arms and looked at her with a smile.
0:51:13|0:51:28|And at this moment in the hall, [Wang Tianxiang] grabbed the kerosene lamp and headed straight upstairs.
0:51:59|0:52:2|[Wang Tianxiang] quickly picked up the kerosene lamp and hurried away.
0:52:5|0:52:14|In the interrogation room, [Wu Tian] gazed at the curvaceous figure under [Li Ningyu]'s cheongsam. Standing under the light, [Li Ningyu] nodded.
0:52:16|0:52:21|She looked at [Wu Tian] with great vigilance. After learning about the whereabouts of her long-lost boyfriend,
0:52:21|0:52:24|[Li Ningyu] couldn't help but ask.
0:52:24|0:52:31|Wu Tian walked towards [Li Ningyu], who stared at him with eyes full of disgust and dissatisfaction.
0:52:31|0:52:35|She was not sure what medicine this man was selling.
0:52:35|0:52:47|At that time, [Wang Tianxiang] carried a lamp and personally went to the other side of the building to investigate the situation of [Gu Xiaomeng]. The soldier saluted.
0:52:57|0:53:9|The soldier walked towards the door, [Wang Tianxiang] casually placed the lamp on the table, and hid in the dark to observe. Just as the soldier raised his hand, the door was opened, and out came the disheveled [Wu Zhiguo].
0:53:10|0:53:18|[Wu Zhiguo] frowned and waved his hand.
0:53:19|0:53:30|With that, [Wu Zhiguo] ignored the soldiers and walked towards his room. In the interrogation room, there was a book on human anatomy placed on the desk.
0:53:30|0:53:36|Wu Tian picked up the lottery advertisement on the table and looked at [Li Ningyu]. Finally, he tore it up.
0:54:22|0:54:26|Wu Tian stared intently at Li Ningyu in front of him, as if trying to see through this woman.
0:54:26|0:54:36|On the other side, [Wang Tianxiang] came to [Gu Xiaomeng]'s room and knocked on the door, but there was no response from inside.
0:54:36|0:54:39|Wang Tianxiang continued to persistently ask.
0:54:40|0:54:43|The room was still silent.
0:54:43|0:54:51|[Wang Tianxiang] was eager to know what was going on, but also worried that being too obvious would expose the listening devices. Just then, [Gu Xiaomeng] opened the door.
0:55:0|0:55:8|Gu Xiaomeng, who was about to close the door, was stopped by Wang Tianxiang. Wang Tianxiang took out a box of snacks for her.
0:55:16|0:55:26|She gently took the snacks handed to her by [Wang Tianxiang] and cursed under her breath. Meanwhile, in the interrogation room, [Wu Tian] brought in a box.
0:55:26|0:55:34|The box is not big, but when opened, it is fully equipped with tools, like a medical kit. Inside, there are three small drawers.
0:55:36|0:55:42|Every layer is densely packed with stainless steel tools. [Wu Tian] takes out a small knife from among them.
0:55:45|0:55:53|[Wu Tian] selects tools from the box.
0:56:2|0:56:11|He calmly put on the white gloves, as if preparing for an important surgery. He walked over with his tools,
0:56:21|0:56:28|[Wu Tian] reached out to unbutton [Li Ningyu]'s collar, but she dodged backwards.
0:56:29|0:56:35|[Li Ningyu] stubbornly turned her head to look elsewhere in the end.
0:56:35|0:56:41|Tears rolled down the beautiful face of [Li Ningyu], as she tilted her head back, trying hard to hold back the tears.
0:56:42|0:56:49|The buttons of the cheongsam from the collar to the hem were all unbuttoned by [Wu Tian]. [Wu Tian] gently took off her cheongsam, muttering to himself.
0:56:52|0:56:58|Stripped of her cheongsam, [Li Ningyu] was left with only two thin pieces of underwear. [Wu Tian] continued to brainwash with anatomical knowledge.
0:57:0|0:57:5|[Li Ningyu] collapsed, standing naked in front of this person at the moment. [Wu Tian] slowly lifted her head.
0:57:13|0:57:28|He took out a caliper to measure the size of Li Ningyu's nose, then the mouth, step by step down to the ankle. Li Ningyu's privacy and dignity were completely lost at this moment.
0:57:31|0:57:39|Li Ningyu recalls the first time she saw the stage actor Liu Linzong.
0:57:46|0:57:53|At that moment, she was joyfully watching him from the audience, and as their eyes met, sparks of love ignited.
0:57:53|0:58:1|In the dungeon, [Bai Xiaonian] has become a floating corpse, drifting in a dirty pool. With the power outage tonight, too much has already happened.
0:58:2|0:58:8|The characters appeared on the net texture again: there is already a plan, just need a little help from above.
0:58:9|0:58:16|The commander sat back on the sofa with his eyes closed.
0:58:32|0:58:44|Bai Xiaonian's death left the commander somewhat distracted.
0:58:45|0:59:2|Takeda on the side sofa nodded unwillingly, then gestured to the soldier.
0:59:3|0:59:12|[Wang Tianxiang] lowered her head, afraid of angering the commander again. [Wu Tian] solemnly adjusted his gloves.
0:59:22|0:59:29|His gaze was sharp, staring ahead, [Wu Tian], who thirsted for the glory of the family, was about to embark on a grand ambition. One morning a month ago,
0:59:39|0:59:46|The military officers in the meeting room called out his name again and again. [Wu Tian] looked up and slowly stood up.
0:59:48|0:59:56|The officer's face changed, his mouth twitched. The officer didn't get angry but smiled instead.
0:59:59|1:0:7|He suddenly restrained his smile.
1:0:8|1:0:22|The officer's voice grew louder as he crushed the honor of the Wu family in front of a group of senior generals.
1:0:22|1:0:27|[Wu Tian] did not offer any explanation, but simply stared at him intensely as he sat down slowly.
1:0:28|1:0:35|Just as [Wu Tian], who had just sat down, suddenly pushed himself up with both hands, leaped onto the table, and pounced on the senior officer who had just mocked him.
1:0:36|1:0:42|Wu Tian pinned him to the ground, venting his anger, while other officers rushed up to pull them apart.
1:0:42|1:0:49|And when the officer was helped up, his face was pierced by a pen.
1:0:50|1:0:59|The scene shifts, with Wu Tian wearing a cloak, standing on the rooftop gazing into the distance. [Wang Tianxiang] walks up from behind, frowning and bowing to report to Wu Tian.
1:1:0|1:1:6|The two observed the situation through binoculars.
1:1:25|1:1:34|Wu Tian put down the telescope and came up with a plan, saying to the frowning [Wang Tianxiang].
1:1:34|1:1:39|[Wang Tianxiang] immediately understood and walked out with his entourage.
1:1:39|1:1:47|In the room, [Gu Xiaomeng] is sitting on the sofa sewing, while [Wu Zhiguo] and [Jin Shenghuo] at the other end are boredly playing chess.
1:1:47|1:1:56|At this moment, [Wang Tianxiang] walked out.
1:2:11|1:2:19|On the open space of the cliff in Qiu Zhuang, a long table is set up, with a band playing by the railing and kimono-clad women dancing ahead.
1:2:20|1:2:29|[Wu Zhiguo] applauded as Wu Tian stood up to speak. Wu Tian, dressed in a suit, stood up. After speaking, he picked up a glass of clear liquor and drank it all in one gulp.
1:2:29|1:2:36|[Wang Tianxiang] smoked a cigarette, squinting his eyes as he looked into the distance. In the distance, the head chef was assigning tasks to the cripple, he said.
1:2:38|1:2:44|This was arranged early by [Wang Tianxiang], who was secretly observing the progress of the plan.
1:2:44|1:2:49|[Li Ningyu] is burying her head in drinking, pouring foreign liquor into her mouth.
1:2:49|1:2:57|Old Lu, holding a cigarette and a tray, limped towards the dining table. He comically swayed his body and arrived next to [Wu Zhiguo].
1:2:57|1:3:4|Putting down the tray, he bent down to pick up the bone plate. Beside him, [Wu Zhiguo] sat smoking indifferently by the chair.
1:3:4|1:3:11|Old Lu put away the bone disc and walked over to [Jin Shenghuo]. He slowly bent down to pick up a chopstick from the ground and stood up.
1:3:11|1:3:20|[Gu Xiaomeng] also collected the other chopstick from [Jin Shenghuo]'s hand and put it into the tray. Then, he picked up the remaining dish with both hands and put it back on the tray.
1:3:20|1:3:28|[Jin Shenghuo] deliberately gave up his seat, while [Wang Tianxiang] kept a close eye on every move. At this moment, Lao Lu came to [Li Ningyu]'s side.
1:3:29|1:3:36|[ Jin Shenghuo ] looked at her in confusion.
1:3:40|1:3:46|She shouted loudly at Director [Wang] who was being stared at by everyone.
1:3:49|1:3:51|Lao Lu quickly arranged the tray and avoided [Li Ningyu].
1:3:51|1:4:5|Facing the gaze of [Li Ningyu], Director Wang responded with a smile, while [Wu Tian] picked up a cigarette and prepared to light it. [Li Ningyu] then flipped one plate after another onto [Wu Tian].
1:4:24|1:4:34|He reluctantly threw away the match and spat. Back in the room, [Wang Tianxiang] was sitting at the table.
1:4:37|1:4:44|Beside the curtain, [Wu Tian] who was looking around turned and walked back.
1:4:55|1:4:58|[Wang Tianxiang] looked pale and swallowed hard.
1:5:44|1:5:54|[Wang Tianxiang] felt that he had seized the opportunity and was extremely excited.
1:5:55|1:6:3|[Wu Tian] lit a cigarette, sitting across from [Wang Tianxiang] who picked up a match, bent over and lit the cigarette for [Wu Tian]. Once the cigarette was lit,
1:6:3|1:6:14|Wu Tian took a sip and stared into Wang Tianxiang's eyes. The special agents raided the room.
1:6:18|1:6:26|In the West Tower interrogation room, a group of people gathered around a long table.
1:6:26|1:6:32|There is the body of [Bai Xiaonian] on the table. [Wang Tianxiang] paces around the table, casting a glance at the military officers present.
1:7:2|1:7:9|[Jin Shenghuo] was overwhelmed by this aura and was at a loss for words.
1:7:39|1:7:42|[Jin Shenghuo] pulled out a gun to threaten the secret agent and [Wang Tianxiang].
1:7:43|1:7:50|[Jin Shenghuo] is scared, his hand holding the gun trembles slightly.
1:8:1|1:8:10|[Jin Shenghuo] aimed at his temple and shot himself, committing suicide. His colleagues who had been together day and night died at this moment, leaving everyone feeling heavy-hearted.
1:8:11|1:8:23|[Wang Tianxiang], who had checked the body, turned and left, leaving everyone stunned in place. Night fell.
1:8:23|1:8:26|Night will soon fall on this small island.
1:8:26|1:8:36|In the interrogation room, two bodies lay horizontally, with frequent changes happening in just two days. The once high-ranking officers of the headquarters not only lost their former spirits at this moment,
1:8:36|1:8:45|One by one, they were exhausted and fearful. This is just the beginning. The sound of the door being smashed startled everyone in the interrogation room.
1:8:57|1:9:6|[Li Ningyu] was taken away by two secret agents without a word. [Gu Xiaomeng] looked on in confusion at Captain Wu.
1:9:6|1:9:23|[Li Ningyu], who was taken out, walked through the dim and damp corridor. She couldn't resist, let alone fight back, and was dragged all the way to the corner. The leading special agent stopped. [Li Ningyu] trembled like a sieve.
1:9:25|1:9:31|After a warning, two special agents escorted [Li Ningyu] towards the elevator. Once inside, soldiers closed the two elevator doors.
1:9:37|1:9:41|The elevator slowly ascended, taking [Li Ningyu] away from this earthly purgatory.
1:9:41|1:9:46|Meanwhile, in the office upstairs, [Wang Tianxiang] and [Wu Tian] are sitting on the sofa.
1:9:46|1:9:55|On the other side, the eavesdropper wearing headphones was ready to record at any moment.
1:9:58|1:10:7|[Wu Tian] leaned against the sofa without saying a word, listening to the tape in the bug machine spinning.
1:10:57|1:11:4|[Gu Xiaomeng] was being choked by [Wu Zhiguo].
1:11:7|1:11:16|[Wang Tianxiang] picked up a wooden chair and knocked out [Wu Zhiguo]. In the living room, [Wang Tianxiang] brought a cup of tea for [Gu Xiaomeng].
1:11:16|1:11:23|Sitting down, watching the haggard Gu Xiaomeng. Gu Xiaomeng had red eyes, and her lips were trembling.
1:11:24|1:11:32|The continuous pressure over the past few days has gradually worn down [Gu Xiaomeng]'s spirit. Wiping away her tears, [Gu Xiaomeng] reached into the coat beside her and pulled out a handkerchief.
1:11:32|1:11:39|She gently opened the handkerchief, inside wrapped a slightly wrinkled cigarette. [Wang Tianxiang] reached out to take the cigarette.
1:11:39|1:11:47|[Gu Xiaomeng] calmed down a bit and reminisced.
1:11:48|1:11:55|Yesterday at the dining table, the cigarette was stepped on by [Gu Xiaomeng] with her heel.
1:11:56|1:11:58|The sound of the door opening interrupted their conversation.
1:11:58|1:12:4|Walking through the door in military uniform is [Wu Tian]. He strides forward,
1:12:4|1:12:11|Reaching out to take the cigarette from [Wang Tianxiang], then pulling out a magnifying glass from his pocket and carefully examining it up close.
1:12:11|1:12:19|There are several regular small holes on the cigarette. [Wu Tian] guessed with his sensitive professional sense.
1:12:27|1:12:34|In the gloomy execution room, [Wang Tianxiang] paced back and forth.
1:12:34|1:12:42|He picked up the cigarette. [Wu Zhiguo] was stripped of his shirt, with his hands and feet tied to a pillar.
1:12:45|1:12:51|He has just been tortured and his body is covered with scars.
1:12:51|1:12:55|Wu Zhiguo explained in a hoarse voice.
1:13:5|1:13:12|Surrounded by secret agents grabbing their weapons, getting ready to move forward. [Wang Tianxiang] raised her hand to stop them.
1:13:12|1:13:21|The leading spy signaled and the motor shook, crackling current passing through [Wu Zhiguo]'s body. He was in extreme pain.
1:13:21|1:13:30|Muscles all over the body were shaking uncontrollably under the voltage. The special agent shook even more vigorously.
1:13:41|1:13:51|[Wu Zhiguo]’s body was still convulsing uncontrollably.
1:13:54|1:13:59|[Wu Zhiguo] lowered his head, gritted his teeth, and gasped for breath. The high-intensity electric shock left him with a vacant stare.
1:14:10|1:14:16|The spy stepped forward to untie [Wu Zhiguo]. As soon as the belts around his neck and hands were loosened, he collapsed.
1:14:16|1:14:24|The characters slowly emerge on the textured fabric: Whether the message is transmitted or not, success or failure lies in today.
1:14:24|1:14:31|The handwriting slowly disappears. In the room, [Gu Xiaomeng] who is mending clothes, cuts the thin thread with scissors.
1:14:31|1:14:37|Reorganize the plot, connect the dots. Two black-clad secret agents downstairs are let through by the guards.
1:14:37|1:14:46|The haggard [Li Ningyu] by the window, upon seeing it, couldn't help but hide in fear. She called out [Gu Xiaomeng]'s name with a vacant look in her eyes.
1:14:46|1:14:55|Turning around and looking at Gu Xiaomeng, who had put down the work in her hands. She walked over lightly, squatted down beside Gu Xiaomeng, and looked at him with empty eyes.
1:15:13|1:15:21|With a vacant look in her eyes, [Li Ningyu] reached out and embraced [Gu Xiaomeng]'s neck, leaning in to whisper softly in her ear.
1:15:21|1:15:31|The two characters, [Gu Xiaomeng] and [Li Ningyu], who are as close as sisters, lean their heads against each other with calm expressions.
1:15:31|1:15:37|[Li Ningyu] slowly moved her head away from [Gu Xiaomeng]'s shoulder. [Gu Xiaomeng] lowered her head, pretending not to see.
1:15:37|1:15:46|[Li Ningyu] looked at [Gu Xiaomeng] with lifeless eyes. [Gu Xiaomeng] draped the mended cheongsam over [Li Ningyu].
1:15:46|1:15:53|[Li Ningyu] stood up and squatted down to help [Li Ningyu] button up. [Li Ningyu] looked down at her, meeting [Li Ningyu]'s gaze.
1:15:53|1:16:1|[Gu Xiaomeng] thought for a moment and pointed under the table. [Li Ningyu] slowly bent down and looked under the table.
1:16:1|1:16:7|She glanced slightly and saw a round small electronic bug stuck to the bottom of the coffee table.
1:16:7|1:16:16|[Gu Xiaomeng] quickly walked to the corner cabinet. She opened the drawer, took out some tape, and tore off a piece casually.
1:16:16|1:16:25|Stick the bug installed on the bookshelf. Then quickly walk over and put tape on the bug under the coffee table. [Gu Xiaomeng] has no intention of stopping.
1:16:25|1:16:30|Under the gaze of [Li Ningyu], he walked to a table not far away and pasted on some tape.
1:16:31|1:16:37|Then, she casually picked up the cigarette on the table and waved it towards [Li Ningyu]. [Gu Xiaomeng] walked towards the bathroom.
1:16:37|1:16:41|Seeing [Li Ningyu] still standing there, [Wu Zhiguo] waved his hand to signal her to come over.
1:16:41|1:16:47|[Gu Xiaomeng] walked into the bathroom, while [Li Ningyu] watched her figure warily.
1:16:47|1:16:54|[Gu Xiaomeng] paced back and forth in the bathroom. When [Li Ningyu] walked in, she gently closed the door and took out a cigarette to light up.
1:16:54|1:17:0|[Li Ningyu] looked around, while [Gu Xiaomeng] leaned against the door frame watching [Li Ningyu].
1:17:2|1:17:10|After speaking, she took out a lighter and lit a cigarette for herself. [Li Ningyu] slowly turned her head and approached [Gu Xiaomeng]. When she got close, she said.
1:17:12|1:17:18|[Li Ningyu]'s hollow eyes became unusually determined. The smoke wafted in the small bathroom.
1:17:20|1:17:24|This is all too unexpected for [Gu Xiaomeng], she stood there in a daze and even forgot to smoke.
1:17:24|1:17:30|The wise may have a thousand worries, but at this moment, [Gu Xiaomeng] smiled.
1:17:34|1:17:39|In the prison cell, the soldier opened the door and invited [Gu Xiaomeng] in. [Gu Xiaomeng] entered with a smile on her face, hunched over and holding a box.
1:17:39|1:17:45|A group of secret agents surrounded the platform, and the muscular man lying on the platform with his upper body naked is [Wu Zhiguo].
1:17:53|1:18:1|[Gu Xiaomeng] ran to a small table on the side with a big smile on her face, and opened the box.
1:18:1|1:18:9|[Wu Zhiguo] tried to struggle, but was firmly held down by the secret agent. [Gu Xiaomeng] carefully selected medicines and silver needles in the box.
1:18:36|1:18:43|[Gu Xiaomeng] pulled out the bottle stopper, inserted the selected silver needle into her finger, and gently stirred.
1:18:46|1:18:53|[Gu Xiaomeng] approached [Wu Zhiguo] with a silver needle, and the needle suddenly pierced into the acupoint on [Wu Zhiguo]'s ankle.
1:18:53|1:19:5|With a gentle flick of the silver needle by [Gu Xiaomeng]'s fingertips, [Wu Zhiguo] widened his eyes and opened his mouth, his eye sockets extremely bloodshot with pain. [Wang Tianxiang] stepped forward to interrogate.
1:19:7|1:19:12|[Wu Zhiguo] had a frozen expression, with his entire head gently twitching.
1:19:13|1:19:32|[Gu Xiaomeng] ran her fingers over the silver needles, selecting one as fine as a strand of hair. She lightly dipped it into a small bottle of medicine and then inserted it into his waist. [Wu Zhiguo]'s eye sockets began to bleed, his mouth involuntarily twitching with composure.
1:19:34|1:19:42|[Gu Xiaomeng] gently twirled the silver needle. On the other side, in the bathroom,
1:19:42|1:19:49|[Li Ningyu] stared intensely at [Gu Xiaomeng]. [Gu Xiaomeng] nodded vigorously, and [Li Ningyu] moved closer.
1:19:50|1:19:55|[Li Ningyu] said with red eyes full of deep hatred and disgust.
1:19:55|1:19:59|[Gu Xiaomeng] gently tapped the cigarette, waiting for the follow-up from [Li Ningyu].
1:19:59|1:20:6|[Li Ningyu] then relaxed her face and looked at her familiar colleague. [Gu Xiaomeng] took a puff of her cigarette.
1:20:8|1:20:15|[Gu Xiaomeng] licked her lips, took a deep breath, and said somewhat helplessly.
1:20:27|1:20:35|[Gu Xiaomeng] said sincerely. [Li Ningyu] slapped a crisp slap on [Gu Xiaomeng]'s face.
1:20:35|1:20:45|[Gu Xiaomeng] slowly lowered her head, and [Li Ningyu] pushed her against the wall.
1:20:48|1:20:53|She pressed against [Gu Xiaomeng]'s face and asked sternly.
1:20:55|1:21:2|She pushed [Gu Xiaomeng] away in despair. [Li Ningyu], who felt abandoned by everyone, pulled open the bathroom door.
1:21:18|1:21:24|[Li Ningyu] was in extreme conflict, almost going crazy standing in place. While [Gu Xiaomeng] stood at the door, smiling at her.
1:21:24|1:21:31|Before long, she couldn't help but burst into tears.
1:22:4|1:22:10|The two sat on the edge of the bed, finally baring their hearts.
1:22:10|1:22:17|The intimate couple was separated by their positions, tears streaming down their two beautiful faces without reservation. In the execution room,
1:22:17|1:22:24|Another silver needle rotated and inserted into the blue veins on Wu Zhiguo's temple. He could hardly keep his eyes open.
1:22:24|1:22:33|The bloodstains on the eyes, ears, mouth, and nose confirmed the toughness of this man.
1:22:34|1:22:44|He grinned and closed his eyes. [Wang Tianxiang] leaned in close to his ear.
1:22:46|1:22:50|[Wu Zhiguo] continued to taunt him. [Wang Tianxiang] looked angrily at Lord Six.
1:22:50|1:22:57|Uncle Liu quickly stepped forward to probe Wu Zhiguo, and stabbed another needle in his chest. Wu Zhiguo's neck, forehead, and bones protruded.
1:22:57|1:23:5|He raised his body and spurted blood with determination.
1:23:7|1:23:15|Here, [Li Ningyu] is tearfully persuading [Gu Xiaomeng]. [Gu Xiaomeng] continues with a sense of guilt.
1:23:15|1:23:24|The heavily guarded Qiu Village is difficult to obtain intelligence from.
1:23:34|1:23:40|[Li Ningyu] pulled [Gu Xiaomeng] up and asked, with his arm around her neck.
1:23:48|1:23:52|[Gu Xiaomeng] watched as the person who was like a real sister to her was filled with tears, and tears fell from her own eyes as well.
1:23:52|1:23:57|Saying that, [Li Ningyu] tightly held [Gu Xiaomeng]'s hand.
1:23:58|1:24:3|[Gu Xiaomeng] forced a smile and gently embraced [Li Ningyu]. The pain of parting and death,
1:24:3|1:24:12|She can't even put on a smile.
1:24:28|1:24:33|[Li Ningyu] tightly pursed her lips and shook her head gently. Meanwhile, in the execution room,
1:24:33|1:24:42|[Wu Zhiguo] lay on the ground motionless. Lao Liu went forward to check his condition and then reported back.
1:24:42|1:24:52|He looked down at [Wu Zhiguo] and continued.
1:24:56|1:25:3|Uncle Liu was left speechless by the question. After a moment of reaction, he swallowed his saliva, squatted down, and stared at [Wu Zhiguo]'s head for a while.
1:25:3|1:25:7|Pointed to the Baihui acupoint with fingers, then gave a questioning look.
1:25:7|1:25:10|[Wang Tianxiang] nodded with narrowed eyes.
1:25:10|1:25:17|Uncle Liu held a fine needle dipped in medicine, gently bent down, slowly adjusted the angle, and found the acupoint.
1:25:17|1:25:24|This position is something he hasn't tried in a long time. Just saw Lord Liu gently push aside [Wu Zhiguo]'s hair,
1:25:24|1:25:30|[Wang Tianxiang] also approached to take a closer look. Voices could be heard from outside the door.
1:25:33|1:25:35|Liu Ye and [Wang Tianxiang] both turned their heads to look.
1:25:35|1:25:44|The soldier opened the iron gate, and walking towards them was [Li Ningyu]. She looked gloomy and walked heavily, while [Wang Tianxiang] smoked a cigarette and approached with some confusion.
1:25:44|1:25:52|[Li Ningyu] took a step forward and raised her hand, holding a crumpled cigarette box in her palm. She slowly opened her hand and said.
1:25:52|1:25:58|She handed the cigarette case to [Wang Tianxiang] with a hint of tears in her voice.
1:25:58|1:26:6|[Wang Tianxiang] carefully examines the cigarette case, which is exactly the one from Sanpaotai. It is at this moment that [Wang Tianxiang] finally realizes.
1:26:6|1:26:13|In the hospital, a nurse is pushing a stretcher, and the person lying on it is none other than the wrongly accused [Wu Zhiguo].
1:26:13|1:26:22|The stretcher is quickly pushed into the operating room by medical staff. The spy closes the door of the operating room and stands guard outside.
1:26:22|1:26:30|The doctor and nurse gently moved [Wu Zhiguo] from the stretcher to the operating table, and quickly put on gloves to prepare surgical supplies.
1:26:32|1:26:42|The doctor pinched the ankle and pulled out the silver needle, followed by the silver needles in the chest, waist, and finally the silver needle in the temple.
1:26:42|1:26:50|The doctors worked together to turn [Wu Zhiguo] over. One of the doctors used tweezers to pull out the silver needle that was bent in [Wu Zhiguo]'s back.
1:26:50|1:27:1|Blood spurted out like a small fountain from the needle hole. Semi-conscious [Wu Zhiguo] hummed a little tune.
1:27:35|1:27:45|The salty sea breeze blew through the Qiu Zhuang building.
1:27:45|1:27:55|In the gloomy underground execution chamber, the secret agent was using an iron brush to roughen the coarse hemp rope hanging, while [Gu Xiaomeng], with barely any clothes to cover her body, was sitting on the ground.
1:27:55|1:28:4|A dipper of cold water was poured over her head, wet hair covering her pretty face.
1:28:15|1:28:20|[Wang Tianxiang] grabbed [Gu Xiaomeng]'s hair and lifted her up. [Gu Xiaomeng] was gasping heavily.
1:28:20|1:28:27|She, with her consciousness blurred, has lost control of her body, swaying as others pull her.
1:28:32|1:28:40|Wang Tianxiang, in a fit of anger, pushed Gu Xiaomeng away.
1:28:41|1:28:56|The operatives stepped forward to support [Gu Xiaomeng], propping her up next to a thick hemp rope. They spread [Gu Xiaomeng]'s legs apart and helped her ride on the rough-hewn hemp rope, pushing her forward to rub against it. [Gu Xiaomeng]'s lower body suffered a brutal blow.
1:28:58|1:29:1|The spy pushed her back, sliding her away.
1:29:1|1:29:7|This is a barbaric punishment for women, the rope torture. [Wu Tian] also arrived at the execution room at this time.
1:29:7|1:29:13|The blood-soaked hemp rope hanging there made [Wang Tianxiang] shudder at the sight.
1:29:14|1:29:22|[Wu Tian] pulled the tablecloth, scattering objects all over the table.
1:29:22|1:29:33|He gently covered the groaning Gu Xiaomeng, who was already like a frightened bird, with a tablecloth, and Gu Xiaomeng, holding her lower body, moved back to hide.
1:29:39|1:29:46|In a dim interrogation room, the clock points to 8:30. [Gu Xiaomeng], who has changed clothes, leans against the chair with disheveled hair.
1:29:47|1:29:54|Her hands were handcuffed behind the chair back.
1:29:54|1:29:58|She licked her dry lips, while [Wu Tian] ignored what was said.
1:30:11|1:30:18|With a pale complexion and clear eyes, [Gu Xiaomeng] looked up at [Wu Tian].
1:30:18|1:30:24|[Wu Tian] looked at her expectantly, eager to get the information.
1:30:34|1:30:39|[Gu Xiaomeng] spoke more, the smile on her face grew brighter.
1:30:39|1:30:46|[Wu Tian] looked down from above, his eyes sharp as he stared at the prisoner below. Taking a deep breath, he turned his back and lit a cigarette.
1:30:46|1:30:49|Then he turned around and lit a cigarette.
1:30:49|1:30:56|He gently slid the match.
1:31:4|1:31:18|[Gu Xiaomeng] glared angrily at [Wu Tian]. A sense of foreboding rose in [Gu Xiaomeng]'s heart.
1:31:21|1:31:28|Wu Tian listened for a while before putting down the earpiece, then looked at the clock.
1:31:39|1:31:48|[Gu Xiaomeng], who was struggling frantically on the chair, was firmly held down by the secret agent. [Wu Tian] put the earpiece to [Gu Xiaomeng]'s ear.
1:31:58|1:32:7|[Gu Xiaomeng] had her hair disheveled, lowered her head, and cried softly.
1:32:7|1:32:17|[Wu Tian] waited for her answer.
1:32:17|1:32:23|[Gu Xiaomeng] nodded repeatedly.
1:32:23|1:32:27|[Wu Tian] put down the gun leaning against her head and picked up the microphone.
1:32:34|1:32:49|Wu Tian handed the earpiece to his subordinate after speaking, then also switched off the safety of his gun. Gu Xiaomeng adjusted her emotions and straightened her posture.
1:32:49|1:33:0|[Wu Tian] also walked to her front, waiting for her confession.
1:33:1|1:33:11|She thought for a moment and continued.
1:33:13|1:33:21|[Gu Xiaomeng] did not refuse, but also made a request.
1:33:26|1:33:31|Immediately, [Wu Tian] gave a glance to the nearby secret agent, who then turned around and left.
1:33:34|1:33:41|[Wu Tian] looked coldly at [Gu Xiaomeng], who lowered her eyes and shook her head as she gazed at the ground.
1:33:58|1:34:6|[Gu Xiaomeng] had needles pulled out from her bound hands, while her hands behind her back attempted to pick the lock.
1:34:8|1:34:15|[Wu Tian] glared angrily at [Gu Xiaomeng].
1:34:16|1:34:24|At the same time, [Kusunoki Colonel] limped back to the building. With his bodyguards behind him, he strode into the room.
1:34:24|1:34:33|[Wang Tianxiang] stood up to greet. [Wang Tianxiang] stood silently, angering the commander.
1:34:34|1:34:38|At this moment, in the interrogation room, [Gu Xiaomeng] is trying to pick the handcuffs with a needle.
1:34:38|1:34:45|Wu Tian, with his back to her, helplessly smoked a cigarette.
1:34:47|1:34:52|[Gu Xiaomeng] took the opportunity to provoke [Wu Tian].
1:34:57|1:35:5|[Wu Tian] looked at [Gu Xiaomeng] with interest.
