0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp in great haste.
0:52:15|0:52:22|[Chen Changxing] said, then waved his hand and walked out of the woods, leaving only [Yang Luchan] still hanging upside down on a tree, experiencing the state of mind of watching with the heart.
0:52:22|0:52:26|At noon, in the village, [Chen Yuniang] was fetching water from the well, preparing to cook.
0:52:26|0:52:33|[Chen Yuniang] still had a distracted look on her face. Just then, the sound of iron being struck could be heard coming from the village entrance.
0:52:37|0:52:44|Distracted by the sound, Chen Yuniang accidentally knocked over the water bucket she had just fetched. Moments later, many villagers rushed to the village entrance upon hearing the commotion.
0:52:47|0:52:56|Yang Luchan was seen frantically striking inside the damaged Troy, with villagers listening to the deafening sound of each blow and applauding.
0:52:58|0:53:7|[Yang Luchan], although unarmed, still shattered the ironclad Trojan into pieces. At this moment, [Chen Yuniang] rushed over and stood on top of the Trojan.
0:53:7|0:53:23|Watching the crazy-looking fool in front of him, [Yang Luchan] replied and continued to strike.
0:53:23|0:53:29|And at this moment, [Chen Yuniang], upon hearing such sincere words, tears quietly welled up in her eyes.
0:53:29|0:53:38|She neither approved nor stopped, but jumped off Troy and walked slowly towards the village. As [Chen Yuniang] walked further and further, tears gathered more and more in her eyes.
0:53:38|0:53:55|Just as she was about to speak, she stopped in her tracks and called out to [Yang Luchan]. After [Chen Yuniang] finished speaking, a relieved smile appeared on her face. Upon hearing this, [Yang Luchan] also stopped and walked over to [Chen Yuniang], saying,
0:53:59|0:54:10|As soon as the crowd dispersed, a screw in the Trojan suddenly loosened, and then the entire massive steel fortress could no longer withstand the collapse caused by the profound internal force of [Yang Luchan].
0:54:10|0:54:19|Several days later, the Governor of Zhili Province, along with various officials, arrived at an observation platform on the outskirts. At this moment, the three mighty and domineering cannons below the platform were already poised and ready to fire.
0:54:21|0:54:28|Suddenly, a flash of fire appeared on the land thousands of meters away.
0:55:21|0:55:37|The implication in these words was naturally understood by [Fang Zijing], who then took out the prepared ten thousand taels of silver notes from the book and handed them over with both hands. Seeing the silver notes, the governor immediately relaxed and said,
0:56:6|0:56:14|[Fang Zijing] eyes rolled and he immediately had an idea.
0:56:16|0:56:23|On that night, [Chen Zaiyang] suddenly woke up from his sleep, gasping for breath. He turned to his wife who was by his side and said,
0:56:28|0:56:36|Shortly after, he immediately got up, lifted the mattress, and a protruding nail appeared on the bed board. He pulled out the nail, and a millennium huai yam popped out from the mechanism.
0:56:42|0:56:50|Upon finishing speaking, he then pulled the rope tied to the blueprint, slowly unfolding it. [Jin Yuner] saw that the blueprint was intricately drawn with detailed parts of the Heavenly Wing.
0:57:1|0:57:11|Late at night, after a day of practicing martial arts, [Yang Luchan] returned to his room exhausted as usual after taking a shower.
0:57:12|0:57:22|After closing the door, he casually put on his pajamas, without saying a word, and dove into the bed he had been sleeping on for days. As he lay down, he saw Chen Yuniang standing by the window with a heavy heart.
0:57:22|0:57:26|But [Yang Luchan], who didn't understand women, did not offer any comfort, only saying,
0:57:27|0:57:39|[Chen Yuniang] turned around and looked at this somewhat silly but extremely innocent young man. Thinking of how he had fought for her today, she closed the window and said to him,
0:57:42|0:57:49|[Chen Yuniang] finished speaking and walked towards the embroidered bed, but when she turned around, she found [Yang Luchan] at a loss on the floor.
0:57:50|0:57:59|After receiving the instructions again, [Yang Luchan] finally felt relieved and crawled out of bed to lie down. [Chen Yuniang] on the bed had her back to [Yang Luchan], and after a moment, she realized that [Yang Luchan] was not moving.
0:57:59|0:58:9|So she shyly turned around, but when [Chen Yuniang] turned back, all she saw were the feet of [Yang Luchan].
0:58:9|0:58:17|Obviously not understanding the meaning of [Chen Yuniang]'s words, [Yang Luchan] turned around and said,
0:58:19|0:58:25|[Chen Yuniang] took off her hairpin and used it to extinguish the lantern in the room.
0:58:32|0:58:37|Shortly after, [Chen Yuniang] took the initiative to throw herself onto [Yang Luchan], and the two of them began the marital affair that should have happened long ago.
0:58:37|0:58:46|In the next room, [Chen Changxing], who was sound asleep, suddenly opened his eyes wide upon hearing some noise, looking somewhat uncertainly towards the dark room of [Chen Yuniang].
0:58:46|0:58:52|After this night, Chen Yuniang and Yang Luchan became even more spiritually connected through their martial arts practice.
0:59:3|0:59:14|In the days that followed their conversation in the same room, [Chen Yuniang] finally emerged from her feelings for [Fang Zijing] and wholeheartedly gave her love to [Yang Luchan].
0:59:14|0:59:20|[Chen Yuniang] accompanies [Yang Luchan] day and night to practice martial arts, in order to help him better understand the essence of the Chen family boxing.
0:59:23|0:59:31|While observing the two from the shadows, [Chen Changxing] noticed that [Yang Luchan]'s martial arts skills were improving day by day, and the relationship between the couple was getting closer day by day.
0:59:31|0:59:38|He happily placed the record into the phonograph to listen to the music. While under the careful guidance and yin-yang harmonization of [Yang Luchan] by [Chen Yuniang],
0:59:38|0:59:45|His skills have also made great progress, although his boxing skills are not as good as the sect leader [Chen Changxing], he is now invincible in the village.
0:59:45|0:59:57|Just as [Yang Luchan] was still diligently trying to comprehend the essence of Chen Family Boxing, no one expected that the disaster in Chen Family Valley was quietly approaching. One morning, in the deep and secluded gorge leading to Chen Family Valley,
0:59:57|1:0:2|[Fang Zijing] is leading a large army. [Fang Zijing] is dressed in a fourth-rank official uniform, riding on a horse.
1:0:2|1:0:11|His face was dark and his eyes were filled with endless resentment. Behind him followed dozens of fully armed cavalry soldiers from the Divine Machine Camp.
1:0:11|1:0:19|Passing through the cavalry camp, you can see the three tall and majestic, domineering German Krupp cannons. This heavy cannon, weighing as much as a thousand catties.
1:0:19|1:0:23|It took a full effort from 12 people to slowly push it.
1:0:23|1:0:31|An hour later, a large number of troops had already assembled at the entrance of Chen Village, with three heavy cannons lined up in front of the formation. Meanwhile, the villagers of Chen Gou were still.
1:0:31|1:0:40|Still immersed in a deep sleep, completely unaware. After all preparations were completed, the captain of the Divine Machine Battalion asked [Fang Zijing],
1:0:51|1:1:2|Three cannonballs were seen flying out with a loud noise. Due to the high temperature propulsion, the cannonballs drew three parabolic curves in the air before landing accurately in the village. After each round of firing, the cannon operator would make slight adjustments to the cannon.
1:1:2|1:1:6|Reload the cannonballs again to ensure that each bomb hits a different target.
1:1:6|1:1:25|In this way, the villagers of [Chen Family Village] were subjected to indiscriminate bombing, and the once beautiful and peaceful [Chen Family Village] was instantly reduced to ruins, with houses collapsing. Although the villagers were all skilled in the Chen Family Fist, at this moment, they could only flee. As [Chen Yuniang] and her husband evacuated the crowd to escape, they noticed [Chen Changxing] standing on top of a several-meter-high archway.
1:1:33|1:1:42|[Yang Luchan] remained calm after hearing this, instead, he smiled and leaped high, kicking several times on the pillar before standing on the archway. Once [Yang Luchan] stabilized himself,
1:1:42|1:1:48|[Chen Changxing] suddenly realized that the three flowers on top of his head had completely disappeared.
1:1:49|1:1:55|[Chen Changxing] nodded in satisfaction, then looked towards the village being destroyed and asked [Yang Luchan],
1:2:8|1:2:20|At this moment, the captain of the Shenji Camp outside the village looked at the devastated Chen Family Valley and asked,
1:2:28|1:2:42|The once ruined Chen Family Valley is about to be destroyed under the vengeful heart of [Fang Zijing]. The captain of the Divine Machine Camp rode to the village entrance and shouted,
1:2:47|1:3:0|In this moment of extreme danger, [Chen Changxing] and [Yang Luchan] were calmly having breakfast. At this time, [Chen Youzhi] rushed in and said,
1:3:9|1:3:19|After Chen Youzhi left, Chen Changxing remained calm and composed, not rushing to give orders, but leisurely finished the food in his bowl.
1:3:19|1:3:25|Later, he looked at the two of them and slowly said,
1:3:57|1:4:5|After saying that, [Chen Changxing] slammed the table, with such speed and power that his outer garment still maintained its human shape, standing on the table.
1:4:6|1:4:12|The two stood up and walked to their father, bowing with their hands clasped together.
1:4:18|1:4:28|[Chen Changxing] finished speaking, then handed a token shaped like a Bagua mirror to [Yang Luchan]. After exchanging a glance with each other, the two of them, along with [Chen Changxing], walked towards the village entrance.
1:4:28|1:4:35|As the three of them walked out of the house, the previous dining table was shattered by the shells, and the house collapsed under the successive bombardment.
1:4:35|1:4:51|After a moment, the village gate slowly opened, and three people walked side by side like shooting stars. Their calm faces and majestic aura made thousands of enemy soldiers hold their breath and break out in a cold sweat. The three did not stop at all, walking straight towards the front of the army.
1:4:51|1:5:7|[Fang Zijing] saw the three approaching closer and closer, a sense of unease rising within him. He then ordered dozens of soldiers in front of the formation to aim their rifles at the three and slowly advance. Even the cavalry in soft armor beside [Fang Zijing] followed closely behind, intending to block the three a hundred meters away.
1:5:7|1:5:20|After a moment, the three were surrounded by dozens of muskets pointed at their heads. The soldiers, though armed with muskets, did not dare to slack off in the slightest in the face of the three in front of them. They were all fully focused, fingers on the triggers, ready to fire at any moment.
1:5:20|1:5:32|The encirclement seemed too tight for Chen Changxing to see Fang Zijing on horseback, so he gently pushed aside the musket in front of him. However, the soldiers showed no mercy and pressed the musket against his face.
1:6:34|1:6:40|As soon as [Fang Zijing] finished speaking, the three of them rushed out of the encirclement of the musketeers like lightning.
1:6:42|1:6:51|At the moment before the gunfire, the three of them leaped up from the ground, and the cavalry fell down in response. After the husband and wife exchanged a smile and gave instructions to each other, they separated. At this moment, the remaining cavalry soldiers held sharp blades.
1:6:51|1:6:58|With a fierce expression, he charged towards the three of them. Despite their imposing stature, they seemed to have the momentum to conquer all, but their agility was extremely poor.
1:6:58|1:7:4|[Chen Changxing] seized the opportunity, dodging the attack like gliding on the ground, and struck the horse's belly with his fingers, causing the cavalry to fall one after another.
1:7:4|1:7:28|At this moment, the cavalry formation is in chaos, and Yang Luchan and his wife swiftly deal with the remaining cavalry from the edge. Seeing the situation turning bad, Fang Zijing shouts out. The cavalry captain, upon receiving the order, draws his sword and charges towards Chen Changxing. Chen Changxing agilely dodges, then lifts the horse's mouth with one hand, causing the warhorse to raise its front hoof. Seizing the opportunity, he strikes the horse's belly again, sending the captain flying several meters away.
1:7:30|1:7:40|[Fang Zijing] gave the order, and thousands of soldiers armed with spears and blades surged towards [Chen Changxing]. After a series of pushes, [Chen Changxing] knocked down the vanguard soldiers, but faced with more soldiers charging towards him relentlessly.
1:7:40|1:7:47|He could only escape from the ground and jump onto the cannon. Meanwhile, the couple [Yang Luchan] who were still on the ground were engaged in a fierce battle.
1:7:47|1:7:58|The two of them, one fist each, were no match for four hands. In no time, they found themselves surrounded by enemy troops. [Chen Changxing], in order to help them out of the predicament, leaped from the cannon and crossed over the soldiers.
1:7:58|1:7:59|Arrived in front of [Fang Zijing].
1:7:59|1:8:9|The soldiers reacted quickly, holding their spears and thrusting them towards [Chen Changxing]. [Chen Changxing] immediately grabbed [Fang Zijing]'s collar and spun in place, kicking away all the spears thrust at him.
1:8:9|1:8:19|When the soldiers were caught off guard, [Chen Changxing] swiftly incapacitated the closest row of soldiers and maneuvered his spear through the gaps in their bodies. At that moment, [Fang Zijing] broke out in a cold sweat.
1:8:19|1:8:30|As he found that this row of soldiers not only couldn't move, but also blocked a large number of reinforcements behind them, this open space seemed to become a duel ground for the two at this moment. Just as [Fang Zijing] nervously paced back and forth,
1:8:30|1:8:33|The couple flew into the encirclement from outside the crowd.
1:8:35|1:8:46|[Chen Changxing] finished speaking and then delivered several punches in succession. [Fang Zijing] stood like a wooden stake, allowing himself to be beaten. Immediately after, [Chen Changxing] exerted all his strength and with one punch, sent [Fang Zijing] flying out of the crowd.
1:8:53|1:9:1|The officials and soldiers who broke out of the encirclement rushed towards the three like fierce beasts, but in the eyes of the three, such attacks seemed fierce but full of flaws.
1:9:1|1:9:13|The three of them easily broke through the encirclement with their agile pushing hands. However, even with this amazing skill, they found themselves in a tough battle against spears attacking from all directions. After half a day of rest, Fang Zijing also recovered.
1:9:16|1:9:20|He snatched the musket from the soldier's hand, stood on a high place, aimed at [Chen Yuniang] in the crowd,
1:9:20|1:9:29|After all, they were former lovers, so he couldn't bring himself to attack. After hesitating for a moment, he aimed the gun at Yang Luchan again. Chen Changxing saw this and quickly shouted,
1:9:30|1:9:39|Just as [Fang Zijing] was about to pull the trigger, a loud roar of engines came from the sky, before anyone could see clearly, several shells fell from the air.
1:9:40|1:10:2|Yes, it was [Chen Zaiyang] who drove the Tianwei Wing to come to the rescue. The shells projected by Tianwei Wing exploded the soldiers into disarray, causing a large number of them to fall down. The remaining soldiers were also in a panic, not knowing what to do. The soldiers on the ground were no longer interested in fighting the three individuals, but kept looking up at the sky. Attracting everyone's attention, the Tianwei Wing soared into the sky and disappeared from people's sight.
1:10:2|1:10:8|Just when people thought it was over, Tianweiyi unexpectedly circled back from behind and launched a counterattack.
1:10:18|1:10:25|After a round of shooting that didn't harm Tianwei Yi at all, [Fang Zijing] angrily threw away the musket and said to the artillery,
1:10:26|1:10:36|The artillerymen, following orders, quickly climbed onto the cannon to load the shells. [Chen Zaiyang] saw the enemy setting up the cannon, so he turned the handle and fired out the homemade bullets.
1:10:36|1:10:43|The soldiers holding long spears were like lambs to the slaughter, powerless to fight back and falling down at the slightest resistance.
1:10:43|1:10:53|At this moment, [Chen Changxing] looked at the sky where the Tianwei Wings freely soared, unable to speak for a long time. Meanwhile, [Chen Zaiyang] continued to bombard downwards to cover the retreat of the three.
1:10:54|1:11:10|[Fang Zijing] saw the Heavenly Wing swiftly flying past the crowd, then commanded the artillery again. When [Chen Changxing] saw the Heavenly Wing diving towards the crowd, he shouted loudly,
1:11:12|1:11:21|At this moment, the cannon has turned around and adjusted its height to aim at Tianwei Wing. Fortunately, Chen Zaiyang agilely dodged and avoided the cannonball. After dealing with the soldiers in front of him, Chen Changxing turned to his husband.
1:11:23|1:11:28|The two wives said that they seized the opportunity and rushed towards the weakest point of the defense of the soldiers.
1:11:31|1:11:34|At this moment, the Tianwei Wing in the sky suddenly changed its flying posture to a side-wing flight.
1:11:34|1:11:47|The huge wings glided along the ground. In a moment, they arrived behind the two, and as the wings slid between [Yang Luchan] and [Chen Yuniang], the two leaped precisely and firmly grabbed the wings. The numerous soldiers could only watch helplessly as the two flew past them.
1:11:47|1:11:55|Unable to leave, [Fang Zijing] was furious at the sight. He did not allow such a thing to happen, so he shouted to his men,
1:11:56|1:12:11|[Fang Zijing] took the gun and aimed at several people. However, [Chen Zaiyang] loudly taunted, and then threw the final customized shell made for [Fang Zijing], which, after flipping in the air for several rounds, landed accurately in front of [Fang Zijing].
1:12:11|1:12:20|When he realized he wanted to run, it was too late. [Fang Zijing], who was blown away, fell to the ground unconscious, while the three people on the Tianwei Wing soared in the sky, flying further and further.
1:12:20|1:12:25|Chen Changxing breathed a sigh of relief after seeing the three of them escape.
1:12:25|1:12:30|Facing the remaining few remnants of the enemy, if he were to escape at this moment, no one could stop him.
1:12:30|1:12:35|For the sake of the villagers in the village, he chose not to resist and was captured and brought to justice.
1:12:35|1:12:48|At this moment, the couple [Yang Luchan] on the wing is also facing difficulties, as the strong airflow from high-speed flight makes it difficult for them to move. Just then, the Tianwei Wing, which was flying steadily just now, suddenly became unstable.
1:12:48|1:12:54|[Chen Zaiyang] discovered the anomaly of the Tianwei Wing, and then used the mechanical armor to support himself, keeping it balanced.
1:12:54|1:13:3|The two on the wing also seized the opportunity, tightly gripping the railing, as the Tianwei Wing seemed to reach its limit.
1:13:3|1:13:12|[Chen Zaiyang] looked at the frequent mechanical issues and shouted loudly,
1:13:22|1:13:32|After speaking, [Chen Zaiyang] unexpectedly leaped without hesitation and plunged down from the Tianwei Wing. Falling from this kilometer-high altitude, even a great immortal would not be able to escape death.
1:13:33|1:13:39|Just as the two looked on in despair at the sacrifice of their eldest brother, [Chen Zaiyang] forcefully pulled off the iron ring from his chest.
1:13:39|1:13:50|A large parachute suddenly rose up. [Chen Zaiyang] managed to save his life, but dozens of soldiers were already waiting for his landing below. After landing, [Chen Zaiyang] faced the encirclement. Just as he was about to adopt a fighting stance,
1:13:50|1:14:0|Covered by the parachute on his head, the officials rushed forward and started punching and kicking [Chen Zaiyang]. Meanwhile, in the government office in the capital city, foreigners were taking photos of Prince Bei.
1:14:1|1:14:12|The flash of the camera was so bright that it made the prince unable to open his eyes. The foreigner noticed that the prince's eyes were closed in the photo, so he said to the prince's men,
1:14:23|1:14:32|After pondering for a moment, Prince Bei not only did not get angry, but burst into laughter.
1:14:45|1:14:54|At this moment, a minister hurriedly walked up to [Chen Youzhi] and whispered something in his ear.
1:15:5|1:15:17|After sending off the minister, [Chen Youzhi] turned to [Prince Bei] and humorously remarked that both he and Master Li closed their eyes together.
1:15:18|1:15:23|Returning to Chen Family Valley once again, after [Chen Changxing] was taken away, Duke [Fei Linming] also arrived in a carriage.
1:15:24|1:15:37|Duke [Fei Linming] walked into a simple wooden shed under the guidance of the soldiers. [Fang Zijing], covered in wounds, lay gasping for breath on a bench. Despite his tattered official attire and disheveled appearance, his expression remained full of anger.
1:15:52|1:15:58|At the same time, in the neighboring village, Tianweiyi fell on the roof, while [Yang Luchan] and [Chen Yuniang] hid in the stable on the side.
1:16:1|1:16:10|Upon hearing Chen Yuniang's question, Yang Luchan couldn't come up with a good solution for a moment. Just then, a horse stuck its head out in front of the two, and after glancing at the horse, Yang Luchan smirked mischievously at Chen Yuniang.
1:16:12|1:16:17|So [Yang Luchan] mounted his horse and, with [Chen Yuniang], galloped non-stop towards the capital city.
1:16:17|1:16:27|The two of them, burdened with heavy responsibilities, never stopped working tirelessly, knowing that they were the hope of the whole village. In the evening, in the prison,
1:16:27|1:16:30|The prison guard pushed [Chen Zaiyang] in.
1:16:44|1:16:54|After being pushed to the ground, [Chen Zaiyang] got up and shouted angrily. As he turned around to finish his sentence, he saw his father [Chen Changxing] meditating with his eyes closed, in deep concentration.
1:16:54|1:17:2|[Chen Zaiyang] saw his father and instinctively lowered his head, moving to the corner with fear and guilt. At this moment, [Chen Changxing] spoke up,
1:17:6|1:17:14|[Chen Zaiyang], who was already accustomed to such lessons, said,
1:17:30|1:17:39|[Chen Zaiyang] looked at his father in disbelief as he heard these words. [Chen Changxing] said sincerely,
1:18:32|1:18:50|Chen Changxing angrily threw the torn paper on the ground, the words "Heavenly Wing" still visible on the broken paper. Chen Zaiyang tremblingly picked up the debris from the ground, slowly stood up, and looked at Chen Changxing with a heart as lifeless as ashes.
1:18:53|1:19:2|[Chen Zaiyang] looked at the person who ruined his own dream, retreated while saying, then he roared and ran towards the courtyard.
1:19:2|1:19:8|[Chen Changxing] realized that his words were too harsh, as he watched his son's figure walking away, he also felt a bit at a loss for a moment.
1:19:8|1:19:17|Chen Changxing, who has always been strict, did not catch up. In the prison, Chen Changxing said from the bottom of his heart,
1:19:22|1:19:33|He looked at his tearful son in front of him and called out softly. After that, [Chen Changxing] slowly reached out his hands towards his son, and [Chen Zaiyang] happily rushed forward to hold them.
1:19:34|1:19:46|At the moment when their hands touched, [Chen Zaiyang] could no longer hide the grievance in his heart. He sobbed loudly on his father's chest, after so many years of effort and perseverance, finally gaining his father's approval in this moment.
1:19:47|1:19:52|At this moment, even the stern Chen Changxing couldn't help but shed tears in his eyes after decades of severity.
1:19:55|1:20:5|In the bustling capital city, the streets and alleys are full of prosperity, with numerous shops of all sizes and a constant stream of customers. [Chen Changxing] carries a heavy responsibility,
1:20:6|1:20:12|But seeing this scene, [Chen Changxing] couldn't help but look around. At this moment, a large crowd gathered in front of the billboard in front of him.
1:20:12|1:20:19|[Chen Changxing] also curiously approached to take a look, but when he got closer, he found that the wanted poster of the couple was posted on the bulletin board.
1:20:19|1:20:31|Seeing this situation, [Chen Changxing] knew that time was running out. Following previous instructions, he arrived at the luxurious and exquisite clock shop of the Bagua Sect's head of the Dui palm, [Chen Changxing] paused for a moment in front of the shop before walking in.
1:20:31|1:20:41|At this moment, the shopkeeper was concentrating on repairing the pocket watch in the quiet upstairs. Soon, the waiter who learned about the couple's intentions hurriedly ran up.
1:20:51|1:20:57|After speaking, the shopkeeper handed over the token entrusted to Chen Changxing to Yang Luchan. Seeing this token, the shopkeeper immediately put down the tools in his hands.
1:20:57|1:21:6|Walking downstairs with the waiter, [Chen Changxing] said,
1:21:19|1:21:26|[Yang Luchan] finished speaking and assumed a stance. He was about to spar with [Chen Changxing], ready to strike at any moment. As the leader of the Duizi style, he naturally possessed profound skills and had been through numerous battles.
1:21:26|1:21:32|Just from the calm and composed posture of [Yang Luchan], one can tell that he is not an ordinary person.
1:21:32|1:21:40|He hesitated to make a move for a long time, but after observing for a while, he struck with a palm strike. However, [Yang Luchan] instantly dodged and counterattacked by hitting his ribs, pushing the master away.
1:21:40|1:21:57|Unexpectedly, before the sect leader could stabilize, he swiftly struck towards the chest of [Yang Luchan]. Unable to dodge in time, [Yang Luchan] leaned back and used the internal strength of [Chen Family Fist] to dissipate the force of the blow. Following that, he immediately countered with a strike leveraging the force, pushing the leader of the Duizhang sect back several meters. With the exchange between masters reaching this point, the outcome had already been determined.
1:22:9|1:22:21|As the head of the Duizi sect said, the Bagua sect has eight sect leaders. In addition to the Duizi sect leader, there are also seven other sect leaders, namely Qianzi, Kanzi, Genzi, Zhenzi, Xunzi, Lizi, and Kunzi.
1:22:21|1:22:29|Following the guidance of the head of the Duizi sect, [Yang Luchan] went to seek advice with the Bagua disc in hand, in order to meet the Grand Master [Master Li].
1:22:29|1:22:35|After the other seven sect leaders learned of Yang Luchan's purpose, they all displayed their unique skills and treated him with respect.
1:22:35|1:22:43|These eight sect leaders, although from the same school, have vastly different martial arts techniques, ranging from extreme yin to extreme yang, each unique in their own way. Some are extremely domineering, while others hide a knife behind a smile.
1:22:45|1:22:52|Even so, in the face of the [Chen Family Fist] that [Yang Luchan] comprehended with great care, these ever-changing moves were like child's play. After a round of sparring, these accomplished leaders who could stand on their own.
1:22:54|1:22:58|Not only did [Yang Luchan] not get hurt at all, but he was also spared by him everywhere.
1:22:58|1:23:6|[Yang Luchan] also demonstrated the essence of Chinese martial arts to the fullest, impressing the onlookers who applauded enthusiastically.
1:23:6|1:23:19|After defeating the head of the Kanzi sect, [Yang Luchan] successfully passed the seventh level. At this moment, in the kitchen of Prince Bei's mansion, soldiers sent by [Master Li] to observe secretly came to report, while [Master Li] was supervising the kitchen with his back to the door.
1:23:50|1:23:57|When Master Liu was about to fall heavily from the second floor, [Yang Luchan] quickly supported him.
1:24:1|1:24:5|After Headmaster Liu finished speaking, he took [Yang Luchan] and his wife to Prince Bei's mansion.
1:24:5|1:24:10|Master Li led the two of them all the way to the kitchen and said to them,
1:24:32|1:24:39|In the midst of the conversation, a chef turned around with a plate, and [Master Li] instantly dodged to the side and agilely stepped in front of him.
1:24:57|1:25:4|[Master Li] continued to move forward without saying a word. Although he was a prominent figure by the prince's side, the matter at hand was of great importance, making it difficult for him to influence the situation.
1:25:4|1:25:9|[Yang Luchan] and [Chen Yuniang] saw [Master Li] shuttling back and forth in the kitchen, so they knelt down anxiously and greeted him with clasped hands.
1:25:9|1:25:17|When they looked up, they found that [Master Li] was kneeling on the ground in the same posture, but the person he was kneeling to was Prince Bei on the second floor.
1:25:17|1:25:23|Upon seeing the prince come out, [Master Li] confidently said,
1:25:32|1:25:40|Prince Bei did not immediately respond after hearing this, but slowly raised his noble hand, palm facing upwards, lightly flicked his four fingers, and said,
1:25:40|1:25:46|Upon hearing the prince's voice, everyone in the kitchen immediately bowed and stood up straight.
1:26:35|1:26:44|[Yang Luchan] just with a bow, quietly took the sesame cake on the table in front of everyone. The prince was very satisfied with this response and said,
1:27:1|1:27:16|Training is not a problem, but [Chen Yuniang] looked at the compactly arranged kitchen with boilers and tables and chairs, feeling puzzled. After looking around, she asked in confusion, while [Yang Luchan] had just turned around to follow [Li Qiankun], [Chen Yuniang] anxiously grabbed his wrist.
1:27:25|1:27:29|Li Qiankun walked towards the stairs as he spoke, and his hands were covered in white flour at the corner.
1:27:29|1:27:37|When he reached the middle of the stairs, he suddenly jumped onto the handrail, using his top-notch lightness skill to step on the wooden screen between the boilers. The screen was originally used to separate the boilers.
1:27:37|1:27:43|Its width is only a little over three fingers, which makes it difficult for ordinary people to stand upright, let alone compete here.
1:27:43|1:27:49|In just a moment, [Yang Luchan] had quietly eaten up all the stolen sesame cakes without anyone noticing.
1:27:49|1:27:52|Upon seeing [Li Qiankun] assume a stance, he also stepped onto the screen.
1:27:52|1:28:2|Yang Luchan's light work is on par with Li Qiankun's, with slight swaying under his feet, but his upper body remains motionless, as steady as Mount Tai. In the blink of an eye, he circles around Li Qiankun on the screen,
1:28:4|1:28:13|Standing in front and assuming a stance, [Li Qiankun] looked at [Yang Luchan]'s skills with great satisfaction. Just as he was about to make a move, he found that there was no movement under his feet. Dozens of chefs all looked up and turned their attention to the two.
1:28:28|1:28:33|After staring at each other for a long time, [Li Qiankun] couldn't hold back and made the first move.
1:28:33|1:28:44|Interlocking his hands in front of him to feint an attack, the next second he swiftly kicked [Yang Luchan] on the shoulder. Seeing [Yang Luchan] withstand his kick and still stand on the screen, [Li Qiankun] immediately followed up with a direct strike to the face, continuing the assault.
1:29:4|1:29:15|After a moment, the two of them seized the opportunity and each struck a palm towards the other's chest, causing both of them to fly backwards. After flying back to their original positions and circulating their qi in the dantian, this first round of probing finally came to an end.
1:29:19|1:29:28|The prince upstairs praised, "Li Qiankun has changed his posture and is making another move." Li Qiankun, who had previously gained some insights from Chen Ersao's boxing, intends to use Chen-style boxing against Yang Luchan.
1:29:28|1:29:40|The two's body movements, techniques, attacks, and defenses are completely identical, making it difficult to distinguish between them for a moment. Both of them have also comprehended the principles of Chen Family Fist and the integration with natural life. Just like the fish simmering in the oil pan at this moment,
1:29:40|1:29:47|The two on the screen are spinning and making their moves again. [Li Qiankun], an outsider, has only had a few exchanges and already grasped the essence of the [Chen Family Fist].
1:29:47|1:29:52|Although [Yang Luchan] was not injured, his attacks were all deftly neutralized by [Li Qiankun].
1:29:52|1:30:2|[Yang Luchan]'s hand-covering fist was easily resolved by [Li Qiankun]'s pushing hand, and immediately followed by a single whip. Before [Yang Luchan] could finish defending, [Li Qiankun] swept in with a white crane spreading its wings.
1:30:2|1:30:9|[Yang Luchan] managed to dodge in time, but was still caught off guard. Just as [Li Qiankun] made his move, [Yang Luchan] was able to seize the opportunity.
1:30:9|1:30:13|A whirlwind kick almost kicked Li Qiankun off the screen.
1:30:13|1:30:18|Fortunately, with Li Qiankun's lower body firmly rooted, he effortlessly extended his legs back onto the screen.
1:30:19|1:30:27|The two then exchanged palm strikes again and flew backwards. In the midst of the skilled martial artists in the capital city, [Li Qiankun], who was firmly seated in the leading position, fought several rounds.
1:30:27|1:30:37|Although neither was at a disadvantage nor gained any advantage. Just as the two separated to gather their energy, the sweet and sour carp under their feet happened to be ready, filling the entire kitchen with its tempting aroma.
1:30:38|1:30:45|[Yang Luchan] couldn't help but swallow after hearing it, and after being reprimanded by [Chen Yuniang], [Yang Luchan] refocused all his attention on the martial arts competition.
1:30:45|1:30:51|At this moment, it seems that he has grasped the principle of the interdependence of all things. In the eyes of others, he appears to be standing still.
1:30:51|1:30:55|Only he himself could see the scene of the two of them fighting next with his heart.
1:30:55|1:31:3|After several rounds of fighting, [Li Qiankun]'s moves were mostly seen through by [Yang Luchan]. After a moment, he finally saw a way to defeat [Li Qiankun].
1:31:4|1:31:10|Upstairs, Prince Bei watched the two who hesitated to make a move with suspicion, but as a spectator, he did not speak out to disturb them.
1:31:10|1:31:17|After a moment, the integrated [Yang Luchan] stood on one foot on the screen, transforming into a wedge shape with the moves of the Vajra Pound.
1:31:18|1:31:26|[Li Qiankun] saw the opponent changing moves, and he also prepared a countermeasure. This time, [Yang Luchan] took the lead and rushed towards [Li Qiankun]. Just as he was about to make a move, [Yang Luchan] suddenly changed direction,
1:31:28|1:31:39|Flying to the left side behind [Li Qiankun], a swift airborne kick directly hits [Li Qiankun]'s face, catching him off guard. Without panic, [Li Qiankun] dodges and counters with a cloud hand strike to the vital point.
