0:2:2|0:2:5|The large gem in the middle sparkled brightly.
0:54:39|0:54:50|However, the figure of [Charlie], who was no longer in the camera, successfully captured the panoramic view of the secret room.
0:55:1|0:55:11|[Ye Hong] walked out of the castle, while a tour guide was explaining the story of the castle to the tourists. Meanwhile, [Pierre], who was lurking in the woods, finally got his prey and was ready to make his move.
0:55:13|0:55:34|He glanced at the crowd of tourists beside him, then looked towards where [Ye Hong] was, only to find that she had already walked far away. He quickly put down the binoculars and ran towards the castle, pushing through the crowded people and rushing into the castle. [Ye Hong] immediately spotted [Pierre] from afar, cleverly blending in with the tourists and successfully slipping away from under Pierre's eyes.
0:55:34|0:55:38|[Pierre] stood still, looking around helplessly,
0:55:40|0:56:4|Defeated once again, [Pierre] came to the shooting range to vent his emotions, hitting the bullseye with every shot. Just as he took off his earmuffs to reload, a shot hit [Pierre]'s target next to him. [Pierre] shouted: The person greeted him with a familiar voice, [Pierre] immediately became alert, turned around and pointed the gun at him, saying:
0:56:45|0:56:54|The security guard broke in, [Pierre] turned around, and [Zhang Dan] disappeared without a trace.
0:56:54|0:56:59|In the cafe, [Pierre] took a sip of water and said to [Amber]:
0:57:1|0:57:8|[Amber] glanced at the necklace on the table and said:
0:57:17|0:57:24|Amber shook her head with a smile, but Pierre continued:
0:57:32|0:57:40|[Pierre] looked out the window, memories flooding back.
0:57:48|0:58:6|[Pierre] pretended to be relaxed, but his eyes turned red as the scene of his father being arrested flashed before him. The glass reflected a fourteen-year-old [Pierre] and his disappointed face.
0:58:15|0:58:21|[Pierre] turned to look at [Amber], who asked with moist eyes:
0:58:38|0:58:47|[Pierre] regained his composure and said, "[Amber] is feeling down." He then changed the subject and asked:
0:58:47|0:58:55|At this moment, [Amber] had let her guard down against [Pierre] and after some contemplation, she slowly spoke:
0:59:30|0:59:38|At this moment, [Pierre] received an invitation letter. He opened it and said:
0:59:48|0:59:55|At this moment, [Ye Hong] and [Xiao Bao] have already taken action. They arrived at a run-down warehouse, where [Ye Hong] walked down the stairs and said:
1:0:5|1:0:24|Xiao Bao lay on the skateboard, slid out from under the car, still holding the repair tools in his hand. He put down the wrench, took off his gloves, and walked towards Ye Hong. Ye Hong had her back to him. Xiao Bao approached and helped her fasten the fingerprint scanner around her waist. Suddenly, his expression turned gloomy.
1:0:51|1:1:5|[Ye Hong] frowned and said, "[Xiao Bao], in a hurry, loosened the rope and carefully helped her tie it. After securing the scanner, [Xiao Bao] turned and walked towards the computer desk, skillfully activating the device."
1:1:5|1:1:40|[Ye Hong] put on her clothes, adjusted her suspenders, and said to [Xiao Bao]. [Xiao Bao] walked behind [Ye Hong], put his hands around her waist, and looked back at the computer screen. Unexpectedly, it showed a scanning failure. [Ye Hong] turned around, grabbed [Xiao Bao]'s hand, and said. [Ye Hong] looked up at him, their eyes met. [Xiao Bao]'s hand was held tightly by [Ye Hong], pressing against her waist. [Xiao Bao] swallowed nervously, lifted his head without daring to look at her. [Ye Hong] glanced at the monitor and saw that the scan was successful.
1:2:7|1:2:15|He placed the model truck on a small road, accompanied by the explanation from [Zhang Dan], ready to start the operation.
1:2:15|1:2:28|In the truck compartment are [Xiao Bao] and [Zhang Dan]. [Xiao Bao] looks at the large wine barrel beside him with a furrowed brow. The gatekeeper at the winery opens the gate upon seeing the driver's proof.
1:2:30|1:2:39|[Lao Mo] rolled two huge wine barrels down the hallway of the winery.
1:2:50|1:3:4|He picked up a model figure and showed it to Xiao Bao, then threw it into the model tunnel on the table. Xiao Bao slid down to the ground along the ladder steadily, while Zhang Dan searched for an exit in the winery alone.
1:3:7|1:3:19|[Xiao Bao] slowly approaches the control room. A group of security guards are celebrating a colleague's birthday, but the next moment they are all knocked out by tranquilizers. [Xiao Bao] appears at the door holding a tranquilizer gun, takes out everyone, and quickly locks the door.
1:3:24|1:3:39|[Zhang Dan] agilely shuttles on the outer wall of the castle, while [Xiao Bao] is tapping on the keyboard in the control room, changing the timestamps of all the cameras. Soon, one by one, the people on the surveillance screens all disappeared.
1:3:40|1:4:10|[Zhang Dan] received the signal, leaped down from the outer wall, and landed smoothly on the grass. He quickly ran towards the castle, looked up at the observation tower tens of meters high, then pressed a mechanism on his backpack. A rope shot out with an eagle claw tightly grabbing the top of the observation tower. He pressed a button and leaped up, then climbed onto a platform. With his back against the castle wall, he pressed another mechanism, and four small wheels instantly popped out of his backpack.
1:4:10|1:4:26|At this moment, [Xiao Bao] in the control room was staring at the screen intently, urgently helping [Zhang Dan] deactivate the mechanisms inside the castle. [Zhang Dan] slid along the wall smoothly and reached the top of the observation tower. He carefully opened the door to the observation room and walked in.
1:4:26|1:4:57|In the center of the room, there is a round lid that can be opened. [Xiao Bao] snapped his fingers and confidently said, "Let's rewind time a few days back." On the day when [Ye Hong] followed [Charlie] into the secret room, she took the opportunity to throw the machine ball in her hand to the side, where it adhered to the underside of a nearby table. Meanwhile, [Zhang Dan] had already opened the lid in the room, revealing the path to the secret room.
1:4:57|1:5:0|However, it was filled with intricate and complex laser beams.
1:5:0|1:5:4|Laser. In the control room, [Xiao Bao] is operating the computer non-stop.
1:5:4|1:5:26|Before long, the defense system was deactivated. [Zhang Dan] looked up at the ceiling and formulated a plan. She took off her eye mask, and [Xiao Bao] breathed a sigh of relief as he relaxed his hands behind his head. In the ballroom, a band played dance music. The guests at the banquet were all dressed up, men and women paired off, dancing gracefully to the music.
1:5:26|1:5:29|Charlie was dancing with a female partner when [Ye Hong] appeared.
1:5:31|1:5:46|She changed into an elegant and beautiful gown, standing at the door smiling at Charlie. Then she walked in with her skirt held up, Charlie was already captivated, slowly walking towards [Ye Hong] as if under a spell, with a smile in his eyes, saying:
1:5:55|1:6:21|Charlie reached out his left hand to [Ye Hong]. [Ye Hong] placed her hand on his, and the two walked into the ballroom. Meanwhile, [Zhang Dan] had already hung himself upside down in the center of the atrium, carefully observing his surroundings. His gaze finally landed on a hole in the floor, and he slowly slid down the rope, discovering that in each room on every floor, there was a similar hole in the same position.
1:6:21|1:6:36|At the end of the tunnel is Charlie's secret room. At this moment, a security guard in the control room gradually wakes up. He opens his eyes and reaches behind him. Xiao Bao, staring at the screen, is unaware, and is grabbed by the shoulder from behind by the security guard and pushed to the side.
1:6:38|1:6:46|The security guard hurriedly stepped forward to restart the laser net. [Xiao Bao] got up and wrestled with him, while [Zhang Dan], just one step away from the destination, was blocked by the restarted laser net.
1:6:46|1:7:3|[Xiao Bao] fought with the security guard, but was punched and sent flying due to the difference in strength. [Zhang Dan] quickly climbed up using a rope to avoid the lasers chasing from behind. Thinking quickly, [Xiao Bao] grabbed the keyboard from the table and smashed it towards the security guard, then lunged towards the computer, trying to turn the situation around.
1:7:4|1:7:30|The security guard quickly counterattacked, grabbing [Xiao Bao] from behind. Seizing the opportunity, [Xiao Bao] picked up the tranquilizer gun on the table. The guard reached out to grab it, but [Xiao Bao] used all his strength to twist the gun towards the guard's thigh. The guard, who was hit twice, immediately lost consciousness and fell heavily on top of [Xiao Bao]. [Xiao Bao] exerted all his strength to push him away, enduring the pain and quickly getting up.
1:7:30|1:7:47|At this moment, [Zhang Dan]'s clothes have been burned off, and just as the situation hangs by a thread, the laser net is finally shut down. [Zhang Dan] breathes a sigh of relief and looks down. Despite everything returning to calm, he dares not act rashly. [Xiao Bao] gasps for breath and explains:
1:7:55|1:8:9|After understanding the situation, [Zhang Dan] slid into the secret room with relief, skillfully untying the ropes, while Charlie was still intoxicated in the tenderness of [Ye Hong].
1:8:16|1:8:31|[Ye Hong] took the opportunity to hold Charlie's hand and slowly pulled it towards her waist where the fingerprint collector was hidden. Just then, the band switched to a tango dance music, and Charlie followed the strong beat, twisting and turning.
1:8:31|1:8:36|[Xiao Bao] in the control room, saw everything and helplessly reported the situation.
1:8:36|1:8:54|[Ye Hong] couldn't help but roll her eyes, took a deep breath, and attacked again. She placed her hand on [Charlie]'s shoulder, forcing him to turn around, then forcefully pulled his hand and placed it on her waist. [Xiao Bao] couldn't sit still, feeling jealous, and stared intently at the screen.
1:8:57|1:9:5|[Charlie] took the opportunity to touch [Ye Hong]'s thigh, but she quickly grabbed his hand and placed it back on his waist.
1:9:12|1:9:35|[Xiao Bao] couldn't wait and called a halt. [Ye Hong] stopped and turned away from [Charlie]'s reluctant gaze. She then took out a remote control and transmitted the fingerprint information to [Xiao Bao]. At this moment, [Zhang Dan] also arrived at the entrance of the secret room. Leaning against the wall, he reported the situation to his teammates. [Xiao Bao] took out a remote control, pressed the switch, and said:
1:9:38|1:10:9|[Zhang Dan] anxiously waited at the door. The machine ball hidden under the table by [Ye Hong] received a signal and was ready to go. Soon, the machine ball was successfully activated, transforming into an eight-legged machine spider. [Xiao Bao] turned on the camera on the spider's head to observe the environment in the secret room. After confirming it was safe, [Xiao Bao] controlled the spider to start moving. Before long, the spider crawled down from the stone pillar along the wall to the ground, carefully making its way towards the door. Outside the door, [Zhang Dan] was extremely worried.
1:10:9|1:10:14|Constantly checking the time on his watch, just then [Charlie]'s big black dog suddenly appeared,
1:10:23|1:10:54|The spider struggled desperately as the big black dog bit off one of its legs. [Xiao Bao], feeling sorry, pressed the button on the remote control. The big black dog was fiercely shocked by the spider and hastily fled, leaving the spider behind. The spider quickly got up, transformed into a small ball, and rolled forward. Before long, the mechanical ball rolled to the door of the secret room and transformed back into an eight-legged spider. It climbed up the door while shooting a laser beam, searching for the location of the door lock.
1:10:54|1:11:7|The gate, under the scanning of the laser, seemed to turn into a transparent door. Before long, the spider found the keyhole, lifted a leg and turned it into a welding torch, instantly sparking a blaze.
1:11:7|1:11:13|Charlie is still waiting for Ye Hong in the banquet hall. The servant approached and said:
1:11:15|1:11:36|[Charlie] followed the servant's gaze and saw [Pierre] approaching hurriedly to greet him. Meanwhile, on the other side, Little Spider was still busy picking the lock, and [Ye Hong] was completely unaware of [Pierre]'s arrival. She was searching for [Charlie] among the guests immersed in dancing, but unexpectedly spotted [Pierre]. She quickly reported the situation to [Zhang Dan].
1:11:41|1:12:8|Everyone was waiting for [Xiao Bao], who remained calm and composed, controlling the small spider without any hurry. His movements unconsciously quickened, and soon the spider penetrated the gate, causing a flicker of electricity. At that moment, [Charlie], who had just learned the truth from [Pierre], turned back with a red-eyed gaze, locking eyes with [Ye Hong] at the entrance of the banquet hall. Realizing she had been exposed, [Ye Hong] looked guilty, while [Pierre] stood by, teasingly watching the two.
1:12:8|1:12:17|At this moment, Spider successfully unlocked it, the stone statue at the door lit up green, and then the door opened, allowing the big black dog to leisurely run out.
1:12:17|1:12:29|The unsuspecting big black dog thought its owner had arrived, wagging its tail and running out to meet [Zhang Dan], while [Xiao Bao] was still immersed in the joy of victory, only to see the situation in the banquet hall the next second.
1:12:29|1:12:39|[Ye Hong] wanted to escape, but was surrounded by police and security guards who came from all directions, and was locked in the banquet hall by [Pierre]. [Zhang Dan] ran into a secret room, with [Xiao Bao]'s voice ringing in his ears.
1:12:40|1:12:52|[Zhang Dan] stood still, frowning in silence, then looked towards the Fountain of Spirits in front of him, made up his mind, took off his gloves, and [Xiao Bao] had to compromise.
1:12:57|1:13:4|[Pierre] reminded [Charlie] and he took out his phone to see through the surveillance camera that everything in the secret room was normal.
1:13:4|1:13:12|At this moment, the big black dog that should have been in the secret room suddenly appeared, and [Pierre] said, "[Charlie], now you finally realize."
1:13:14|1:13:32|[Charlie] hurriedly led the people to the secret room, [Pierre] subdued [Ye Hong] and handcuffed her to the piano. [Charlie] and a group of security guards were running frantically in the hallway, [Zhang Dan] put on special gloves, anxiously waiting for the progress bar above, and finally received the fingerprint information in the nick of time.
1:13:34|1:13:42|[Charlie] and his group climbed the stairs. [Zhang Dan] had successfully opened the glass cabinet of the Fountain of Spirits, and she took the Fountain of Spirits in one go.
1:13:44|1:13:55|[Xiao Bao] hesitated with a furrowed brow, concerned about [Ye Hong]'s safety. At this moment, [Charlie] and the security guards finally arrived at the secret room. Upon seeing the empty glass cabinet, [Charlie] said coldly:
1:13:58|1:14:16|At that moment, security guards all over Chenbao received instructions and armed themselves, preparing to move out. [Ye Hong], who was being held in the banquet hall, had resigned herself to her fate, biting her lip and giving up struggling. Suddenly, [Xiao Bao] burst in, shooting down the police guarding [Ye Hong] with a tranquilizer gun. He then unlocked her handcuffs. Perplexed, [Ye Hong] asked:
1:14:20|1:14:37|The security guards were fully armed, wearing helmets and riding motorcycles, leaving the castle and chasing towards the direction of the woods. [Zhang Dan] disguised himself as a security guard and hid in the team. Once out of the castle, he took another route, and the security guards were completely unaware, allowing him to escape right under their noses.
1:14:37|1:14:43|At this moment, [Pierre] drove to the castle with [Amber] to search for [Zhang Dan].
1:14:43|1:15:12|[Xiao Bao] missed the best time to escape in order to save [Ye Hong]. The two left the castle at great risk, but were already being watched by security guards behind them. Meanwhile, [Zhang Dan] thought he had shaken off the pursuers, but [Pierre] and [Amber] had already found him. [Ye Hong], wearing a cumbersome gown, ran with [Xiao Bao] through the woods. Soon, they were surrounded by the approaching security guards. They had to change direction, and one guard fired a shot at [Ye Hong], but the bullet narrowly missed and hit a tree instead.
1:15:13|1:15:31|The road in the forest was rugged, making it difficult for [Ye Hong] to run with her skirt held up. At this moment, [Xiao Bao] lifted a large piece of grass covering the ground, revealing a hidden beach motorcycle underneath. This sight left [Ye Hong] speechless. The security team, not to be underestimated, quickly rode their motorcycles to catch up.
1:15:31|1:15:58|On the mountain road, [Zhang Dan] rode his motorcycle rapidly, evading the pursuit of [Pierre] and [Amber]. Desperate, he drove into a construction site with several trucks coming in and out. [Pierre] chased closely behind, leaving him no way out. On the side, [Amber] looked worried. Meanwhile, [Xiao Bao] and [Ye Hong] were also being closely followed by security guards on motorcycles. [Zhang Dan] tried to take a shortcut and rushed into the construction site.
1:15:58|1:16:16|Who knew [Pierre] was the first to reach the end of the road. [Zhang Dan] accelerated and rushed past, once again leaving [Pierre] behind. Seeing [Pierre] pull out a gun, [Amber] hurriedly stopped him. [Pierre] assured that he wouldn't take his life. [Pierre] fired repeatedly at [Zhang Dan], although avoiding hitting his body, he successfully disrupted him.
1:16:16|1:16:39|At this moment, [Xiao Bao] is riding a beach motorcycle with [Ye Hong], the two of them weaving through the trees. The security guards show no mercy towards the unarmed duo, as they run and dodge the hail of bullets behind them. The road on the mountain is under construction, and [Zhang Dan] encounters several large trucks shortly after, but he doesn't slow down. Instead, he accelerates and swerves sharply just before the collision.
1:16:39|1:16:52|He crossed over the large rocks by the roadside, trying to take a shortcut to shake off Pierre. Xiao Bao and Ye Hong had already escaped from the woods and arrived at a clearing. Without any cover, their situation became even more dangerous.
1:16:52|1:17:2|[Zhang Dan] tried all his tricks but couldn't shake off [Pierre]. Instead, he ended up covered in dirt, running forward like a headless fly, only to find there was no way ahead.
1:17:2|1:17:3|[Pierre] made a tough decision,
1:17:8|1:17:21|In the same desperate situation, [Xiao Bao] and [Ye Hong] arrived at the riverbank. Instead of stopping the car, [Xiao Bao] drove into the water. He pressed a button on the front of the car, and the tires on both sides instantly started spinning, transforming the car into a speedboat.
1:17:21|1:17:30|The security guards stood on the shore watching helplessly as the two people left. [Zhang Dan] was shot and fell to the ground in pain, rolling around, and the motorcycle was flung out.
1:17:31|1:17:39|[Pierre] stopped the car, pointed a gun at [Zhang Dan], got out of the car, and walked towards him with big steps, shouting:
1:17:42|1:17:46|[Zhang Dan] struggled to get up, threw his helmet to the ground, and shouted at [Pierre]:
1:17:46|1:18:0|[Pierre] sneered, but [Zhang Dan] remained indifferent, turning towards the motorcycle. A shot fired by [Pierre] landed near [Zhang Dan]'s feet, forcing her to stop.
1:18:9|1:18:29|Sitting in the car, [Amber] looked at the coerced [Zhang Dan] with a heartbroken expression. [Pierre] pointed a gun at [Zhang Dan]'s head, trying to force him to surrender. Suddenly, a car rushed towards them. Unable to dodge in time, [Pierre] fell to the ground. He did not expect that [Amber] would actually switch sides at the critical moment and betray him.
1:18:29|1:18:36|[Pierre] stood up, looking in the direction where the two were running away, standing still in a daze, unable to come back to his senses for a long time.
1:18:36|1:18:42|[Amber] and [Zhang Dan] raced all the way, soon escaping onto the highway, both remaining silent along the way.
1:18:44|1:18:50|[Zhang Dan] sat in the passenger seat, stealing glances at [Amber] from time to time, but unsure of how to break the silence.
1:18:50|1:18:56|He pondered for a long time, couldn't help but turn his head and stare at [Amber], hesitated to speak, and [Amber] reproached him:
1:19:32|1:19:55|After five years, [Zhang Dan] finally revealed his secret to [Amber]. As [Amber] turned around and saw [Zhang Dan] bleeding from his arm, she softly said, "[Zhang Dan], despite the pain from your wound." [Zhang Dan] joked with a smile, ignoring the pain, and [Amber] couldn't help but laugh. The two reconciled and let go of their past grievances.
1:20:32|1:20:37|[King Kong] suddenly appeared, leading a group of people walking out from the nearby woods.
1:20:37|1:21:9|[Zhang Dan], along with the others, stood still in their tracks, dropping their parachutes. Two groups faced each other at the edge of the cliff, with [King Kong] staring at [Zhang Dan] with a smile on his face. The smile on [King Kong]'s face twitched slightly as he reached out to the side, and his men quickly pulled out their guns and aimed at them.
1:21:18|1:21:41|[Zhang Dan] reached for the gun behind him, only to be snatched away by [Ye Hong]. [Ye Hong] pointed the gun at [Zhang Dan], while [King Kong] looked at [Ye Hong] with a satisfied smile. [Zhang Dan] with red eyes, smiled at [Ye Hong], the muscles on his face twitching.
1:21:44|1:21:53|[Ye Hong] pointed a gun at [Amber] and led her to walk behind [King Kong], while [King Kong] proudly waved the Spring of Spirits in front of [Zhang Dan].
1:21:53|1:22:0|At the same time, [Pierre] led a large number of police cars along the mountain road to come and arrest Zhang Dan and his group.
1:22:0|1:22:9|[Ye Hong] quickly boarded the plane with [King Kong]'s men and took [Amber] with her. [Zhang Dan] looked on helplessly at everything happening before her.
1:22:9|1:22:13|King Kong threatened Zhang Dan even after boarding the plane.
1:22:16|1:22:34|The helicopter slowly took off, with Zhang Dan shouting: Xiao Bao finally reacted and quickly took out a spider to throw towards the helicopter. The spider successfully stuck to the bottom of the helicopter and slowly disappeared from their sight as it went further away.
1:22:34|1:22:48|At this moment, a large group of police officers arrived at the mountaintop. The two turned around and found themselves surrounded. One of the police officers, holding a megaphone, shouted loudly:
1:22:49|1:22:54|[Pierre] stepped out of the car, glaring angrily at [Zhang Dan].
1:23:0|1:23:17|Watching the approaching police force, [Xiao Bao] no longer hesitated. He turned around and jumped off the cliff. Dozens of heavily armed police officers swarmed from all directions, closing in on [Zhang Dan]. [Zhang Dan] gave up resistance, slowly raised his hands above his head, waiting to be captured.
1:23:17|1:23:30|In the police station, two police officers stood guard at the door of the interrogation room, watching over Zhang Dan. He sat at the table with his head down, handcuffed. A chubby officer paced beside him and asked:
1:23:33|1:23:38|[Zhang Dan]'s archenemy [Pierre] appeared at the door, and the chubby policeman opened the door and said:
1:23:40|1:23:45|[Pierre] cut to the chase and asked:
1:23:52|1:23:58|[Pierre] pulled up a chair and sat down, asking about the whereabouts of [Zhang Dan] and [King Kong]. [Zhang Dan] shook her head and replied,
1:24:7|1:24:16|[Zhang Dan] calmly glanced at the camera in the room, then leaned in towards [Pierre] and said:
1:24:42|1:25:5|[Zhang Dan] nodded firmly, [Pierre] let down his guard and took out the key to unlock the handcuffs for him. [Pierre] looked at [Zhang Dan] without a word. This time, he chose to trust his opponent. Meanwhile, [King Kong] had already escaped to Kiev, Ukraine with a group of people. Outside an inconspicuous unfinished building, surrounded by overgrown weeds, two cars were parked downstairs.
1:25:5|1:25:22|Several people were loitering around the car, surreptitiously keeping an eye on their surroundings. Inside the abandoned building, [Amber] was tied to a chair, with a few people watching over her. [King Kong] carried a briefcase down the stairs, then placed it on a table next to [Amber].
1:25:22|1:25:31|He looked at [Amber] with a sneer, then smugly opened the box to reveal three necklaces that formed the complete GAIA.
1:25:32|1:26:3|[Ye Hong] sat on a wooden crate, expressionless, watching [King Kong]. Suddenly, she noticed a spider quietly moving in the corner. As [King Kong] picked up the crate to leave, [Ye Hong] stopped him. Meanwhile, [Zhang Dan] and [Xiao Bao] had followed them to the vicinity of the abandoned building. Sitting in the car, they stared at the computer screen. With the spider under surveillance, they knew everything happening inside.
1:26:13|1:26:32|[Zhang Dan] smiled and said, "[Zhang Dan] ignored [Xiao Bao]'s doubts, turned around and carefully opened the car door to walk out. At that moment, the monitor screen suddenly went blank, the spider lost signal. [Xiao Bao] quickly raised the remote control to search for the signal, but it was of no use."
1:26:32|1:26:46|[Zhang Dan] has a small bag tied around his waist, holding a gun in his right hand as he moves through the bushes and small trees. He cautiously approaches the abandoned building, while [Xiao Bao] opens the car door to check the signal receiver on the roof.
1:27:1|1:27:17|[Xiao Bao] looked at [Ye Hong] with a look of helplessness and confusion in his eyes. By this time, [Zhang Dan] had already climbed up the unfinished building. The entire building was in a state of disrepair, devoid of any vitality, with dangers lurking everywhere. The walls and windows had collapsed, exposing everything inside the building.
1:27:17|1:27:46|[Zhang Dan] entered the room where [King Kong] and his group were. He cautiously peeked his head out, holding a gun in his hands to observe the surroundings. Quickly running in, he hid behind a wall. After confirming it was safe, he rushed into the room with his gun raised. Surprisingly, the room was empty, with only a Russian nesting doll on the table, featuring a portrait of [Zhang Dan]. Perplexed, [Zhang Dan] slowly approached and stared at the nesting doll, lost in thought. Then, he slowly bent down.
1:27:46|1:28:4|He gently opened the nesting dolls, revealing a portrait of [Amber] in the first layer, followed by [Xiao Bao], and the final layer contained [Ye Hong]. Puzzled, he reached for the last layer, only to discover a timed bomb inside.
1:28:4|1:28:10|He was startled, quickly pulled his hand away, slowly stood up, and as the countdown reached zero, [King Kong] appeared.
1:28:31|1:28:46|Xiao Bao was also escorted over by King Kong's men at this time, with Ye Hong standing at the back, silent.
1:29:2|1:29:27|[Zhang Dan] stared fiercely at [King Kong], with a low and fierce look in his eyes. [King Kong] smiled and gestured for his men to push [Amber] and [Xiao Bao] towards [Zhang Dan], then turned to [Ye Hong] and said:
1:29:37|1:29:47|[King Kong] glanced at the strange-looking [Ye Hong], reached out and patted her shoulder, then turned to look at [Zhang Dan], squinting his eyes in a threatening manner, and with his henchmen behind him, he turned and walked downstairs.
1:29:47|1:30:12|Xiao Bao's eyes never left Ye Hong, filled with anger and disappointment. Ye Hong's eyes were moist and dazed, but soon she snapped out of it and pointed a gun at Zhang Dan. King Kong arrived with his men at a dark factory, where he shook hands with an old man with a white beard.
1:31:6|1:31:17|[King Kong] handed the box to him with a mix of belief and doubt. The appraiser next to him took the box. Inside the unfinished building, [Ye Hong] sat on a stool with a gun in hand, crossing her legs.
1:31:46|1:32:0|[Ye Hong] coldly raised the gun and aimed it at [Zhang Dan]. At the same time, Yurick's appraiser opened the box, put on gloves, and gently took out GAIA to examine.
1:32:3|1:32:10|In the distance, a gunshot suddenly rang out, prompting Yuri's men to immediately draw their weapons and point them at [King Kong].
1:32:17|1:32:29|King Kong's subordinates were still wary, holding their guns until Yuri spoke and they finally put them down. King Kong pretended to be relaxed and let them continue, while the appraiser continued to work busily.
1:32:29|1:32:36|Yurick stared at the person opposite him intently. The appraiser looked up and nodded at Yurick, who then instructed his men to proceed with the transaction.
1:32:37|1:32:54|[King Kong] had a big smile on his face, looking smug. He turned his back and stood to the side as one of his men walked up to the table. The appraiser opened the computer and gestured for him to enter the bank account number. The silence was broken by [Zhang Dan]'s voice.
1:32:56|1:33:23|[Zhang Dan] pointed a gun at the back of [Ye Hong]'s head, slowly descending the stairs from the side. A hint of doubt flashed across [King Kong]'s face, then turned into anger. He pulled out a gun from behind and without hesitation, shot [Ye Hong] in the chest. [Ye Hong] fell in front of [Zhang Dan], who immediately squatted down to check the situation. He turned his head in disbelief and said, "His men translated their conversation for Yurik."
1:34:51|1:34:57|[Ye Hong] suddenly stood up and shot down [King Kong]'s weapon.
1:34:58|1:35:23|[Ye Hong] unzipped the jacket and said, "There's a bulletproof vest inside." [King Kong] glared in anger, but was held at gunpoint by [Zhang Dan]. [Zhang Dan] loaded the gun, memories flooding back, memories of the old man with a white beard passing a message to [Zhang Dan] in prison.
1:35:23|1:35:53|He hired the Eastern European guy, stole your Forest Eye, and as the explosion of the police car in his memory sounded, [Zhang Dan]'s thoughts were pulled back to reality. He gritted his teeth fiercely, wishing to shoot [King Kong] dead on the spot. At this moment, [Xiao Bao]'s spider appeared in the corner, pointing a gun at the people inside the house. [Xiao Bao] and [Amber] were hiding in the dark, anxiously controlling the spider's movements.
1:35:53|1:35:58|Another spider also emerged from the shadows, extending a gun barrel from its abdomen.
1:35:58|1:36:5|[Zhang Dan] hesitated for a moment, reached out to lock the safety, and slowly moved the gun away from [King Kong]'s forehead.
1:36:5|1:36:16|[King Kong] stared fiercely at [Zhang Dan], showing no fear. [Zhang Dan] turned to Yuri and said, and Yuri accepted with pleasure.
1:36:16|1:36:28|The old man with a white beard translated his words to [King Kong], and Yurick slowly said, "[King Kong], think about the machine just now."
1:36:28|1:36:37|The lips couldn't help but tremble, [Xiao Bao] was ready to take action.
1:36:41|1:36:48|One of the spiders hanging from the ceiling exploded itself, prompting everyone to pick up weapons and engage in a gunfight.
1:36:48|1:37:15|In the chaos, [Ye Hong] covered [Zhang Dan] and managed to steal the GAIA from the table. This did not escape the eyes of [King Kong], who quickly got up and chased after them with a machine gun. [Zhang Dan] and [Ye Hong] escaped from the gunfire, but to their surprise, [King Kong] caught up with them. He started shooting, forcing the two into a corner.
1:37:18|1:37:26|The two of them hid behind a huge steel plate, with [Zhang Dan] occasionally firing back, but ultimately unable to withstand the machine gun in the hands of [King Kong].
1:37:26|1:37:48|At this moment, [King Kong] was furious and shooting wildly. [Zhang Dan] and [Ye Hong] exchanged a glance, knowing that this stalemate was not the solution. [Zhang Dan] then threw the briefcase containing GAIA out. Seeing this, [King Kong] immediately dropped his gun, grabbed the briefcase, and ran outside. His men brought the car to the entrance as [King Kong] ran while keeping an eye on his back.
1:37:49|1:38:1|After getting on the car, the two cars in front and back immediately fled, with [Amber] and [Xiao Bao] hiding in the corner observing secretly. When they saw [King Kong] and his group escaping, the two quickly pushed open the door and chased after them.
1:38:1|1:38:7|At this moment, [King Kong], who narrowly escaped death and obtained the treasure, showed a smug smile.
1:38:7|1:38:20|He suddenly heard some movement in the box, his face darkened as he opened it and exclaimed, "There's a Matryoshka bomb in the box, showing a distance of nine hundred and ninety-eight meters."
1:38:24|1:38:32|The distance immediately turned into one kilometer. [Zhang Dan] and the other three stood on the overpass, watching the thick smoke from the explosion not far away, sighing.
1:38:42|1:38:48|[Zhang Dan] remained expressionless as he took out GAIA from his pocket and placed it in front of [Xiao Bao].
1:38:50|1:39:0|When they were being chased by King Kong just now, Zhang Dan had already secretly switched GAIA with the bomb.
1:39:14|1:39:33|Without waiting for [Amber] to respond, [Zhang Dan] kissed her, and then the two of them kissed as if no one else was around. [Xiao Bao] stared at them, [Zhang Dan] gave him a wink with eyes wide open, and [Xiao Bao] instantly understood. He looked affectionately at [Ye Hong] and pouted his lips as he leaned in.
1:39:34|1:39:43|Who knew [Ye Hong] would slap [Xiao Bao] and roll her eyes at him, causing [Zhang Dan] to burst out laughing. [Xiao Bao] felt extremely embarrassed and said:
1:39:55|1:40:9|[Zhang Dan]'s words made four people burst into laughter, everyone laughing heartily. The thrilling day came to an end. Everything settled, and the source of all evil, [King Kong], has reaped what he sowed.
1:40:9|1:40:14|[Zhang Dan] and his girlfriend [Amber] have also resolved their misunderstandings of many years and reconciled.
1:40:14|1:40:31|At this moment, [Pierre] was enjoying the morning sun at home, holding a newspaper in his hand. A piece of news caught his eye, with the headline: "GAIA returned to its original owner, donor's identity in question." [Pierre] smiled approvingly and nodded.
1:40:31|1:40:36|There was a sudden knock on the door, and [Pierre] quickly placed the newspaper on the coffee table and got up to answer it.
1:40:39|1:40:41|The delivery man greeted [Pierre] with a "good morning" and handed him a paper box.
