0:1:6|0:1:11|At this moment, they are conducting physical training around the training ground.
0:56:59|0:57:3|The scene shifts to the competition venue, where the battle becomes more intense.
0:57:3|0:57:20|Yang Hui and [Liu Li] are evenly matched, with Han Bing pacing back and forth offstage, appearing very anxious and worried.
0:57:41|0:57:52|A few days after the race, the rain had stopped and the sun was shining. [Liu Li] hurriedly walked with her suitcase, paying no attention to the shadow beneath her feet. Han Bing rode up on a bike and called out to her.
0:57:54|0:57:58|[Liu Li] kept walking forward, while Han Bing threw the car and grabbed her.
0:58:29|0:58:37|Han Bing didn't answer, she just stared at [Liu Li] for a while, then patted [Liu Li]'s shoulder, like an older brother to a younger sister.
0:58:37|0:58:45|Out of guilt, Han Bing picked up Liu Li's luggage, dragged it in front of her with both hands, and gestured for her to go back first.
0:58:45|0:58:50|[Liu Li] took the luggage, sighed, and coldly rejected Han Bing's kindness.
0:59:7|0:59:10|Han Bing pointed in the direction of the exit, leaving [Liu Li] speechless with anger.
0:59:12|0:59:17|Han Bing, with a stern face, scolded again. [Liu Li] glared at him, grabbed the suitcase and left.
0:59:17|0:59:23|Who knew, on the rainy road full of potholes, [Liu Li] walked a distance and her suitcase tripped and fell to the ground.
0:59:23|0:59:28|She decisively kicked out, venting her anger on the icy back, and condemned angrily.
0:59:30|0:59:34|Say it, [Liu Li] dragged the suitcase and left without looking back.
0:59:34|0:59:37|Han Bing looked indifferent, leaving [Liu Li] behind without a word.
0:59:37|0:59:41|[Liu Li] walked angrily to the front gate and hailed a taxi.
0:59:41|0:59:46|As the driver helped her with the luggage, she realized how deep her connection with taekwondo was.
0:59:47|0:59:52|But since she had made up her mind to leave, [Liu Li] just turned back and looked at the school for a long time.
0:59:52|0:59:56|Despite the loneliness and reluctance in her heart, [Liu Li] still got on the car.
0:59:56|1:0:5|But who could have expected that, just as the car started to drive away, Han Bing suddenly ran out, chasing after the car and shouting for her to stay.
1:0:5|1:0:9|Some time later, one day, a magazine cover featuring [Liu Li] as a model appeared on the table.
1:0:14|1:0:17|The character [Liu Li] in the photo is dressed sexy and striking a seductive pose.
1:0:17|1:0:22|Han Bing took a glance, his mouth twisted in anger.
1:0:46|1:0:54|After Han Bing bid a respectful farewell, the assistant coach hung up the phone. Han Bing walked to the window, sighed heavily, and muttered to himself.
1:1:0|1:1:10|The next day, the streets were filled with posters of Liu Li, who was heavily made up with trendy hair and avant-garde makeup, showing no signs of sweating on the competition field.
1:1:10|1:1:16|Han Bing stared at the poster of [Liu Li] and waved his headscarf, as if waiting for something, but at this moment, [Liu Li] was shining brightly.
1:1:17|1:1:27|[Liu Li] walked on the stage with a bold and assertive demeanor, dressed in a very eye-catching gown. Every move she made followed the melody of the accompaniment, eliciting cheers from the audience below the stage.
1:1:27|1:1:39|Just before the performance ended, [Liu Li] still gave all the audience a charming look and smile. Without finding [Liu Li], [Han Bing] returned to the office dejected, not knowing what to do, with a restless mood rushing to her head.
1:1:39|1:1:43|She swept away the scattered pieces of paper and walked to the window, deep in thought.
1:1:43|1:1:54|At the same time, after the performance, [Liu Li] returned home and looked at the glamorous reflection of herself in the mirror. She took out a camera and proudly imagined herself shining brightly.
1:2:29|1:2:41|At the same time, [Liu Li], feeling frustrated, started drinking alone, downing glass after glass of baijiu.
1:2:41|1:2:45|Her nostrils twitched slightly, as if tears were about to fall in the next second.
1:2:45|1:2:50|The intense burning sensation of alcohol made her uncomfortable, and she suddenly started coughing violently.
1:2:50|1:2:52|The scene shifts, [Han Bing] arrives at the home of [Liu Li].
1:2:53|1:3:0|The house decoration is full of ambiguous atmosphere, with an artist poster on the wall and an old-fashioned movie projector in the corner.
1:3:0|1:3:9|Han Ming discovered a taekwondo uniform hanging in the wardrobe, which used to be the most frequently worn clothing by [Liu Li], now neatly hung up and cleaned.
1:3:9|1:3:18|But because it hasn't been touched for a long time and has gathered dust, [Liu Li] has just put on a stylish jacket, paired with tight jeans and boots, she can be described as a desert girl, which is not an exaggeration.
1:3:19|1:3:29|He walked out of the bathroom with his hands in his pockets, until he saw Han Bing, he froze, the coach he hadn't seen for a long time now seemed very unfamiliar.
1:3:29|1:3:31|[Liu Li] steps forward and speaks first.
1:3:31|1:3:36|Han Bing slowly turned around and looked [Liu Li] up and down.
1:3:36|1:3:40|[Liu Li] squeezed out a smile, but the next second her mouth drooped down and she shook her head.
1:3:44|1:3:48|As soon as the words fell, [Liu Li] froze, the two facing each other in silence.
1:3:48|1:3:54|Han Bing lowered her head slightly, [Liu Li] turned around, no longer discussing this topic with him.
1:4:0|1:4:5|[Liu Li] looked at him coldly, then turned away without answering, displaying her emotions very well.
1:4:12|1:4:19|Liu Li gazed at Han Bing's departing figure for a long time, leaving only herself in the room, feeling lonely and desolate.
1:4:19|1:4:22|The scene shifts, and [Liu Li] almost falls to the ground as a maid.
1:4:22|1:4:27|At this moment, [Liu Li] is practicing, but due to the injury, she can't even walk normally.
1:4:27|1:4:34|Sitting alone at home, [Liu Li] is surrounded by her own model posters. Even though she looks glamorous on the posters, she can't bring herself to be happy.
1:4:37|1:4:46|[Yang Hui] tried her best to find a suitable fulcrum by using her injured leg, but almost stumbled every time she tried. Her balance was unstable as soon as she lifted her leg.
1:4:46|1:4:55|The intense and unbearable pain made her look fierce and fragile, as she tried to throw punches like before, imagining the opponent right in front of her but to no avail.
1:4:55|1:5:5|Nostalgic [Liu Li] tried to call [Yang Hui] but couldn't get through. Feeling down, [Liu Li] tossed the phone aside and lay alone in a pile of posters.
1:5:7|1:5:19|Memories of childhood flashed through Liu Li's mind.
1:5:19|1:5:24|Yang Hui's mother walked down the steps, while Yang Hui and [Liu Li] were playing enthusiastically.
1:5:31|1:5:40|[Liu Li] and [Yang Hui] were chasing each other, running up the narrow stone steps. In order to prevent [Yang Hui] from getting the egg, [Liu Li] did a handstand directly, sticking tightly to the wall.
1:5:40|1:5:43|[Yang Hui] gasped for breath and sat down heavily on the ground.
1:5:48|1:5:58|Yang Hui glanced at [Liu Li], then picked up her arrow and tapped it three times, looking it up and down with a disdainful expression. She then threw it on the ground and walked away.
1:6:4|1:6:9|Thoughts returned to reality, with a vast expanse of white at the boundary between heaven and earth on the frozen ground before the eyes.
1:6:9|1:6:14|On the vast and endless road, a white sedan zoomed by, with [Liu Li] sitting in the driver's seat.
1:6:14|1:6:18|At this moment, [Liu Li] was driving hurriedly towards the training ground.
1:6:18|1:6:26|On the other side, Liu Li was running in the snow, wearing a thick down jacket that made each step look very heavy, making her particularly conspicuous in the snow.
1:6:26|1:6:31|[Liu Li] drove to the parking lot, turned the steering wheel all the way, skillfully made a turn, and then parked the car.
1:6:32|1:6:38|He wore a pair of sunglasses, wrapped in a high-end scarf, dressed in jeans and leather boots, looking very capable.
1:6:38|1:6:44|[Liu Li] gets off the car and strides towards the snowy field, with only his figure in the vast land.
1:6:44|1:6:53|As Yang Hui crossed over the hill, Liu Li continued to sprint forward, her long ponytail swaying back and forth, unaware of where her destination was.
1:6:53|1:7:2|In contrast, [Liu Li] is much more straightforward. It wasn't until [Liu Li] walked to the center of the hill that she saw Yang Hui running in the snow. After a moment of thought, she lowered her head.
1:7:4|1:7:10|Liu Li didn't call out to [Yang Hui], but stood still, gazing steadfastly into the distance.
1:7:10|1:7:16|The earth was covered in silver-white, pure snow, and the thick ice made people feel bone-chilling cold.
1:7:16|1:7:20|At this moment, [Liu Li] was a bit tired, she stopped and gasped for breath.
1:7:20|1:7:27|Turning around, she locked eyes with [Liu Li], and childhood memories flashed through her mind like a revolving lantern once again.
1:7:30|1:7:47|Remember when they were playing together with their friends when they were young, on a snowy winter day. [Yang Hui] was carrying a basket of eggs, chasing and playing around, accidentally slipping and falling, breaking the eggs on the ground. The other friends picked up the eggs from the ground and threw them at each other, but only [Liu Li] bent down, patiently helping her pick up the eggs.
1:7:48|1:7:52|[Yang Hui]'s hand was scraped badly when she fell, and there was blood all over when she raised her hand.
1:8:3|1:8:8|No matter how hard Liu Li tried, all he got was the back view of [Yang Hui] walking away gracefully.
1:8:9|1:8:12|Childhood memories flashed before [Liu Li]'s eyes.
1:8:15|1:8:21|The scene shifts, Han Bing appears in Grandpa Liu Li's house.
1:8:21|1:8:29|Han Bing stood at the door for a long time, looking inside at the old furnishings. She pushed open the door, still with her hands in her pockets.
1:8:29|1:8:35|Han Bing walked into the room, where Liu Li's grandfather was practicing calligraphy. Han Bing took a few steps forward.
1:8:44|1:8:51|Han Bing pondered for a moment, her eyes wandering as she glanced at the furnishings and calligraphy on the bookshelf, then slowly walked over to Grandpa [Liu Li].
1:8:51|1:8:55|Grandpa Liu Li put down the brush in his hand, waiting for him to speak.
1:8:55|1:8:58|Han Bing picked up the Go pieces on the table while talking.
1:9:14|1:9:19|Han Bing's eyes were calm like an ancient well, and after Grandpa Liu Li finished speaking, he walked away to somewhere else.
1:9:19|1:9:31|They were members of the geological team. When they were conducting a survey on the snow-capped mountains, they encountered an avalanche shortly after arriving in Shangri-La. When they left, Liu Li was only five years old, Liu Li.
1:9:47|1:9:50|The scene shifts to the stage where models are walking the runway.
1:9:50|1:9:53|The dazzling stage lights cast a floral shadow on the ground.
1:9:53|1:9:58|Models wearing extravagant gowns showcase themselves in the center of the stage.
1:9:58|1:10:2|[Liu Li]'s face has distinct contours, which appear even more captivating under the strong light.
1:10:43|1:10:48|In pouring rain, [Liu Li] rushed towards the company without even carrying an umbrella.
1:10:48|1:10:57|Finally, she stopped and saw Grandpa wearing a raincoat, with a few drops of water on his white beard. He held an umbrella in his hand, but didn't open it, standing alone in the rain.
1:10:57|1:11:2|[Liu Li] quickly followed her grandfather when she saw him, without any of the arrogance and domineering attitude she displayed on stage.
1:11:18|1:11:22|Liu Li's cheeks had two clear tear marks, and she trembled as she answered.
1:11:22|1:11:28|[Liu Li] sat cross-legged in front of her grandfather, tremblingly called out "Grandpa", recalling the teachings her grandfather gave to herself and Yang Hui back then.
1:11:54|1:11:57|Liu Li's eyes revealed stubbornness as she looked up and said.
1:12:29|1:12:31|Grandpa hurriedly walked away.
1:12:31|1:12:38|Time has passed, [Liu Li] stands on the ice rink where she used to practice martial arts, surrounded by a group of children holding swords and sparring with each other.
1:12:38|1:12:43|At this moment, Yang Hui, braving the winter cold wind, limped towards [Liu Li] with a limp.
1:12:43|1:12:45|[Liu Li] turned away, unwilling to face it directly.
1:12:59|1:13:7|Liu Li could not argue back, as if the world had suddenly gone silent.
1:13:7|1:13:10|Yang Hui walked up behind him and let out a loud roar.
1:13:14|1:13:22|Yang Hui suddenly rushed to Liu Li, snatched the sword and luggage from her hands. Due to the vast difference in size, Liu Li was pushed to the ground during the struggle.
1:13:22|1:13:27|Yang Hui took Liu Li's luggage and left, leaving Liu Li standing alone in a daze.
1:13:27|1:13:33|Liu Li's coat collar was blown open by the cold wind, with a few pieces of partially melted snow still sticking to her body.
1:13:33|1:13:38|She stood still in a daze, and a little boy walked up to her, about the same age as Liu Li back then.
1:13:42|1:13:46|At this moment, Yang Hui is walking towards Grandpa Liu Li's tombstone.
1:14:49|1:14:52|[Liu Li] was pushed to the ground, his bangs scattered casually in front of his eyes.
1:15:1|1:15:4|[Liu Li] looked extremely pained as he helped [Yang Hui] up, his body trembling slightly.
1:15:4|1:15:15|She leaned Yang Hui's head against her chest and comforted her softly.
1:15:15|1:15:18|The two cuddled together, with [Liu Li] gently stroking [Yang Hui]'s head.
1:15:18|1:15:22|Arriving home late, [Yang Hui] seemed to have caught a cold, shivering all over with a high fever that wouldn't go away.
1:15:22|1:15:23|[Liu Li] prepares the towel.
1:15:26|1:15:29|[Yang Hui] had a pale face and could hardly speak.
1:15:29|1:15:34|After taking the towel, [Liu Li] took off her scarf and put it on her, clasping her hands tightly together.
1:15:34|1:15:39|[Liu Li] looked at her with a worried expression, suddenly, [Yang Hui] grabbed [Liu Li].
1:15:42|1:15:45|[Yang Hui] looked desperate, with two tears streaming down her face.
1:15:49|1:15:52|His gaze shifted to [Liu Li], as if there was more to his words than met the eye.
1:15:55|1:15:57|[Liu Li] looked ahead with a determined gaze mixed with tears.
1:16:0|1:16:5|[Liu Li] turned her head, paused, and what she said next was even more unexpected.
1:16:14|1:16:20|Yang Hui couldn't hold back anymore when she heard this, tightly holding Liu Li's hand and starting to sob.
1:16:20|1:16:25|[Liu Li] puts her hand to her ear and the two of them lean in close, snuggling up to each other.
1:16:25|1:16:30|The next day, [Liu Li] really pushed Yang Hui to the training ground that she was once so familiar with.
1:16:30|1:16:34|The other students are younger, just like they were back in the day.
1:16:34|1:16:37|And at this moment, Han Bing stood on the training ground, watching them train.
1:16:38|1:16:43|Amidst the repeated shouts, that familiar yet unfamiliar feeling surged in the heart.
1:16:43|1:16:48|Liu Li slowly approached, and Han Bing happened to turn around, seeing the figures of Liu Li and Yang Hui.
1:16:48|1:16:54|Her expression did not show a hint of surprise or astonishment, as if it was expected.
1:16:54|1:16:58|However, she immediately turned around, pretending not to see, and continued training.
1:16:58|1:17:3|Liu Li stood behind her, ran to the stage and stared straight at her back.
1:17:3|1:17:7|Han Bing seemed to be still focused on training the students, so [Liu Li] stopped her.
1:17:10|1:17:14|Han Bing turned around and glanced back, expressionless and indifferent.
1:17:14|1:17:19|Yang Hui sat alone in a wheelchair, watching Han Bing and [Liu Li] talking not far away.
1:17:19|1:17:25|Later, Han Bing walked up to [Liu Li] and then circled around, looking her up and down.
1:17:25|1:17:34|[Liu Li] responded with a determined expression, but still appeared nonchalant and evenly matched.
1:17:34|1:17:37|Han Bing's question left [Liu Li] speechless and embarrassed.
1:17:37|1:17:39|She avoids Han Bing's words, her eyes cast down.
1:18:23|1:18:24|Vaguely.
1:18:28|1:18:37|In the next scene, on the training ground, Yang Hui is sitting in a wheelchair, while [Liu Li] is shouting instructions, conducting physical recovery training.
1:18:37|1:18:45|[Liu Li] has a dumbbell on top of her head, with one piece on each side. She exerts all her strength to lift it up for the last time, and then throws it into another training exercise.
1:18:46|1:18:54|[Liu Li] holds the dumbbell plate, rapidly rotating her body from side to side, sweating profusely as she utilizes the power of her core and abdominal muscles.
1:18:54|1:18:59|She then wrapped bandages around her feet, ran to the other side of the training ground, and began her kicking training. [Liu Li]
1:18:59|1:19:1|Yang Hui was spinning rapidly behind her.
1:19:16|1:19:21|[Liu Li] exhaustedly tried to stand up, but due to unstable balance, almost fell down.
1:19:24|1:19:31|[Liu Li] threw the dumbbell aside, panting heavily, and the dumbbell rolled freely on the ground due to inertia.
1:19:31|1:19:34|The next day, Han Bing led her and the trainees to train together.
1:19:41|1:19:45|1, 2, 3, 4, 5, 6, 7, 8, 9, 10. The students marched in perfect unison, with Liu Li at the center, forming a circle.
1:19:45|1:19:49|[Liu Li] is also among them, with a headband tied around her head.
1:19:49|1:19:52|When passing by Han Bing, the two looked at each other but remained silent.
1:19:52|1:19:57|Finally, Han Bing walked to the corner, holding a list in his hand, and called Liu Li over.
1:20:7|1:20:30|[Liu Li], a diligent and righteous worker, was about to leave when he turned back and said a few words. Suddenly, I felt guilty towards Han Bin. For the arrival of this day, he had put in so much effort and endured much more pressure than us. When he trained with us day in and day out with a disabled body.
1:20:42|1:20:51|On the day of the Olympic Games opening ceremony, the ten thousand athletes arrived in the blink of an eye. The glorious moment finally arrived, stirring the hearts of 1.3 billion people of all ages.
1:20:51|1:21:8|The grand opening ceremony is underway, with birds in the stadium cheering and chirping. Representatives from various countries first arrived on horseback to deliver the five-ring tickets, and under various lights, the magnificent and spectacular Bird's Nest appeared particularly dazzling and magnificent.
1:21:8|1:21:15|Athletes are entering the arena, with bands playing classic music from different continents, showcasing the styles of the five continents of the world in turn.
1:21:15|1:21:24|The little girl is performing aerial free ballet, and the athletes entering one after another are full of vitality and spirit, smiling and waving to the audience from time to time.
1:21:24|1:21:28|And the audience on site welcomed their arrival with enthusiastic applause and cheers.
1:21:29|1:21:37|In the sound of qin and se, messengers from different countries flew north through the night sky and performed various difficult opening shows at the Bird's Nest.
1:21:37|1:21:43|The light shone on them, eventually forming a shape of a dove, symbolizing world peace.
1:21:43|1:21:58|At the moment when the Olympic flame was lit, a huge torch suddenly burst into flames, and the burning Olympic flame illuminated the sky above the stadium, creating a brilliant scene. The dazzling fireworks rose synchronously, reflecting a blue rainbow in the sky above the stadium.
1:21:59|1:22:7|The lively music, enthusiastic cheers deafening, the atmosphere reaching its peak, and [Liu Li] will not give up the last moment's opportunity.
1:22:34|1:22:40|Liu Li stood directly opposite [Liu Li], like in a formal competition, the two of them stood facing each other in a bow to show respect.
1:22:40|1:22:51|Liu Li first walked to the center of the training ground, stood still, and then performed a somersault in the air. Unexpectedly, she was stopped by Han Bing, who told her not to make any moves.
1:22:51|1:22:56|Later, [Liu Li] imagined the opponent's appearance in the air, pushing off the ground with his right foot and rotating his hip joint to the left.
1:22:57|1:23:7|Then tightly clench both fists by the sides of the body, using the left foot as the axis, lifting the right foot heel off the ground, pushing the foot against the ground, quickly raising the knee forward, arching the foot back straight, and forcefully springing forward.
1:23:7|1:23:16|Following that, [Liu Li] switched legs in mid-air and threw punches, rotating his body 180 degrees backwards, occasionally shouting, with both power and speed in full force.
1:23:16|1:23:18|In these scenes, Han Bing watched everything.
1:23:18|1:23:22|He crossed his arms and watched [Liu Li] throw punches repeatedly.
1:23:22|1:23:25|The shadows of the two figures were cast under the street lamp, one tall and one short.
1:23:25|1:23:28|After the training, Han Bing helped [Liu Li] relax his muscles.
1:23:28|1:23:32|At this moment, [Liu Li] was lying quietly on the massage table with only a towel covering his body.
1:23:32|1:23:37|Han Bing rubbed oil on her hands, warming them up before pressing them firmly against her skin.
1:23:37|1:23:43|Starting from [Liu Li]'s neck, rub down vigorously until the jaw, then shift the pressure point to the arms.
1:23:43|1:23:47|Liu Li's expression is not as enjoyable as others, but rather somewhat anxious and anxious.
1:23:48|1:23:53|After Han Bing pressed for a while, [Liu Li] gradually entered a state of concentration, but it was not difficult to see that she had something on her mind.
1:23:53|1:24:5|[Liu Li] turns her head to the side, arms outstretched. Han Bing pulls up [Liu Li]'s calf, gently squeezing and relaxing before lifting it up for a stretch. However, [Liu Li] doesn't feel relaxed at all, instead staring blankly at a certain spot.
1:24:5|1:24:10|Upon returning to the hotel they were staying at, Yang Hui was helping [Liu Li] comb her hair. Seeing that Liu Li seemed distracted, she spoke up and asked.
1:24:23|1:24:28|Yang Hui nodded in agreement, playing with the comb in her hand.
1:24:42|1:24:53|Shortly after, [Liu Li] lay on Yang Hui's arms, seeming to relax a lot. She gazed at the ceiling absentmindedly, with a slight smile on her lips. The handsome cheeks seemed a bit thinner.
1:24:53|1:25:1|On the day of the finals, led by the representative of the Chinese team, [Liu Li], Yang Hui, and Han Bing entered the arena, causing the crowd to erupt in excitement. The commentator on the side began to give a brief introduction of [Liu Li].
1:25:13|1:25:17|His opponent is the famous Russian player Rice.
1:25:17|1:25:23|He has won the European competition championship and the world competition championship multiple times.
1:25:35|1:25:40|Chinese athlete [Liu Li], known for her fast movements and fierce attacks.
1:25:41|1:25:52|[Liu Li] has won the championship of this year's World Taekwondo Championships and has also achieved the best results in many world competitions.
1:25:52|1:25:58|[Rice] is a very strong player, rumored to be of European and American descent.
1:26:5|1:26:12|The match begins, with [Liu Li] and [Rice] facing each other. [Liu Li] starts off by kicking first, with her weight slightly leaning back.
1:26:12|1:26:22|[Rice] thought he had found an opportunity and started to kick towards [Liu Li], but [Liu Li] swiftly dodged [Rice]'s attack with a backstep, followed by a quick roundhouse kick to the back of [Rice].
1:26:23|1:26:26|[Rice] hit the ground heavily and went out of bounds.
1:26:26|1:26:33|To counterattack, [Lai Si] subtly shifted her weight back, which was more advantageous for the counterattack, deceiving [Liu Li].
1:26:33|1:26:42|Just as [Liu Li] was about to kick, [Rice] made a bump and a kick, causing [Liu Li] to fall to the ground. Both of them kept making encouraging sounds to boost their morale.
1:26:43|1:26:48|Han Bing was even more excited when he saw this, directing [Liu Li] with her head right on the spot.
1:26:50|1:26:58|Liu Li's sense of crisis is rising, her explosive power is stronger than Blue Silk, so she is more adept at using explosive power to launch attacks quickly and accurately.
1:26:58|1:27:13|But Liu Li is quite the opposite. His strategy is often to wear down his opponent's stamina. As long as Liu Li doesn't focus his weight in the center, he can deceive his opponent without exposing any flaws, such as pretending to counterattack, suddenly stealing a move, launching a surprise attack, catching the opponent off guard.
1:27:13|1:27:23|In the front court of the game, it is obvious that Lai is more dominant, and Liu Li has been blocked several times. The audience is more excited throughout the game, as the strength of these two players is evenly matched.
1:27:23|1:27:28|Just as [Liu Li] stood up again, it seemed like a magnetic field from Xiangxi formed between him and Lais.
1:27:28|1:27:36|Once the two of them are in the same frame, even with the referee trying to intervene in between, they cannot stop the confrontation between the two Taekwondo masters.
1:27:36|1:27:43|With a confrontational attitude from the moment they met, [Liu Li] was once again kicked to the ground, followed by a back kick from Lais, then quickly retracting his right foot along the power line.
1:27:43|1:27:50|Liu Li not only was kicked to the ground, but also his left arm violently collided with the ground. Han Bing and Yang Hui were anxiously stomping their feet in the audience.
1:27:50|1:28:0|Even though [Liu Li] was knocked down time and time again, she kept repeating the rhythm of falling and getting up, until Les attacked her injured arm once again, a sharp pain striking her.
1:28:0|1:28:8|[Liu Li] lay on the ground unable to get up, hiding his arms in his chest and abdomen, a sensation that cut into his bone marrow swept through his body, causing [Liu Li] to roll frantically on the ground.
1:28:31|1:28:39|With a scream from [Liu Li], her mind was brought back to reality, showing how ruthless Han Bing was at that time, and how passionate the atmosphere was at the competition venue.
1:29:48|1:29:59|After a moment of inner struggle, [Liu Li] felt numbness in his left hand due to the pain. He tightly bound his left hand with his right hand, and let out a sorrowful cry towards the sky, as if bidding farewell to himself.
1:29:59|1:30:4|Liu Li's opponent, Les, didn't even understand his situation, and the referee was even cheering for him on the side.
1:30:5|1:30:24|Han Bing looked worried on the sidelines, while [Liu Li] clenched his fists and swung fiercely at Han Bing from a distance. Taking advantage of the opponent's unpreparedness, he delivered several hard kicks, originally just hitting the body, but now directly targeting the head. [Liu Li]'s helmet was already soaked with sweat, and with this kick, the sweat flew out directly, leaving his head in a daze.
1:30:24|1:30:27|Until [Liu Li] realized that she was being kicked repeatedly.
1:30:28|1:30:40|[Liu Li] just realized that the audience below saw this scene, and the crowd became even more excited. Some audience members even cheered and cheered for [Liu Li], hoping that [Liu Li] could counterattack fiercely.
1:30:40|1:30:49|At this moment, [Liu Li]'s expression became more ferocious, his pupils dilated, staring fixedly at his opponent. In a trance, he recalled his grandfather's words in his mind.
1:30:56|1:31:1|The opponent is still unaware of what [Liu Li] is about to do next, feeling a bit relaxed.
1:31:1|1:31:11|However, with each shout, [Liu Li] pinched his arm towards the chest protector, drew the bowstring, kicked wildly, leaped up, and with a final kick, Lais was defeated.
1:31:12|1:31:17|The referee quickly ran to Liu Li's side and started counting down to the whole audience, but unfortunately Liu Li struggled to get up.
1:31:17|1:31:25|Shortly after, the referee made a gesture of defeat, and [Liu Li], overwhelmed with excitement, lost balance due to exhaustion and fell directly to his knees on the platform.
1:31:25|1:31:32|Waving her right fist towards [Yang Hui] and [Han Bing] off the field, she took off her helmet, sweat and tears mingling together.
1:31:32|1:31:49|Still unable to distinguish between sweat and tears, [Liu Li] slowly regained her composure. Joy had overwhelmed her mind, the smile on her face still covering her left arm, but she slowly stood up, deeply bowing to the audience. She had surpassed herself, screaming in excitement.
1:31:49|1:31:57|Shortly after, [Han Bing] and [Yang Hui] entered the scene. [Liu Li] embraced them affectionately, and the audience cheered for her as she was overwhelmed with joy and tears.
1:31:58|1:32:7|At the end of the match, the master and disciples embraced tightly, with dazzling lights shimmering above the stadium, as if all were cheering for [Liu Li].
1:32:7|1:32:12|This time, [Liu Li] not only surpassed the enemy, but also surpassed himself.
1:32:12|1:32:17|He also pays tribute to the Olympic spirit, which is a spirit that will never be defeated by the enemy.
1:32:18|1:32:24|At the end of the film is a scene of [Liu Li] holding a gold medal, with the five-star red flag representing China in the background.
1:32:24|1:32:33|Her face is filled with the vigor of youth, as well as the determination and firmness of an athlete.
