0:2:29|0:2:34|[Li Xing] finished speaking and smirked at her, causing the girl to burst into laughter.
1:13:16|1:13:22|[Li Xing] slowly appears and walks towards [Mao Mao], who seems to have a realization and looks back.
1:13:33|1:13:40|He Qiaoqiao kept a close eye on [Mao Mao], while Li Xing tried to control his emotions.
1:13:57|1:14:3|[Mao Mao] looked at [Li Xing], who picked up a plate in the warehouse.
1:14:4|1:14:10|Mao Mao looked incredulous.
1:15:38|1:15:45|[Mao Mao] lowered her head and cried in pain, while [Li Xing] stepped forward and grabbed his face.
1:15:58|1:16:2|He recalled what He Qiaoqiao had said, speeding all the way down the hospital corridor.
1:16:2|1:16:10|[Li Xing] rushed to the triage desk anxiously and asked the night shift nurse, who lowered her head to search.
1:16:12|1:16:17|[Li Xing] turned and left upon hearing this, anxiously searching the corridor for the room. He longed to meet [He Qiaoqiao].
1:16:17|1:16:26|To find out her current situation, he finally saw [He Qiaoqiao] through the glass on the door, lying asleep on the hospital bed.
1:16:26|1:16:34|[Li Xing] gently pushed the door open and entered, greeted by various medical instruments surrounding [He Qiaoqiao], who was lying on the bed in a hospital gown, her head turned to the side.
1:16:34|1:16:38|[Li Xing] stared at her as she slowly approached, his face filled with tenderness.
1:16:38|1:16:44|The once lively and innocent girl was tortured by illness, her face full of weakness.
1:16:44|1:16:52|[Li Xing] bent down and gently grabbed [He Qiaoqiao]'s hand, slowly squatting down. He dared not make a loud noise, afraid of waking up the girl lying on the sickbed.
1:16:52|1:17:1|Just watching her quietly, as if wanting to engrave her in his heart, [He Qiaoqiao] had pale lips, and [Li Xing] saw everything in his eyes.
1:17:1|1:17:10|Tears welled up in his eyes, he slowly turned his head to the side, afraid to cry too loudly, he hesitated to believe everything in front of him.
1:17:10|1:17:18|Beside the hospital bed, [Li Xing] discovered a photo album. He slowly picked it up and looked at it carefully, his eyes filled with disbelief.
1:17:18|1:17:27|It seemed like he could anticipate the contents of this album. He pursed his lips, carefully opened it, and started to look at it attentively.
1:17:27|1:17:39|On the first page are two photos, capturing his daily life. Tears silently slide down from [Li Xing]'s eyes as he looks at [He Qiaoqiao] on the bed and turns to another page, which is a graduation photo.
1:17:39|1:17:47|The scene captures their transition from school to society. As the album turns to the next page, there is [He Qiaoqiao] in the coveted Lan Yu wedding dress.
1:17:47|1:17:56|He took these photos through the shop window, and [Li Xing]'s emotions gradually collapsed along with the photos. He knelt on the ground in pain, sobbing.
1:17:56|1:18:2|He saw a photo of the two kissing in the album, a beautiful memory before they separated.
1:18:2|1:18:10|He saw [He Qiaoqiao] taking a selfie alone in the battle against the illness, she was wearing a hospital gown in the photo, but always had a smile on her face.
1:18:10|1:18:12|[Li Xing] silently weeps.
1:18:12|1:18:20|The strong man is so fragile at this moment, outside the hospital, Li Xing's car is blocking the entrance causing a traffic jam.
1:18:58|1:19:7|[Li Xing] was collapsing on the roadside, crying bitterly. His apology seemed to have come a little too late.
1:19:7|1:19:13|The passerby forgave him, but in the hospital room, can [He Qiaoqiao] hear it?
1:19:13|1:19:15|In the Beijing University Shougang Hospital
1:19:28|1:19:46|Three round lunch boxes are placed in a row, filled with tempting food that smells delicious. [He Qiaoqiao] has a big appetite, picks up her chopsticks to pick up some food, while [Mao Mao] looks at her expectantly. [He Qiaoqiao] chews the food carefully after putting it into her mouth, then nods in satisfaction at [Mao Mao].
1:20:18|1:20:25|[He Qiaoqiao] looked at the dishes in front of her, feeling a bit silent. After a moment of contemplation, [He Qiaoqiao] said:
1:20:26|1:20:31|She paused and continued speaking. [Mao Mao] turned her head away and stopped asking further.
1:20:31|1:20:38|[He Qiaoqiao] looked at him with a worried expression and asked.
1:20:54|1:20:58|In the late night restaurant, there was no one around, only the kitchen lights were still on.
1:20:58|1:21:5|[Li Xing] puts caviar in the dish, preparing a lunchbox carefully for [He Qiaoqiao].
1:21:8|1:21:31|Sitting on the hospital bed, [He Qiaoqiao] looked at [Mao Mao] with surprise, eating the exquisite food in the lunchbox. She said thoughtfully, "A radish flower is garnished on the meat, it's still [Li Xing] preparing the meal." [He Qiaoqiao] looked at the delicate food in the lunchbox, picked up the meat and tasted it carefully, enduring the stomach pain as she tried hard to take a bite.
1:21:34|1:21:49|In the kitchen, busy [Li Xing] took out his phone. [Mao Mao] texted him that [He Qiaoqiao] couldn't eat today. [Li Xing] felt worried, and in the hospital room, [He Qiaoqiao] started retching.
1:21:56|1:22:3|In the kitchen, [Li Xing] is preparing desserts for [He Qiaoqiao], with the lunch box filled with delicious strawberry cake and taro cake.
1:22:7|1:22:11|On the other side, [He Qiaoqiao] covered her mouth, trying to adjust her state, and handed out the lunch box.
1:22:11|1:22:20|Mao Mao looked at her with a worried expression on her face.
1:22:23|1:22:29|[He Qiaoqiao] shook her head, tears slowly falling down.
1:22:30|1:22:37|[Mao Mao] felt very sorry, but didn't know how to comfort, so she could only silently lower her head to tidy up the lunch box.
1:22:37|1:22:46|[He Qiaoqiao] made up her mind, her eyes determined. Upon hearing this, [Mao Mao] immediately walked to [He Qiaoqiao]'s side and said to her:
1:22:47|1:22:54|[He Qiaoqiao], with tears still in her eyes, had a firm determination to leave the hospital. She looked at [Mao Mao] and held his hand, pleading:
1:23:3|1:23:31|[He Qiaoqiao] held [Mao Mao]'s hands. [Mao Mao] turned his head to the side, and [He Qiaoqiao] choked up, saying: [He Qiaoqiao] looked up at [Mao Mao], who sniffed and looked out the window.
1:23:31|1:23:46|He Qiaoqiao said with a heavy heart, "The more she thinks, the sadder she becomes," as he refused to face it all.
1:23:46|1:23:54|[Mao Mao] knows the feelings between the two, and he is sadder than [He Qiaoqiao].
1:23:55|1:24:2|[Mao Mao] turned his head to the side, trying hard to hold back his emotions and tears, while [He Qiaoqiao] looked at him pleadingly.
1:24:4|1:24:12|Sunlight streamed into the ward as the two held hands and gazed at each other in silence. [He Qiaoqiao], who was discharged from the hospital, sat quietly at the bar in the Red Leaf Restaurant.
1:24:12|1:24:17|She caressed the table, then stood in front of the restaurant door.
1:24:19|1:24:25|She looked back at the familiar surroundings of the restaurant.
1:24:27|1:24:35|She pushed the door open and took a step of her own, the afternoon sunlight shining through the leaves with extra gentleness.
1:24:35|1:24:43|In the bustling street, [He Qiaoqiao] walks in the alley, looking at everything in front of her as if bidding farewell.
1:24:43|1:24:50|[Li Xing] quietly appeared behind [He Qiaoqiao], closely following her, and that's how [He Qiaoqiao] walked through the streets and alleys.
1:24:50|1:24:55|She looked at the scenery on the roadside, occasionally reaching out to touch the branches and leaves beside her.
1:24:55|1:25:12|[Li Xing] silently followed behind, observing every move of [He Qiaoqiao], looking at the girl sitting on the bench. Despite being of similar age, their destinies were completely different. She hesitated for a moment and stopped in her tracks, with [Li Xing] stopping as well.
1:25:12|1:25:22|Watching [He Qiaoqiao] cheering herself up, [Li Xing] saw [He Qiaoqiao] picking clothes in the store through the window. Her body could no longer support her vigorous movements.
1:25:22|1:25:24|She struggled to walk out of the glass shop door.
1:25:25|1:25:31|[Li Xing] walked towards her, and [He Qiaoqiao] slowly stopped in her tracks when she saw him.
1:25:31|1:25:42|The two gazed at each other for a long time. Suddenly, Li Xing smiled, and He Qiaoqiao was also infected, her lips curling up. He Qiaoqiao nodded at the words and thought for a moment before saying:
1:25:53|1:26:0|[He Qiaoqiao] avoided eye contact, she was about to leave but was called back. [Li Xing] gently said:
1:26:13|1:26:21|[Li Xing] smiled and shook his head, saying to her.
1:26:22|1:26:28|[Li Xing]'s attitude surprised [He Qiaoqiao], and the two of them entered the bridal chamber at night.
1:26:40|1:26:46|He opened the lid, revealing the long-lost smile of [He Qiaoqiao].
1:26:57|1:27:5|She scooped up a small bite with a spoon, just as she brought it to her mouth, she stopped, the pain in her body making it hard for her to breathe.
1:27:5|1:27:15|She struggled to swallow the porridge, [Li Xing] looked at her expectantly, and in order not to disappoint him, she took another sip.
1:27:15|1:27:24|[He Qiaoqiao] couldn't bear it anymore, the physical pain made her vomit all the food. [Li Xing] took out a tissue and handed it to her.
1:27:37|1:27:39|[Li Xing] turned his head to look at the other person.
1:27:39|1:27:45|[He Qiaoqiao] was startled by the ringing, and [Li Xing] snatched the phone away.
1:27:58|1:28:4|[Li Xing] handed her a glass of water, and [He Qiaoqiao] took the glass of water.
1:28:4|1:28:8|Struggling to swallow the pills, [Li Xing] didn't expose her lie.
1:28:8|1:28:13|Just watching her quietly, [He Qiaoqiao] picked up the spoon again, not wanting to disappoint the other person's kindness.
1:28:14|1:28:19|The porridge was right in front of her, but she just couldn't bring herself to eat it. [Li Xing] quickly stepped in to stop her.
1:28:22|1:28:31|He held He Qiaoqiao's hand and said, He Qiaoqiao looked a bit discouraged.
1:28:55|1:29:18|[Li Xing]'s words were like sharp knives, piercing [He Qiaoqiao]'s heart bit by bit. Unable to control her emotions, she quickly picked up her bag and left. [Li Xing] stood still, unable to hide his emotions, tears slowly streaming down his face. He lowered his head, choked up and unable to speak, as the stage lights came on and the cooking competition began.
1:29:40|1:29:48|At the beginning, [He Qiaoqiao] and [Mao Mao] also arrived at the scene, applauding for [Li Xing] in the audience. On stage, [Li Xing] had a calm expression.
1:29:48|1:29:55|He Qiaoqiao nervously watched as he picked up a tomato with his left hand and weighed it, anticipating his next move.
1:29:56|1:29:59|[Li Xing] puts unpeeled tomatoes into boiling water.
1:29:59|1:30:8|He Qiaoqiao skillfully peeled the small fire, then diced the salted bamboo shoots and peeled tomatoes. Other chefs on the scene also demonstrated their skills.
1:30:8|1:30:17|Using familiar tools to create exquisite dishes, [Li Xing] on stage, earnestly catches the eye of [He Qiaoqiao], leaving her in a trance.
1:31:2|1:31:15|[Li Xing] brought the bowl of soup to [He Qiaoqiao], bent down slowly, and squatted. It was a soup that [He Qiaoqiao] was very familiar with, and the container holding it was an aluminum lunch box used in high school to hold food.
1:31:38|1:31:45|[Li Xing] filled a spoonful of soup, gently blew on it, and then slowly brought it to [He Qiaoqiao]'s lips, saying:
1:31:52|1:31:59|[Li Xing] drank the soup under the expectant gaze. His eyes were a bit nervous, waiting for the outcome.
1:32:0|1:32:18|He Qiaoqiao nodded approvingly as Li Xing opened the box in his hand, revealing a delicate diamond ring lying inside. His gaze was firm, but his hand holding the ring was trembling slightly. He Qiaoqiao took a deep breath, trying hard to control her emotions.
1:32:21|1:32:27|[Li Xing]'s firm tone moved [He Qiaoqiao], who seemed to be struggling, and finally broke free from the imprisonment of self.
1:32:27|1:32:34|Li Xing no longer closes off his heart. He stares blankly at the person in front of him.
1:32:34|1:32:41|[He Qiaoqiao] didn't hesitate this time, nodded in agreement, and all the audience in the audience stood up and applauded for them.
1:32:41|1:32:48|Amidst the enthusiastic applause, [Li Xing] picked up the ring, and all the audience in the venue stood up to applaud for them.
1:32:48|1:33:1|Amidst enthusiastic applause, [Li Xing] picked up the ring. After going through ups and downs, they finally completed the 5-year breakup contract at this moment. The moment the ring was put on the ring finger, all the troubles vanished into thin air.
1:33:1|1:33:10|[Li Xing] passionately kisses the back of [He Qiaoqiao]'s hand, leaving her feeling a bit dazed, afraid that it might all be a dream. They embrace tightly, and in that moment, their love is as deep as can be.
1:33:10|1:33:18|[Li Xing] smiled happily, at this moment they became the center of attention for everyone, but in their eyes, there was only each other.
1:33:18|1:33:31|The night alley was slightly cold, [Li Xing] walked on the familiar road to the Red Leaf Restaurant. The warm light outside the restaurant was embellished with pots of plants placed outdoors. [Li Xing] crossed the small courtyard and arrived at the entrance of the restaurant.
1:33:31|1:33:40|He looked around through the glass door, [He Qiaoqiao] was busy at the bar. He pushed the door open, the sound catching [He Qiaoqiao]'s attention as she looked towards the entrance.
1:33:45|1:33:58|[Li Xing] withdrew his gaze at the words, taking in everything in the restaurant. The walls were covered with porcelain made by [He Qiaoqiao], ranging from plates to jars. [Li Xing] was stunned by the scene before him.
1:33:58|1:34:6|He Qiaoqiao looked at Li Xing with some confusion, holding two sets of bowls and chopsticks as she walked slowly to Li Xing's side. Li Xing looked at her with a touch of heartache.
1:34:6|1:34:14|The once lively girl, now weakened by illness, [He Qiaoqiao] sets down her chopsticks.
1:34:15|1:34:20|Looking at the dishes in front of her, [He Qiaoqiao] said:
1:34:24|1:34:50|[Li Xing] smiled after listening, picked up the chopsticks, lifted the bowl, picked up a piece of meat from the plate and put it in his mouth to savor. Looking at him, [He Qiaoqiao] asked with some anticipation, [Li Xing] nodded happily, [He Qiaoqiao] smiled a bit more on her face after listening, while [Li Xing] listened quietly.
1:34:52|1:34:56|[Li Xing] looked at the food in the bowl and chuckled, not responding to the other person's question.
1:35:4|1:35:11|Sensing the upcoming topic, [Li Xing] froze in expression.
1:35:45|1:35:54|[He Qiaoqiao] looked at the old photo and fell into memories.
1:36:38|1:36:44|[Li Xing] held back tears and asked with a trembling voice:
1:37:0|1:37:8|Li Xing, who learned the truth, cried like a child.
1:37:10|1:37:34|[Li Xing] tried hard to control his emotions. [He Qiaoqiao] approached [Li Xing] with a smile on her face, gently lifting the corners of his mouth with her index finger to make him smile.
1:37:37|1:37:46|[Li Xing] couldn't imagine [He Qiaoqiao] leaving like this, with a tumultuous heart but tears silently flowing down her face.
1:38:6|1:38:32|In the play, the often depicted separation and reunion now appear in person, in front of their eyes. All emotions converge into a silent embrace. Love and parting have always been poignant in this world. Perhaps fate is cruel to them. Since the day he met He Qiaoqiao, Li Xing fell in love at first sight. They met and fell in love in their youth.
1:38:39|1:39:8|However, before Li Xing could wait for the day when everyone's hair turned white, the beauty had already met an untimely end, like flowers fading with the wind. Six months later, Li Xing took over the Red Leaf Restaurant, filled with everything related to him and He Qiaoqiao. The plates she made by hand, the collected trinkets, and the wedding photos of the two were all neatly arranged by Li Xing. At this time, He Qiaoqiao had already left, and Li Xing, wearing a sweater, was reading a book at the bar.
1:39:8|1:39:20|And at this moment, a guest happened to push the door open.
