0:0:50|0:0:57|接着，悬挂的照片相继旋转到正面，每张照片上的人都被遮盖住了双眼。
0:50:56|0:51:9|与此同时，正在寻找出口的二人看见了前方的警察，他们迅速掉头跑向另一条过道，可没跑多远就又被拦截住，急中生智的何[细鬼]拉着[阿弟]躲进了一旁的商铺里。
0:51:9|0:51:20|此时的何[细鬼]屏住呼吸，仔细听着外面的动静，而嘴角留有鲜血的[阿弟]，则通过悬挂在空中的衣服缝隙，死死盯着外面的警察。
0:51:20|0:51:25|见警察走远，二人立刻转身往回走，可刚走一半就发现了警察。
0:51:25|0:51:32|何[细鬼]毫不犹豫地后退，寻找别的出路，可就在他准备跑时，前面突然出现警察。
0:51:33|0:51:40|二人迅速紧靠在挂满衣服的墙面上，可两边步步紧逼的警察同时来到了二人所处的位置。
0:51:58|0:52:7|此时的他在微弱的灯光下散发着雄性的荷尔蒙，当他转过头看向[阿弟]时，[阿弟]却不由自主地亲了上去。
0:52:7|0:52:15|不知所措的他瞬间僵住，可[阿弟]再一次咬上了他的下唇，暧昧的氛围将二人包裹。
0:52:51|0:52:58|始终站在原地的[李沧东]指着他。突然[太平]出现在居民楼里。
0:52:58|0:53:6|紧皱眉头的他，看着一家门口的地藏上点着香。就在这时，何[细鬼]的电话响起。
0:53:13|0:53:17|看向门口的何[细鬼]挂掉电话，转头对[李沧东]说。
0:53:18|0:53:23|敲门声再次响起，面无表情的[李沧东]一把抓起手提包走向屋内。
0:53:24|0:53:34|随后，迅速调整好状态的何[细鬼]来到门口，不紧不慢地打开门，而门外，手撑在门框上的[太平]瞥了他一眼，便走向屋内。
0:53:35|0:53:43|谨慎的何[细鬼]不慌不忙地将门关上，随后，他怀着忐忑不安的心情转过身，走向环顾四周的[太平]身边。
0:53:43|0:53:48|接着，[太平]一把搭上他的肩膀，二人边走边说。
0:53:51|0:53:58|说着，[太平]顺手打开一旁的房门，躲在房间里的[李沧东]立刻藏到房门之后。
0:54:4|0:54:11|接着，二人走到阳台，[太平]仔细地查看阳台每一个角落，何[细鬼]却回到屋内点着香烟。
0:54:13|0:54:19|[太平]一脸认真地看着何[细鬼]，而何[细鬼]却故作镇定地拿下香烟，说道。
0:54:25|0:54:30|说完，[太平]便转身打开房门，而躲在房间里的[李沧东]趁着时机躲向阳台。
0:54:31|0:54:38|而听到动静后的[太平]立刻转身，看了看身后的何[细鬼]之后，绕过他走向房间，查看房门的后面。
0:54:38|0:54:51|随后，[太平]走到房门口，他指着隔壁的房门，低头吸烟的何[细鬼]立刻抬头，犹豫片刻之后对他说道。随后，[太平]向何[细鬼]招手，示意他过去。
0:54:51|0:54:55|接着，[太平]搭上他的肩膀，向隔壁的门口走去。
0:54:56|0:55:4|与此同时，躲在阳台的[李沧东]偷偷看向客厅，见没有二人的身影之后，他立刻打开阳台窗户翻了出去。
0:55:5|0:55:10|[太平]按铃见没人开门，便用手拍击房门。
0:55:10|0:55:14|突然，房门被打开，提心吊胆的何[细鬼]瞬间变得紧张起来。
0:55:14|0:55:25|说着方言的婆婆手舞足蹈地比划着，就在这时，[李沧东]一边吃着东西，一边走向门口，[李沧东]推开婆婆站在二人面前。
0:55:52|0:55:57|何[细鬼]假装镇定地点着头，而愁眉不展的[太平]径直离去。
0:55:57|0:56:2|屋内，[李沧东]从钱包里掏出几百块塞进婆婆手中。
0:56:4|0:56:11|夜晚，街道上的霓虹灯五光十色，不断绽放着自己的光彩，街边的摊位为城市添加了一份勃勃生机。
0:56:11|0:56:16|而摊位后面的过道上，狼狈不堪的[废嗡]边走边吃着盒饭。
0:56:16|0:56:24|忽然，他看到对面店里走出一位美女，于是，他便站在墙角吃着盒饭，可眼神却一直停留在美女的身上。
0:56:25|0:56:31|这时，对面的美女突然抬起头看向他，可他却立刻转过头不让她看到自己。
0:56:31|0:56:40|紧接着，他又看到不远处停了一辆轿车，他在看清楚来人是[阿雪]时，吓得打翻了盒饭，随后便躲进了一旁的角落里。
0:56:51|0:57:2|随后，[李沧东]出现在大桥底下，他拿着箱子，边走边向纸盒搭建的屋子里张望着，就在他将头准备伸向里面的时候，漆黑一片的纸屋里却出现金属的声音。
0:57:2|0:57:12|突然，一把短刀刺向他，[李沧东]迅速抓住他的手。[李沧东]夺过刀子。
0:57:43|0:57:50|随后，他拿起手中的照片，仔细观察着上面正在唱歌的女人。另一边工作室内。
0:57:50|0:57:58|[李沧东]和顶头上司站在满是照片的墙面前。
0:58:4|0:58:10|紧接着，他便转身走向放置手机的桌子旁，他拿起手机按下接听键，放在耳边说道。
0:58:14|0:58:20|随后，正在开车的[李沧东]缓缓抬起头，他通过后视镜看向躺在后排的[废嗡]。
0:58:35|0:58:48|突然，一道卷帘门从里面被人缓缓升起，接着走出一名男子，他先是谨慎的环顾四周，再走向一旁的路口。此时，将车停在不远处的[李沧东]，正坐在车里看着这一切。
0:58:48|0:58:54|装作若无其事的男人走到拐角处，突然发现地上竟然躺着一个人。
0:58:54|0:59:1|那人的周围摆满了凌乱的酒瓶，他站在路口确认喝醉的人没有动静之后，便向巷子深处招手。
0:59:1|0:59:7|不一会儿，巷子里开出一辆轿车，它在男人的指引下缓缓向前驶去。
0:59:7|0:59:10|紧接着，它便停靠在卷帘门前的道路旁。
0:59:10|0:59:18|与此同时，男人敲击卷帘门，[阿狗]从里面走了出来。
0:59:37|0:59:43|警察强制地将[阿狗]从轿车的后排拉出来，狠狠地把他摁在卷帘门上，并铐上冰冷的手铐。
0:59:49|0:59:53|百感交集的他眼里泛起泪花，紧皱的眉头也逐渐舒展开来。
1:0:28|1:0:36|此时的[李沧东]心潮澎湃，积压在内心多年的恩怨终于得到释怀。
1:1:54|1:2:0|他指了指外面，笑着说道。美女被[李沧东]这突如其来的询问弄得略显尴尬。
1:2:19|1:2:25|此刻，[李沧东]的脸上笑容开始变得僵硬，但他温柔地看着美女说道。
1:2:58|1:3:8|另一边，工作室内正在跳舞的[李沧东]，在停下脚步后，瘫软地坐在床边，他将自己隐藏在黑暗中，此时的他就像一个做错事的小孩，将头低于脖颈之间。[李沧东]坐在[医生]的对面。
1:3:25|1:3:40|此时，躲在角落的[李沧东]看向前方，那个最爱的人却挽着别人的胳膊，旁边一同的人，还有前妻的爸爸，两人站在小商店前有说有笑，随后，眼镜男拿着饮料走向老人，眼镜男满脸疑惑地转过身。
1:3:59|1:4:5|老人面无表情，深叹一口气，看着他晃了晃脑袋。
1:4:7|1:4:13|说完，二人将头缓缓低下。另一边的工作室内，[李沧东]看向一旁正在抽烟的[李沧东上司]。
1:4:14|1:4:24|[李沧东上司]猛吸一口手中的雪茄说道。
1:4:37|1:4:42|此时的[李沧东]紧皱眉头，他看着[李沧东上司]如此坚定的眼神，最终还是妥协了。
1:4:56|1:5:6|漆黑的深夜，黑黝黝的居民楼外，弥漫着阴森寂静的氛围。正在熟睡的[李沧东]将身体逐渐蜷缩成一团，额头直冒冷汗。
1:5:32|1:5:43|与此同时，[李沧东]的脑海里浮现出画面，画面里他的线人被卡在铁栅栏门的中间，当线人奋尽全力向外求救的时候，他并没有出现在线人的身边。
1:5:43|1:5:48|心怀愧疚的[李沧东]坐在床边。
1:6:9|1:6:15|上次与线人的话不停地回荡在他的耳边，左右为难的他逐渐隐没在黑暗中。
1:6:15|1:6:23|随后，他开着车出现在街头，而此时的街头空无一人，旁边商店里的灯光打在他的身上。
1:6:23|1:6:32|接着，他拿起手机拨通电话，放在耳边等待接听。
1:6:42|1:6:47|而身处居民楼里的何[细鬼]紧靠墙面，目光呆滞的他紧盯窗外。
1:6:50|1:6:54|说完，他便立刻挂断电话，不给对方任何揣测自己情绪的机会。
1:6:54|1:7:4|另一边，心有余悸的[李沧东]看向窗外，随后便低下头将手机关掉，他拿起放在副驾驶上的公文包后，打开车门走了下去。
1:7:4|1:7:17|就在他径直走向对面的店时，曾经的岳父正好路过，岳父站在原地仔细观察着他的身影，在确定是他之后，便怒气冲冲地朝他走过去。
1:7:19|1:7:35|随后，他坐在休息室外的凳子上准备换鞋，可就在他解开鞋带的时候，岳父正好走了过来，岳父到处张望着寻找他的身影，在看见他后，迅速跑到他的面前。
1:7:37|1:7:50|岳父拿起奖杯砸向他的脑袋，一瞬间[李沧东]的头上布满鲜血，他用手捂住伤口，身体却缓缓滑向地面，可岳父却睁大眼睛，看着站在门外的女儿。
1:7:50|1:7:58|而亲眼目睹这一切的女儿，看着满脸是血的[李沧东]不由自主地流出了眼泪，难以接受的她转身跑了出去。
1:7:58|1:8:4|岳父立刻追出去，倒在地上的[李沧东]强忍着疼痛从地上爬起来。
1:8:4|1:8:8|可当他追出去的时候，看到的却是紧急刹车的痕迹。
1:8:8|1:8:14|原来在女人刚跑出门外的时候，突然驶出的一辆黑色轿车将她撞了出去。
1:8:14|1:8:19|紧随其后的[阿雪父亲]，亲眼看着自己的女儿被车撞倒，一下便昏倒在地上。
1:8:20|1:8:30|[李沧东上司]从车后赶来，看到躺在地上的女人之后，他立刻跑上前，失魂落魄的他跌跪在女人的面前，他理智地拿出手机拨打急救电话。
1:8:45|1:8:48|说完，他立刻转身跑向倒在地上的女人。
1:8:48|1:8:53|在看到女人单薄的上衣之后，他毫不犹豫地脱下外套盖在女人身上。
1:8:53|1:9:4|随后，着急的他看在躺在地上一动不动的女人，心里充满了自责与愧疚，心急如焚的他俯下身子亲向女人的脸颊。
1:9:11|1:9:19|随后，他移开放在女人身上的双手，举在半空。与此同时，他眉头紧皱着，不停地晃动着血流不止的脑袋。
1:9:21|1:9:24|泣不成声的他双手捂住流满鲜血的脸。
1:9:24|1:9:32|紧接着他缓缓抬起头看向女人。崩溃的他不停地晃动着脑袋。
1:9:32|1:9:41|已经历经过一次绝望的他，再一次让这种悲剧发生在自己的身上，于是他俯身在女人的耳边。
1:9:56|1:10:3|不一会儿，救护车就将所有受伤的人送到了医院，此时的手术室外坐着两个人。
1:10:3|1:10:10|[李沧东]的岳父头上包着纱布，仰头看向天花板，而坐在旁边的，是正在和女人交往的男人。
1:10:10|1:10:18|另一边，头上包着纱布的[李沧东]面无表情地坐在车里，紧皱眉头的他眼神紧紧的盯着前方。
1:10:19|1:10:24|次日，繁华的街头上传出各种嘈杂的声音。
1:10:27|1:10:38|随后，一辆出租车停靠在路口，而在它的不远处，也停靠了一辆出租车。紧接着环顾四周的[马达]和[爆猪]正快步走向巷子里。
1:10:38|1:10:44|他们来到早已等候在这里的拉链面前，与此同时，[太平]从另一条巷子里走了出来。
1:10:44|1:10:48|汇合的四人同时看向一旁驶来的轿车。
1:11:8|1:11:14|坐在后排的[马达]，接过[太平]递出的袋子之后，陆续拔掉所有人的手机电池。
1:11:15|1:11:19|此时，车内的所有人都已戴好白色手套。
1:11:19|1:11:24|而坐在副驾驶上的[太平]，还时不时地通过后视镜观察着车后的情况。
1:11:24|1:11:34|随后，收回眼神的[太平]，注意到前方大桥的拥堵，紧皱眉头的他将胳膊搭在车窗上，眼睛死死地盯向前面的车辆。
1:11:35|1:11:41|紧随其后的何[细鬼]缓缓地将车子停在路上，而[太平]看了看后视镜很不耐烦地说道。
1:12:0|1:12:8|车门被[太平]从里面打开，他抓住女人的头发将其拖下车，随后，众人连忙上车。
1:12:13|1:12:20|夜幕迅速降临，五个手下分散在房间的外面等候，而何[细鬼]坐在屋檐上吸着香烟。
1:12:34|1:12:36|说完，[阿弟]起身走向冰箱。
1:12:36|1:12:44|而紧皱眉头的[华天]紧随其后问道。
1:12:47|1:12:52|这时，[华天]的手机突然响了起来，[阿弟]倚靠在冰箱上猛吸香烟。
1:12:52|1:13:0|而[华天]拿出手机直接挂断，并将其放在桌子上，[阿弟]看着手机满脸苦笑地说道。
1:13:2|1:13:6|于是她一脸不屑地转身走向桌子，放下手中的啤酒。
1:13:6|1:13:14|与此同时，[华天]的手机又响了，她坐在桌子旁的椅子上，边抽烟边看向[华天]。
1:13:14|1:13:21|随后，[华天]拿起手机看着她按下接听键，放在耳边。接着，[华天]的眼神飘忽不定，
1:13:23|1:13:30|此刻的[阿弟]被嫉妒涌上心头，抽烟的手不停地颤抖着，她起身夺过[华天]的手机摔在地上。
1:13:38|1:13:44|说完，[华天]摔门而出，恼羞成怒的[阿弟]踢向一旁的床架子，她猛吸一口香烟。
1:13:46|1:13:54|过道里，沉着冷静的[华天]边走边点着香烟，而默默跟在身后的[太平]接过他递出的烟盒。
1:14:5|1:14:10|正在抽烟的[太平]，一脸震惊地看向[华天]。另一边，何细魁站在阳台边上看着，
1:14:10|1:14:33|楼下一位环卫工人正在打扫马路，随后，他将手中的啤酒放在地上，自己坐在旁边的台阶上，紧接着，他抽出插在口袋中的手，他撇了眼身后，便在钱上写下，请通知三个字，可就在他要继续写时，突然听到身后有声音，谨慎的他先将钱和笔收起来，再转身看向身后。
1:14:33|1:14:41|他看见[阿弟]一个人坐在台阶上捂着肚子，随后，他拿着水杯走向[阿弟]的身边。
1:14:42|1:14:50|[阿弟]抬起头看着眼前的男人。何细魁见她迟迟未接住自己手中的水杯，便拿起她的手放在水杯上。
1:14:50|1:14:54|看着手中的水，[阿弟]强忍疼痛喝下一口。
1:14:54|1:14:58|在自己最孤单的时候，是眼前的这个男人给了她温暖。
1:14:58|1:15:4|随后她收起抽泣的声音，缓缓地抬起头看向何[细鬼]。
1:15:7|1:15:10|看向太平的何[细鬼]将眼神挪至[阿弟]身上。
1:15:10|1:15:17|二人静静地看着彼此默不作声。片刻之后，所有人都回到房间。[阿弟]倚靠在柜子上喝着啤酒，
1:15:17|1:15:20|其余五人围站在中间的桌子旁。
1:15:52|1:16:1|手撑在桌子上的拉链，缓缓向后挪动着脚步。就在这时，[马达]突然冲上前拉住他的衣领，将他的头磕向桌子。
1:16:1|1:16:11|[爆猪]在身后拉扯他的腿，二人将他摔倒在地上，何[细鬼]站在一边看着眼前的一幕，顿时傻了眼，太平站在旁边紧皱着眉头。
1:16:11|1:16:22|可就在何[细鬼]将眼神收回的时候，却无意之间对上了[华天]的眼神，心虚的他，有些不知所措，但为了不让[华天]怀疑自己，他还是参与了这场战斗。
1:16:22|1:16:32|于是，何[细鬼]按住拉链不停反抗的双腿，[爆猪]骑在拉链的身上掐住他的脖子，[马达]则一直用胳膊锁紧他的脑袋。
1:16:32|1:16:43|突然，身强力壮的拉链将[爆猪]翻倒在地上，一手抓住[马达]的头发将其拉开，这时，[爆猪]起身拿起一旁的皮带套在拉链的头上。
1:16:43|1:16:50|然而，再次骑上[细鬼]身上的他，竭尽全力收紧皮带，三人协力使拉链逐渐没了动静。
1:16:50|1:16:57|随后，[华天]缓缓地走到拉链的正前方，他满意地看着已经不再反抗的拉链。
1:16:58|1:17:5|闭上双眼的[阿弟]眉头紧皱，睁开眼时，便看到[爆猪]和[马达]将拉链抬了出去。
1:17:15|1:17:24|[太平]见[华天]走出门，便看向何细魁。第二天，繁华的街道上人山人海。
1:17:24|1:17:37|[马达]悠哉地走在街边环顾四周，在对面的金行内，每个展台都有一名销售人员，他们时刻准备迎接客人。而外面的街道上，却行走着各式各样的人。
1:17:37|1:17:45|另一边，景鑫金行拉下卷帘门清点货物。这时，外面的[华天]边走边看向里面。
1:17:45|1:18:0|巷子里，[太平]带着[爆猪]和[马达]气势汹汹地向外走去而坐在车里的何细魁，则紧紧盯着站在路口的[太平]。就在这时，何细魁突然通过后视镜看到了后方有一个擦车的人正缓缓向他走来。
1:18:1|1:18:3|于是他萌生一个大胆的想法。
1:18:3|1:18:12|他先是看了看站在原地的[太平]，再低头用笔向手上写着什么，而此时的[爆猪]和[马达]已与[华天]汇合完毕。
1:18:12|1:18:20|三人相继掏出口袋里的口罩。随后，擦车的人轻敲着何细魁的车窗，惶恐不安的他，看向[太平]的方向。
1:18:20|1:18:30|接着便将手伸向玻璃窗，在他的手心写着，通知[李沧东]66880693，漆咸道，景新京行有劫案。
1:18:31|1:18:36|突然，[太平]转过头看向他，他急中生智晃了晃玻璃窗前的手。
1:18:36|1:18:44|随后，景新金行门前的[华天]向[太平]点着头。接到信号的[太平]，立即向不远处的何细魁招手。
1:18:45|1:18:50|另一边，[李沧东]的电话响起。
1:18:53|1:18:57|金行门前的街道上，[太平]举着枪阻止过往的车辆。
1:18:57|1:19:5|何细魁则迅速将车驶出巷子，凭借精湛的车技将车倒进金店内，一瞬间，店内的警报系统全部响了起来。
1:19:5|1:19:10|伴随着周围人的恐慌，何细魁将车开出金店停在门口。
1:19:10|1:19:21|而早已等候在门前的[爆猪]、[马达]和[华天]，陆续穿过破碎的卷帘门走进里面。
1:19:43|1:19:51|店员蹲下之后，颤抖着双手将保险箱缓缓打开，她拉开保险箱的门，露出里面堆积的金条。
1:19:51|1:19:53|当[华天]看到这么多金条时，自己也愣住了。
1:19:55|1:20:0|而在金店的大厅内，何[细鬼]突然看见遗落在地上的手机。
1:20:8|1:20:16|随后，[马达]拖着沉重的袋子向外走去，待他们将装满金银财宝的袋子放进后备箱时，车子不自主地晃动着。
1:20:17|1:20:21|而在街道上的两旁，正有大量的警察向金行赶来。
1:20:23|1:20:26|警察紧贴墙壁，缓缓地向前挪动脚步。
1:20:26|1:20:32|就在所有人的注意力都集中在路边的[太平]身上时，何[细鬼]突然从店里走了出来。
1:20:32|1:20:35|他不知所措地看向一旁的警察。
1:20:35|1:20:43|他身后的[华天]抢先一步开枪，此刻的[太平]被枪声所吸引，他边走边向警察开枪。
1:20:44|1:20:51|可由于没有遮挡物，警察迅速退到旁边的店内，而何[细鬼]一行人在[太平]的掩护下快速上车，驾车离去。
1:21:0|1:21:9|另一边，[阿弟]从里面打开一道铁门，外面则是[华天]等一行人。驾驶的何[细鬼]缓缓地将车子驶入库房，
1:21:9|1:21:15|待车子完全进入之后，[阿弟]默默地关上门，漆黑的库房内只有太阳洒进来的光亮。
1:21:16|1:21:23|随后，车上的几人几乎同时下车。这时[太平]站在车前说道。
1:21:30|1:21:38|话音刚落，何[细鬼]和[爆猪]就先后把手枪交给[太平]。而[阿弟]站在车后，脸上贴着绷带，正注视着这一切。
1:21:38|1:21:42|一众人很快行动起来，准备销毁证据。
1:21:42|1:21:49|而何[细鬼]偷偷拨通一个电话号码，竟将手机塞到了墙缝里，[李沧东]拿起手机。
1:21:53|1:21:56|一切都在[华天]的安排下有条不紊地进行着。
1:21:56|1:22:2|马路上的[李沧东]又掏出一个手机拨通号码，小声说道。
1:22:6|1:22:15|另一边，[阿弟]做好了自制的燃烧瓶，放在车顶，俯身钻进车子里，拿起自己的手枪，随后，她从兜里摸出打火机，轻巧地把燃烧瓶点燃。
1:22:17|1:22:26|燃烧瓶被丢进车里，后座一片火光。不远处，喷枪正吐着火舌炼化金子，[马达]看着金子兴奋极了。
1:22:27|1:22:29|他戴着墨镜笑得极为猖狂。
1:22:29|1:22:35|何[细鬼]这时走来，抹了一把脸上的汗，造炉上的金子也已经练得差不多了。
1:22:35|1:22:43|爆猪将其放在水盆里冷却。[阿弟]从粗糙的模具里倒出重新凝固好的金条，放在电子秤上称重。
1:22:44|1:22:52|整个团队像是流水作业一般，造出除去印记的金条。带着防护镜的[太平]接通电话。
1:23:6|1:23:16|[阿弟]不屑地看了眼金条，于是，[华天]又加了一条。
1:23:17|1:23:23|而这次[阿弟]连头也没有抬，甚至连看都没有看他一眼，[华天]也没有多说，转身便离去。
1:23:23|1:23:29|待[华天]走出一段距离之后，[阿弟]这才回头，侧望了一眼[华天]的背影。
1:23:30|1:23:35|紧接着，[阿弟]举枪对准了[华天]，他扣下扳机打中其肩膀。
1:23:35|1:23:42|高大的[爆猪]一把拽来了何细魁，何细魁被突如其来的内讧搞得有些无奈。
1:23:42|1:23:49|而成堆的金条都被[爆猪]塞进了双肩包里，[马达]和[太平]傻站在一旁没敢说话。
1:23:49|1:23:53|[爆猪]把一个个装满金条的包塞进了汽车的后备箱里。
1:23:54|1:24:3|捂着伤口咬牙切齿的[华天]，面对[阿弟]的枪口却不敢向前。装好金条的[爆猪]走上前来，给[阿弟]比了个ok的手势。
1:24:3|1:24:11|随后上前一把推开了[马达]，拿走其身后桌上的金条。就在这时，他突然被泼了一身液体金子。
1:24:21|1:24:26|[太平]和[马达]立刻捡起一旁的手枪对其进行扫射，[华天]等人自是没打算放过他们。
1:24:27|1:24:32|[阿弟]率先回头开枪击中了[太平]，何细魁拽着她便朝车上跑去。
1:24:32|1:24:42|赶来的[华天]抬起手枪就射击，[阿弟]和何细魁只能蹲在汽车前面，而被忽略的[爆猪]身上的火越来越旺，引爆了液化气。
1:24:45|1:24:52|巨大的爆炸卷着烟尘从四面八方袭来，[阿弟]趁机摸到后备箱拽出一包金条。
1:24:54|1:25:2|墙角的[华天]连开几枪却没能命中，何细魁猫上前架走[阿弟]。角落的[华天]喊道。
1:25:4|1:25:9|何细魁探出脑袋望去，[马达]几人正举着枪缓缓靠近。
1:25:9|1:25:14|火光映着每个人的脸庞。[华天]和[太平]举着手枪谨慎地向前走去。
1:25:16|1:25:24|仓库的大门突然被炸飞，紧接着冲进来的是穿着制式装备的特警，匪徒们见状心顿时悬了起来。
1:25:27|1:25:34|这时，[太平]说道。金条也好，仇恨也罢，留得青山在不怕没柴烧。[华天]挎着背包先走出去。
1:25:34|1:25:44|太平和马达销毁证据，两人将手枪丢进火坑之后，接着挪开一则钢板，俨然是一个地下密道，[太平]率先钻了进去。
1:25:44|1:25:51|[阿弟]掩护着中枪的何细魁，两人躲在空油桶之后，[阿弟]看向外面的特警。
1:25:51|1:25:55|特警小队举着手电，端着冲锋枪赶进来。
1:25:55|1:26:6|[阿弟]先发制人，特警立刻还击，枪声越来越密集，何细魁不甘心被抓，将墙角的木板拆下，竟然可以通向外面。与此同时，
1:26:6|1:26:11|中枪的[华天]正挎着一大包的金条，一瘸一拐地急忙前行着。
1:26:11|1:26:19|没多久，墙角窗户上的木板被何细魁拆下一个可以穿行的洞，气喘吁吁的何细魁抓住[阿弟]的手招呼着。
1:26:19|1:26:28|他先把金条丢出窗外，然后翻出去。[阿弟]则是紧盯着特警。而逃出仓库的[华天]因为中枪已经体力不支，
1:26:28|1:26:35|大包的金条也逐渐拎不动了，他费尽心机来到港口，还没登船就看到了特警的巡航艇。
1:26:35|1:26:41|一时间，他也犹豫了起来。仓库里保持队形的特警小队在此时也摸了过来。
1:26:41|1:26:48|港口落单的[华天]面对全副武装的特警直接丢下了挎包，举起双手缓缓跪下。
1:26:49|1:26:55|特警们小跑上前也成功将其控制住，冰凉的手铐终于落在了他的手腕上。
1:26:55|1:27:2|[华天]表情痛苦，但也别无选择。事后，长官不满的说道。
1:28:8|1:28:13|被夹在中间的[李沧东]格外痛心，他很不理解上司的行为。
1:28:14|1:28:25|上司说完便转身离去，[李沧东]被留在原地，表情痛苦至极，他弓着身子皱紧了眉头，胸口像是被压上了重石一般，久久喘不上气。
1:28:25|1:28:38|然而，逃出生天的[阿弟]和何细魁此刻躲在一间灯光昏暗的地下室里，房间墙壁格外斑驳，屋里仅有一张床和一副桌椅，何细魁趴在床上似是昏迷了过去。
1:28:38|1:28:44|[阿弟]正帮他清理伤口，剧烈的疼痛，让他惨白的嘴唇不由得颤动。
1:28:44|1:28:49|清理好伤口之后，[阿弟]为他换上纱布，天空这时传来雷声。
1:28:51|1:28:58|繁华都市里的街道一隅，正停着一辆轿车，车里的人正是焦头烂额的[李沧东]。
1:28:58|1:29:4|他放倒驾驶座椅，正躺着闭目养身，就在这时，旁边开来一辆出租车。
1:29:4|1:29:13|车里的人下车径直朝着医院大楼里走去，车里的[李沧东]顿时警觉起来，他钻出车子朝医院门口张望着。
1:29:13|1:29:25|随后，他关好车门又往前凑了两步，他望着马路对面医院门口的人嘟囔起来。奈何事与愿违。
1:29:25|1:29:35|从透明玻璃门走出来的男人表情痛苦至极，他静静地站在门口似是被定住了脚步，可五官却悲伤地拧作一团。
1:29:35|1:29:50|他抬头看到[李沧东]，顿时捂着额头痛哭起来，[李沧东]的前妻抢救无效死亡了，而马路对面的他看到这一幕又怎么能不明白呢，他只是皱着眉，转过身子，缓缓朝车子走去。
1:29:50|1:30:2|汽车高速行驶，黑框眼镜下的[李沧东]悲伤难以言喻，只是泪水从眼角滑到了脸颊上面，他紧紧拧着嘴不让自己发出任何声音，
1:30:2|1:30:10|他比谁都清楚，这一切正是他咎由自取。滚烫的泪水涌出眼眶，他的眼神又突然坚定起来，
1:30:10|1:30:26|只见他单手扶着方向盘解开安全带，随后，两只手都离开了方向盘，举着双手似乎在投降，汽车狠狠地撞在路边的石柱上，破碎的挡风玻璃，翘起的引擎盖，诉说着[李沧东]内心的痛苦。
1:30:26|1:30:32|外斜的方向盘，变形的座椅，失去形状的安全气囊包裹着[李沧东]。
1:30:32|1:30:56|引擎盖里冒出的不知是烟还是热气，而车子里，[李沧东]摊着身子，脸上扎满了玻璃碎片，危难之中，他用力地将头缓缓抬起，拼尽全力地想要坐起瘫倒在椅子里的身体，手肘支着腰，他终于坐了起来。这是他对自己的惩罚。他靠着座椅，眉头紧皱着，眯着眼睛看向前方。
1:30:56|1:31:4|自杀式的撞车，却没能将他的生命所终结，前妻的死亡和线人的进退两难，此时都折磨着他的内心。
1:31:5|1:31:17|兴许是上天的意思，留他在人间完成他未完成的任务，泪水从他眼角滚落，而眼镜早已不知被撞飞在何处。就在这时，突然传来了电话声。
1:31:24|1:31:30|被伤痛充斥的身躯难以动弹，那颗千疮百孔的心怎么也提不起兴致。
1:31:31|1:31:44|可电话铃声响个不停，他不得已地接通了电话，他将手机放在耳边。[细鬼]强忍身体上的疼痛。
1:31:46|1:31:55|他手扶着腰上的伤口。民房里的[细鬼]四处张望，他瞥见了角落里的门牌地址说道。
1:31:57|1:32:13|说完他挂断电话，强撑着受伤的身体向床爬去，腰间的伤口不时被他扯动着，令他趴在床上便几乎跪下。好在[阿弟]及时赶回来，快步向前。
1:32:14|1:32:19|她扶着[细鬼]沉重的身子，奋力地朝床上爬去。
1:32:19|1:32:27|[细鬼]的额头不知不觉已经渗出一层细汗，眼神还有些许的涣散，[阿弟]将他扶起坐好。
1:32:28|1:32:46|[细鬼]颤抖着手从兜里掏出一枚戒指，他缓缓将其举起来呈到[阿弟]的面前，[阿弟]看着布满鲜血的手掌，瞪大了双眼，一时之间说不出话来。她哪能料到[细鬼]真的帮她拿回了这枚戒指。
1:32:46|1:32:53|[细鬼]看着她艰难地喘息着，在调整好自己的呼吸之后，便对她说出了事情的实情。
1:32:57|1:33:4|[阿弟]目瞪口呆地看着他。
1:33:4|1:33:11|此时的[阿弟]看着他满是同情。
1:33:14|1:33:20|阿弟平复了一下心情，缓缓地抬起头，坚定地看着何[细鬼]说道。
1:33:24|1:33:30|紧盯着她的何[细鬼]嘴唇颤抖着。
1:33:38|1:33:52|而倔强的阿弟此时已热泪盈眶强忍着泪水，何[细鬼]颤抖着双手摸了摸阿弟的脸颊，随后手便垂了下去。阿弟跪在床上扶着何[细鬼]。
1:33:55|1:34:0|阿弟辛苦地帮何[细鬼]翻过身，让他侧躺在床上。
1:34:1|1:34:9|接着，又拽起棉被给他盖好，而侧躺着身子的何[细鬼]，泪水不知何时已经滚落在枕头上，
1:34:9|1:34:18|随后，他缓缓的闭上双眼。这一夜有太多的人难以入眠，一盏台灯照亮了客厅的一角，
1:34:18|1:34:22|灯下的[李沧东]头上贴着绷带，就这样枯坐着。
1:34:22|1:34:30|脸上的玻璃渣碎片已经被清除干净，可伤口上的鲜血依旧触目惊心，他似乎做出了决定。
1:34:30|1:34:42|保险柜前，他掏出钥匙拧动锁芯，接着又在密码盘上按下数字，随着一声提示音，保险柜被打开了，里面是成堆的现金。
1:34:42|1:34:47|[李沧东]拿出准备好的文件袋，将一叠一叠的现金塞了进去。
1:34:47|1:34:53|他要为自己的人生赎罪。这天一早，偏僻的村落传来阵阵鸟鸣，
1:34:53|1:34:57|一缕晨光从窗户洒进来，落在铁架床上。
