0:1:35|0:1:41|[詹妮弗]开着车行驶在高架上，右手时而抬起，吸两口烟。
1:7:31|1:7:38|到家后，[卓小林]便坐在沙发上翻看着[扣子]包里的小票，[扣子]坐过来护住包。
1:7:52|1:7:55|[卓小林]审视般的盯着[扣子]。
1:8:17|1:8:27|[扣子]气得转过身去，不理他，没一会儿，[扣子]便开始收拾衣柜里的衣服，在电脑前的[卓小林]默不作声地观察着。
1:8:27|1:8:35|[扣子]把衣柜里的大号行李包甩在床上，麻利地将衣服都塞进包里，[卓小林]全程没有拦着。
1:8:35|1:8:41|转眼，[扣子]就坐在了天野的副驾驶上，风吹动着他的发丝，他的眼神迷茫又无助。
1:8:43|1:8:50|大雨倾盆，夜市却一如往常的热闹，[卓小林]冲着伞来到熟悉的小吃摊里。
1:8:50|1:8:54|她行动缓慢地收起伞，走到一张空桌子旁边坐下。
1:8:54|1:9:2|她身后坐无虚席，前面的这张桌子旁恰好坐着[詹妮弗]和[大苗]二人。
1:9:2|1:9:9|[大苗]调皮地张嘴向[詹妮弗]要汤圆吃，[詹妮弗]假装把嘴里的汤圆吐出来，咬在嘴边逗她。
1:9:9|1:9:20|不料[大苗]一口咬走了汤圆，笑眉了眼，[卓小林]失神地看着这对腻里挑油的情侣，深夜，她只能独自坐在床边黯然神伤。
1:9:20|1:9:32|[卓小林]呆站在浴室的淋浴头下冲澡，她没有开灯，眼睛却一动不动地盯着墙上的一处，目光逐渐聚焦，内里是[扣子]木然回首，笑意如花的照片。
1:9:32|1:9:41|花生膏的小摊旁，[多多]打着哈欠轻点着现货，却没注意到身后的[理工男]拉着行李箱走到他的身后。
1:9:41|1:9:49|[理工男]脸上没有了往日的神采，身上只穿了件松垮的长袖T恤，他失魂落魄地看着[多多]的背影。
1:9:50|1:9:55|[多多]觉察到他的视线，扭头看去，两人相顾无言。
1:9:55|1:10:7|最后，二人坐在附近的面摊里，[李公南]低着头，狼吞虎咽地吃着一碗面，对面的[多多]却双臂交叉，冷眼看向他，眼前的筷子分毫未动。
1:10:7|1:10:13|婚房的卧室里，[多多]坐在梳妆台前，抚摸着结婚证上的烫金字体。
1:10:13|1:10:20|[李公南]坐在床边，疲惫地闭上眼睛，两指，他摇摇头，望天叹气。
1:10:20|1:10:30|房间里安静得可怕，[多多]凝视着手里的结婚证，右手忽然拿起一旁的打火机，一下一下地按着点火键。
1:10:30|1:10:32|[李公南]戴上眼镜看向[多多]。
1:10:49|1:10:55|梳妆台上还摆着二人亲密相拥的照片，[多多]按下打火机点燃结婚证的一角。
1:10:57|1:11:5|火光里升起阵阵的烟雾，[多多]平静地将结婚证扔在桌上，他的眼中空无一物。
1:11:5|1:11:10|身后的[理工男]透过镜子看到火焰，表情没有一丝波澜。
1:11:10|1:11:16|机场大厅里，冲进一个慌张的年轻人，这人正是文讯赶来的[大苗]。
1:11:16|1:11:24|他在入口处左右张望着，站在电子大屏前查看了航班表，又慌张地冲到直击柜台前打电话。
1:11:25|1:11:29|她一直对电话那头说着什么，却没有得到任何回应。
1:11:29|1:11:36|她放下电话环顾四周，像个走失的孩子一般，站在原地嚎啕大哭。
1:11:36|1:11:43|[大苗]漫无目的地走到熟悉的夜市，又来到詹姐家里，坐在二楼的铁衣护栏边向下俯视着。
1:11:49|1:11:56|这个角度刚好可以看到客厅里的透光帐篷，仿佛詹姐还在里面熟睡。
1:11:56|1:12:1|[大苗]躺进帐篷里搂着布娃娃，绣着娃娃上面恋人的气息。
1:12:1|1:12:11|第二天清晨，[大苗]带着鸟笼坐在屋顶上，笼中的一只鹦鹉安静地停在横棍上，另一只却在笼条之间扑楞着翅膀想要飞出去。
1:12:12|1:12:22|他打开笼子的门，缓慢地把手伸进去，抓住那只欢快的鹦鹉，将鹦鹉拿到眼前，又松手将它放走。
1:12:22|1:12:27|接着，他抓住另一只，吹着嘴仔细地看了它一会儿，释怀一般地将它扔向空中。
1:12:27|1:12:27|天野在演唱会的舞台上站着。
1:12:45|1:12:52|天野转身看向舞台一边，台下的[多多]和[小掌柜]并排坐着，疯狂挥舞着荧光棒。
1:12:52|1:12:57|[扣子]穿着无袖蕾丝裙，笑盈盈地走上台与天野拥抱。
1:13:38|1:13:46|台下的[多多]双眼泛泪，欣慰地看着[扣子]，[扣子]凝望着台下的观众。
1:13:57|1:14:1|[多多]温和地笑着，默默点头。
1:14:20|1:14:27|[扣子]眼里已经溢出了泪花，[多多]望着她，笃定地点头，对她伸出大拇指。
1:14:38|1:14:42|台下[多多]捂住脸，几乎控制不住奔涌的泪水。
1:14:42|1:14:48|很快，他就一展笑颜，拉着身旁的[小掌柜]一起为[扣子]挥舞荧光棒。
1:14:48|1:14:51|[扣子]重新拿起话筒。
1:15:2|1:15:7|[小掌柜]为[扣子]大声欢呼，身边的观众也随之鼓掌欢呼着。
1:15:11|1:15:18|裤子神情悲泣地看向台下的观众，伴奏响起，他闭上眼睛收敛了泪水。
1:15:18|1:15:30|他手指轻点额头，拿好手麦望着夜空，耀眼的舞台顶灯打在他身上，好像星辰一般闪闪发光。
1:17:9|1:17:13|[扣子]的脑海里闪过无数和[卓小林]一起的画面。
1:17:13|1:17:18|她在舞台上转过身，偷偷拭去脸颊上的泪水。
1:17:18|1:17:21|她刚捶下手腕，另一滴泪又从眼角滑出。
1:17:21|1:17:27|此刻，[扣子]全然不知她思念的人已经走上舞台来到她的身后。
1:17:27|1:17:33|等她整理好情绪，转身准备继续演唱时，她竟看到旁边走上一个熟悉的身影。
1:17:34|1:17:41|内人的肩膀宽阔，身形高大，穿着随意的毛线外套，看向他的眼神却分外的疼心。
1:17:48|1:17:52|走上台的[卓小林]泪眼朦胧地抿着嘴，怜爱地看着[扣子]。
1:17:52|1:17:58|[扣子]举着麦凝望着他，唱着这首情歌，坚定地一步步走向他。
1:17:58|1:18:3|万千光华聚焦在这对势而复得的恋人身上。
1:18:3|1:18:12|突然，[扣子]微微仰头，猝不及防地倒在了舞台上。
1:18:12|1:18:16|[卓小林]慌乱地跪在[扣子]身旁，捧着他的脸大声地呼喊道。
1:18:23|1:18:34|[卓小林]和[扣子]上了救护车，车尾闪着灯渐渐远去，演唱会的场馆里荡然一空，只剩[大苗]一人蹲在她和[扣子]的巨幅海报面前。
1:18:34|1:18:37|她不安地晃动着身子，仰起头像是为[扣子]祈祷。
1:18:44|1:18:48|救护车里，[卓小林]泪流满面。
1:18:58|1:19:6|他看着[扣子]，懊悔地摇头。
1:19:6|1:19:17|他面前的[扣子]躺在担架上，紧闭双眼。
1:19:17|1:19:19|[卓小林]将头埋在手心，压抑地哭起来。
1:19:24|1:19:29|她哭得耳朵充血，用手背不断地擦着躺下来的泪水。
1:19:29|1:19:35|[扣子]的手突然抬起来摸上她的头发，一下一下地帮他顺着。
1:19:35|1:19:40|[卓小林]缓缓地抬起头，如梦初醒地拉住这只手抚摸着。
1:19:40|1:19:44|她对上[扣子]的视线，两人相对无言，却消除了一切误会。
1:19:45|1:19:56|画面渐黑，时间来到一年后，古城的夜市灯火通明，望不到头的城街上摆着各式各样的小吃摊，街上人流如潮，热闹非凡。
1:19:56|1:20:11|其中一家的顾客尤其多，仿古的旗子上写着几个大字，大宋花生糕，开封特产，手工制作，[小掌柜]光着上身抡木锤打糕点，一旁的[多多]刻着瓜子，两人高声叫卖着。
1:20:20|1:20:25|念谈想，[卓小林]在笔垫上码字，[多多]顶着韵渡走进来。
1:20:51|1:20:59|天野的笑容定格在镜头里，[大苗]来到开阔的乡村，用镜头记录着他所观察到的每个画面。
1:20:59|1:21:7|他用相机拍下沿路的美景，走访留守的老人，为乡守的老夫妻拍下唯一的合照。
1:21:7|1:21:17|他走过乡村窄小的古老石阶，漫步在两侧长满青葱野草的田间小路上，站在小山坡上拍远处的风景，舒展双臂沐浴阳光。
1:21:18|1:21:27|[大苗]来到乡村小学里，给这里的孩子们分发白纸，教他们画画写字，用相机记录他们的学习成果。
1:21:27|1:21:41|坐在机场的[詹妮弗]，在笔电上看着[大苗]发来的视频。
1:21:48|1:21:54|一改往日风格的[詹妮弗]扎着清爽的马尾，她看着视频，眼明而寄。
