0:2:21|0:2:33|钱老板同样喊道，随后使用计算器，随后记到本子上，对[李国富]说道，
1:13:3|1:13:20|[平娃]刚为熟客洗完头正吹着头发，[李国富]在一旁炉子上加了炭后坐在沙发上看着[平娃]，刚才洗头时老顾客王哥邀请[平娃]和他一起参加一个聚会，[平娃]给王哥吹干头发后推脱地说道，
1:13:48|1:13:54|王哥转过身看了看在沙发上的[李国富]对[平娃]说道，
1:14:5|1:14:14|说罢王哥走出店里，不愿意去的[平娃]又怕因此得罪了老顾客，低着头一脸烦闷，但是最后还是妥协了。
1:15:30|1:15:35|而她也只是在沙发上不停地变换姿势拍着照片，并没有理会[李国富]的意思。
1:15:42|1:15:50|感到无趣的他站起来走出包间去上厕所，包厢内众人甚至连抬眼看他一眼都没有，继续着。
1:15:53|1:16:1|[李国富]在KTV楼道里穿梭着寻找厕所，在耳边依然传来别的包厢里的歌声，十分嘈杂。
1:16:2|1:16:25|[李国富]走进厕所后关上了门，这时保洁大妈敲了敲门问道，推开门发现正在方便的[李国富]，[李国富]急忙提好裤子，保洁大妈生气地边走边抱怨离开，在里面的[李国富]穿好裤子后，非常生气地喘着气。
1:16:30|1:16:37|片刻后他转身，快步回到包厢里。
1:16:40|1:16:46|回到包厢后，[李国富]的委屈和愤怒涌上心头，
1:16:52|1:17:0|王哥说完，忍不住的[李发群]起身拿起桌上的整瓶白酒，仰着头大口大口地喝着，
1:17:2|1:17:26|[李发群]眼里泛着泪光，即使白酒难以下咽，他仍然举着酒瓶，整个晚上，也只有这时，大家才一言不发的看向[李发群]，这时[丽丽]过来抢下酒瓶，[丽丽]表情严肃，眼神尖利地看着[李发群]，[李发群]看了眼[丽丽]后，眼神呆滞地低着头，大口大口喘着气，
1:17:26|1:17:34|随后喝醉的他被[丽丽]搀扶着回了家，
1:17:46|1:18:18|这时[李国富]开门走了出来，[丽丽]略带歉意地说道，[李国富]没有说一句话，一把抓住即将倒地的[平娃]搂在怀里，随后恶狠狠地看了看[丽丽]，重重地关上了门，[丽丽]一个人在门口发着呆，回到家后[李国富]把[平娃]扶在床上躺下，给他脱了衣服，盖好被子，
1:18:18|1:18:53|喝多的[平娃]嘴里还不时地哼唧，[李国富]走过去拿下儿子的助听器，他看了看[平娃]，又看了看助听器，[李国富]叹了口气，眼神涣散地发着呆，看到一旁躺在床上不停哼哼唧唧的[平娃]，[李国富]无奈地将助听器放在桌子上后，深深叹了口气。
1:18:53|1:18:58|他披着毛领外套垂头丧气地坐在桌子前，
1:18:58|1:19:10|简陋的屋子、昏暗的灯光下，[李国富]略显憔悴。他回想着这一件件事和儿子自卑的话沉默着，不服输的他看了看床上的儿子，
1:19:10|1:19:22|又想起了自己的承诺，他更加坚定了要上电视的决心，也为了鼓励[平娃]，第二天便在[刘桂兰]和秧歌队众人的陪同下，到了电视节目的海选现场。
1:19:22|1:19:31|在门外，各个参赛选手都积极准备着。
1:19:39|1:19:46|[刘桂兰]递给满口吃饭的[李国富]一颗鸡蛋，
1:19:55|1:19:58|听完后他又大口吃了起来，
1:20:5|1:20:23|[李国富]边吃边喝下水往下咽着。嗯唉呀嗯对吃吃我呀哈哈哈哈[李国富]艰难地吃完第六个鸡蛋后不停地打着嗝，
1:20:23|1:20:30|大家也都围在他身边嘱咐着。时间越来越近，其他选手在外面紧张地练习着，
1:20:30|1:20:33|只有[李国富]一个人还在吃着鸡蛋。
1:20:33|1:20:48|随着一位身材火辣穿着性感的美女跳完热舞后，[李国富]缓缓从台上走了下来，他怯怯地拿着唢呐向评委鞠了一躬，台下评委先开口说道，
1:20:55|1:20:59|台下两个评委对视后笑道说道，
1:21:50|1:21:58|[李国富]不知所措地挠着鼻子，
1:22:34|1:22:52|随后他把唢呐放在地上清了清嗓子，他弓着背，有些畏手畏脚地做出一副摇滚人的架势，他心里想着节拍唱着歌词，
1:23:29|1:23:45|[李国富]鞠了一躬后走了出去，门外众人焦急的问道，大家相互看了一看没有说话。
1:23:47|1:23:53|[李国富]并没有明白评委的潜台词，回到家中开始不分白天黑夜的练习。
1:23:53|1:24:51|大镲、小镲、大鼓、小鼓等乐器被[李国富]用钢丝和滚轮组装在一起，再连接着自制的踏板，就这样[李国富]手脚并用的敲打着，在床上准备躺下睡觉的儿子被吵得心烦意乱，他在床上辗转反侧，于是出门到了美发店中，他照常在店里帮[丽丽]干着琐碎的活。
1:24:52|1:25:4|[李发群]站在椅子上用扳手专心地修着漏水的热水器，他拧紧螺丝后打开开关试了试，在旁边的[丽丽]看得修的差不多了，便对[李发群]说道，
1:25:10|1:25:39|听到这话后[李发群]放下手中的活，说完她拍了拍[李发群]的肩膀，便走到座位上准备洗头的物品，[李发群]在座位上呆呆地看着镜子，[丽丽]在他身后和其他客人一样为他洗着头，在头发喷湿后抹上洗发水，10个指头不停地在[李发群]头皮上划过，
1:25:39|1:26:2|[李发群]面无表情，眼神空洞地看着前方，心里一直想着[丽丽]即将要走的事情，他心里有太多话还没有说，离别的伤感情绪在[李发群]心里蔓延开，想着想着，头也越来越低，[丽丽]抬起[李发群]要低下的头，透过镜子看着他，看似不以为然的[丽丽]也百感交集，思绪万千。
1:26:2|1:26:19|在离别的情绪中，两个人都沉默着，[丽丽]也用自己的方式跟他告着别，即使注意力没有在洗头上，他也被[丽丽]按摩得吞咽着口水，他全身上下汗毛竖起来，紧紧握住椅子的扶手。
1:26:19|1:26:30|[李发群]平静地看着镜子中的[丽丽]，越发珍惜最后几天的相处，渐渐地，[李发群]眼中泛着淡淡的泪光。
1:26:34|1:26:42|随着时间地推移，节目播出时间也越来越近了，在录制办公室中工作人员挂了电话后对评委说道，
1:27:11|1:27:16|这时，节目负责人看向正在录制节目当天的电脑，
1:27:18|1:27:24|随后工作人员按下暂停，画面定格在[李国富]的脸上。另一边[李发群]到了商场，
1:27:43|1:27:49|销售目送着大步离开的[李发群]。与此同时，[李国富]在比赛后台紧张地准备着，
1:27:56|1:28:6|刘桂兰把唢呐递给[李国富]后又把墨镜摘下来，二人略带亲密又尴尬地笑着。
1:28:6|1:28:12|这时，台上工作人员已经把[李国富]组装的架子放到舞台中央，主持人说道，
1:28:41|1:28:48|加油。刘桂兰看着[李国富]上台的背影充满了开心和激动，在她脸上写满了对[李国富]无以言表的感情。
1:28:48|1:29:9|在灯光昏暗的等候区，[李国富]穿着皮衣、拿着唢呐紧张地深呼吸着，想着自卑的儿子，[李国富]慌张的神情渐渐变得坚毅起来，他缓缓地戴上了墨镜，舞台前方的光透过缝隙照在[李国富]的脸颊上，他颇有一副老摇滚人的样子。
1:29:11|1:29:17|这时等候区大门渐渐打开，舞台前方，聚光灯毫不吝啬地照在[李国富]身上。
1:29:17|1:29:35|[李国富]没有丝毫胆怯，头微微向上自信地站着，因为他知道，他是带着对音乐的喜爱，带着儿子的自卑，带着刘桂兰和大家的期望，待门完全打开后，[李国富]透过墨镜看了眼刺眼的聚光灯，便缓缓走向舞台。
1:29:35|1:29:47|当[李国富]神采奕奕地走到舞台中央时，掌声响起来，[李国富]深深向台下鞠了一躬后，便坐在架子鼓前。
1:29:47|1:29:53|看到[李国富]准备开始后，大家都安静下来，随后[李国富]拿起唢呐表演即将开始。
1:31:5|1:31:8|这时，[李发群]拿着化妆品走到美发店前，
1:31:15|1:31:24|丽丽看到[李发群]后招手让他进来，进来后，他吃惊地看着电视中的父亲，
1:32:6|1:32:20|观众们被台上这位戴着墨镜、头发渐白的老人的音乐感染着，所有人不约而同地挥舞着手中的荧光棒，评委席上的评委们也频频跟着节奏点着头，在后台[刘桂兰]拍着手喜极而泣。
1:32:21|1:32:29|电视机前的邻居们也跟随音乐摇摆着，而[李国富]则是目瞪口呆地看着真的上了电视的父亲。
